Language:csharp,Protocol:rest,Time:10,Difference:7
Language:csharp,Protocol:rpc,Time:30,Difference:6
Language:go,Protocol:grpc,Time:2,Difference:9
Language:go,Protocol:rest,Time:1,Difference:14
Language:go,Protocol:rpc,Time:1,Difference:14
Language:java,Protocol:grpc,Time:5,Difference:16
Language:java,Protocol:jax_ws_rpc,Time:0,Difference:0
Language:java,Protocol:rest,Time:0,Difference:0
Language:javascript,Protocol:grpc,Time:0,Difference:0
Language:javascript,Protocol:rest,Time:1,Difference:30
Language:javascript,Protocol:rpc,Time:1,Difference:43
Language:php,Protocol:grpc,Time:0,Difference:0
Language:php,Protocol:rest,Time:0,Difference:0
Language:php,Protocol:rpc,Time:0,Difference:0
Language:python,Protocol:grpc,Time:1,Difference:24
Language:python,Protocol:rest,Time:0,Difference:0
Language:python,Protocol:rpc,Time:0,Difference:0
Language:ruby,Protocol:grpc,Time:1,Difference:17
Language:ruby,Protocol:rest,Time:1,Difference:16
Language:ruby,Protocol:rpc,Time:0,Difference:0
