C#_MPF Go_MPF Java_MPF JS_MPF PHP_MPF PY_MPF Ruby_MPF 0 Go_MRSS Java_MRSS JS_MRSS PHP_MRSS PY_MRSS Ruby_MRSS 0 Go_VCS Java_VCS JS_VCS PHP_VCS PY_VCS Ruby_VCS
0 35460 15357 21820 7921127 2278 16240 0 91916 66048 94364 20364 16696 10740 0 66341 264547 134 10623 5152 10280
0 35931 15404 21829 7921182 2280 16240 0 91040 66988 94064 20364 16016 10476 0 66154 264846 101 10623 5164 10287
0 35626 15862 21732 7900854 2274 16222 0 91880 66808 94764 20364 16524 10716 0 66269 264235 111 10024 5158 10273
0 35109 15153 21802 7921784 2279 16244 0 91784 66332 94244 20364 16520 10584 0 66821 264545 117 10059 5145 10292
0 35934 15524 21801 7921097 2280 16237 0 92924 66728 94152 20364 16736 10688 0 66027 264766 167 10548 5145 10272
0 35423 15179 21642 7920830 2270 16244 0 91832 66652 94144 20364 16672 10660 0 66188 264827 128 10316 5154 10294
0 35543 15232 21680 7940839 2282 16240 0 91812 66264 94844 20364 16752 10684 0 66005 264999 176 10401 5155 10248
0 35327 15389 21816 7921057 2287 16234 0 91796 66268 94588 20364 16808 10404 0 66817 264332 120 10167 5142 10285
0 35987 15515 21673 7920444 2270 16246 0 91783 66536 94624 20364 16872 10560 0 66261 264183 146 10849 5163 10295
0 35586 15888 21822 7961064 2281 16250 0 91791 66552 94080 20364 16680 10616 0 66597 264394 187 10295 5160 10295
0 35702 15526 21833 7901288 2288 16240 0 91787 66396 94032 20364 16692 10432 0 66353 264998 153 10398 5153 10299
0 35791 15913 21015 7920985 2275 16252 0 91792 66884 94504 20364 16844 10680 0 66292 264768 124 10923 5165 10270
0 35963 15275 21953 7941597 2274 16224 0 91808 66824 94096 20364 16868 10424 0 66164 264056 167 10276 5155 10280
0 35826 15769 21633 7981094 2269 16249 0 91769 66620 94968 20364 16832 10432 0 66233 264045 183 10302 5154 10293
0 35843 15130 21853 7941144 2273 16229 0 91800 66188 94528 20364 16840 10724 0 66159 264777 105 10525 5154 10292
0 35176 15858 21210 7980464 2283 16254 0 91782 66860 94280 20364 16528 10604 0 66552 264779 119 10863 5154 10278
0 35976 15008 21799 7961171 2278 16240 0 91790 66136 94268 20364 16700 10552 0 66361 264591 172 10119 5164 10262
0 35859 15021 21863 7961502 2271 16229 0 91789 66884 94608 20364 16672 10556 0 66972 264824 140 10208 5150 10287
0 35661 15302 21904 7901091 2278 16232 0 91780 66756 94096 20364 16844 10392 0 66580 264521 136 10559 5163 10281
0 35354 15572 21866 7961033 2275 16248 0 91788 66448 94240 20364 16676 10688 0 66380 264830 112 10786 5168 10284
0 35591 15519 21911 7900750 2268 16235 0 91796 66580 94804 20364 16808 10556 0 66216 264245 106 10758 5166 10283
0 35249 15923 21938 7940916 2280 16239 0 91780 66172 94132 20364 16680 10664 0 66557 624477 199 10329 5144 10287
0 35528 15442 21949 7961818 2274 16240 0 91790 66472 94104 20364 16724 10732 0 66661 264329 148 10787 5156 10280
0 35013 15367 21861 7940440 2279 16239 0 91794 66880 94232 20364 16840 10552 0 66164 264065 149 10355 5135 10292
0 35637 15833 21976 7922063 2278 16231 0 91786 66412 94176 20364 16836 10548 0 66179 264077 115 10093 5163 10266
0 35160 15984 21699 7920801 2276 16244 0 91792 66408 94528 20364 16792 10728 0 66121 263493 146 10825 5163 10278
0 35747 15169 21913 7901910 2280 16235 0 91782 66352 94244 20364 16940 10540 0 66797 264654 131 10900 5157 10289
0 35450 15367 21865 7941610 2267 16246 0 91780 66308 94484 20364 16832 10672 0 66715 264791 116 10234 5163 10292
0 35779 15816 21938 7881123 2280 16232 0 91796 66808 94432 20364 16840 10412 0 66159 264189 117 10994 5148 10289
0 35038 15274 21666 7941010 2276 16257 0 91856 66940 94196 20364 16528 10460 0 66580 264764 107 10298 5154 10269
0 35178 15700 21735 7900662 2279 16243 0 91708 66132 94588 20364 16524 10420 0 66312 264509 119 10397 5160 10216
0 35039 15962 21949 7920397 2282 16243 0 91716 66536 94312 20364 16940 10596 0 66515 264753 145 10456 5160 10278
0 35039 15122 21836 7941299 2284 16242 0 91724 66476 94404 20364 16708 10488 0 66380 264670 125 10615 5164 10304
0 35251 15676 21860 7920602 2274 16256 0 91788 66344 94484 20364 16804 10688 0 66886 264137 142 10889 5155 10295
0 35713 15697 21007 7961431 2281 16240 0 91768 66812 94132 20364 16796 10680 0 66488 264694 125 10634 5158 10288
0 35557 15648 21617 7921021 2288 16233 0 91736 66636 94184 20364 16684 10444 0 66660 264746 167 10048 5171 10305
0 35893 15202 21634 7920732 2281 16235 0 91732 66828 94028 20364 16944 10524 0 66360 264058 181 10242 5149 10278
0 35365 15804 21769 7941447 2279 16238 0 91852 66028 94280 20364 16868 10588 0 66969 264095 142 10251 5168 10297
0 53729 15674 21103 7901513 2274 16258 0 91786 66932 94756 20364 16708 10708 0 66701 264976 107 10972 5157 10235
0 35427 15064 21743 7940834 2279 16238 0 91814 66836 94028 20364 16812 10724 0 66392 264201 188 10568 5160 10280
0 35502 15362 21776 7920229 2270 16245 0 91774 66612 94112 20364 16836 10428 0 66402 264243 114 10076 5159 10225
0 35335 15364 21964 7900815 2281 16235 0 91806 66084 94424 20364 16704 10444 0 66758 264913 127 10304 5150 10284
0 35389 15206 21887 7920620 2284 16235 0 91784 66312 94056 20364 16932 10740 0 66119 264493 153 10506 5164 10283
0 35438 15971 21985 7921089 2282 16245 0 91798 66248 94832 20364 16760 10724 0 66387 264727 125 10968 5168 10297
0 35108 15349 21788 7920985 2286 16244 0 91786 66852 94068 20364 16536 10684 0 66381 264612 132 10887 5157 10281
0 35797 15842 21970 7921147 2279 16241 0 91790 66732 94352 20364 16580 10728 0 66344 264520 194 10077 5165 10296
0 35322 15405 21732 7941487 2281 16254 0 91788 66520 94992 20364 16680 10404 0 66204 264766 129 10421 5147 10290
0 35850 15735 21815 7920803 2281 16249 0 91782 66708 94056 20364 16740 10564 0 66765 264578 133 10253 5160 10284
0 35202 15607 21468 7940997 2276 16245 0 91796 66092 94664 20364 16712 10604 0 66338 264619 133 10942 5173 10283
0 35742 15493 21827 7981176 2276 16245 0 91774 66748 94380 20364 16840 10540 0 66611 264497 176 10350 5151 10291
