C#_energy Go_energy Java_energy JS_energy PHP_energy PY_energy Ruby_energy C#_MPF Go_MPF Java_MPF JS_MPF PHP_MPF PY_MPF Ruby_MPF C#_MRSS Go_MRSS Java_MRSS JS_MRSS PHP_MRSS PY_MRSS Ruby_MRSS C#_VCS Go_VCS Java_VCS JS_VCS PHP_VCS PY_VCS Ruby_VCS
 0 21.2 190.1 3.7 851.1 37.7 27.0 0 34692 15681 21491 7974489 2101 16401 0 91467 66441 94551 20616 16151 10151 0 66728 267113 141 10151 5615 10557
 0 20.7 623.3 NaN 853.5 NaN NaN 0 33511 15775 21291 7974489 2101 16401 0 91418 66441 94551 20616 16151 10151 0 66728 267113 141 10151 5615 10557
 0 21.3 186.0 1.7 843.6 39.1 25.1 0 34571 15451 21491 7974489 2101 16401 0 91413 66441 94551 20616 16151 10151 0 66728 267113 141 10151 5615 10557
 0 22.9 185.3 1.6 850.6 39.7 24.6 0 34071 15231 21491 7974489 2101 16401 0 91455 66441 94551 20616 16151 10151 0 66728 267113 141 10151 5615 10557
 0 21.0 240.5 9.9 844.7 37.9 24.7 0 34459 15271 21491 7974489 2101 16401 0 91470 66441 94551 20616 16151 10151 0 66728 267113 141 10151 5615 10557
 0 22.8 NaN NaN 855.6 37.8 23.2 0 34891 15971 21491 7974489 2101 16401 0 91533 66441 94551 20616 16151 10151 0 66728 267113 141 10151 5615 10557
 0 22.6 628.2 3.5 834.2 37.5 24.4 0 34175 15378 21491 7974489 2101 16401 0 91778 66441 94551 20616 16151 10151 0 66728 267113 141 10151 5615 10557
 0 22.7 636.3 5.8 831.5 37.4 27.0 0 34259 15879 21491 7974489 2101 16401 0 91457 66441 94551 20616 16151 10151 0 66728 267113 141 10151 5615 10557
 0 22.4 179.3 1.8 834.5 37.4 NaN 0 34551 15481 21491 7974489 2101 16401 0 94677 66441 94551 20616 16151 10151 0 66728 267113 141 10151 5615 10557
 0 20.9 178.5 1.7 828.7 37.4 NaN 0 34789 15284 21491 7974489 2101 16401 0 91448 66441 94551 20616 16151 10151 0 66728 267113 141 10151 5615 10557
 0 23.2 637.3 10.2 NaN 40.6 25.5 0 34515 15489 21491 7974489 2101 16401 0 91418 66441 94551 20616 16151 10151 0 66728 267113 141 10151 5615 10557
 0 20.8 182.1 1.8 857.4 41.9 25.5 0 34166 15316 21491 7974489 2101 16401 0 91409 66441 94551 20616 16151 10151 0 66728 267113 141 10151 5615 10557
 0 23.0 577.7 1.8 848.4 35.9 23.5 0 34617 15628 21491 7974489 2101 16401 0 91518 66441 94551 20616 16151 10151 0 66728 267113 141 10151 5615 10557
 0 20.7 623.5 1.6 834.6 37.8 26.7 0 34781 15881 21491 7974489 2101 16401 0 91495 66441 94551 20616 16151 10151 0 66728 267113 141 10151 5615 10557
 0 21.9 NaN 5.7 827.0 38.8 26.5 0 34687 15681 21491 7974489 2101 16401 0 91410 66441 94551 20616 16151 10151 0 66728 267113 141 10151 5615 10557
 0 20.9 177.2 1.7 819.1 37.5 24.3 0 34689 15699 21491 7974489 2101 16401 0 91411 66441 94551 20616 16151 10151 0 66728 267113 141 10151 5615 10557
