C#_MPF Go_MPF Java_MPF JS_MPF PHP_MPF PY_MPF Ruby_MPF 0 Go_MRSS Java_MRSS JS_MRSS PHP_MRSS PY_MRSS Ruby_MRSS 0 Go_VCS Java_VCS JS_VCS PHP_VCS PY_VCS Ruby_VCS
0 35460 15357 17820 5127 2278 17240 0 93916 66048 79364 34867 17696 12740 0 78341 180547 84 43 84532 20280
0 35931 15404 17829 5182 2280 17240 0 93040 66988 79064 34867 17016 12476 0 78154 180846 81 43 84454 20287
0 35626 15862 17732 5854 2274 17222 0 93880 66808 79764 34867 17524 12716 0 78269 180235 81 44 84558 20273
0 35109 15153 17802 5784 2279 17244 0 93784 66332 79244 34867 17520 12584 0 78821 180545 87 49 84455 20292
0 35934 15524 17801 5097 2280 17237 0 93924 66728 79152 34867 17736 12688 0 78027 180766 87 48 84425 20272
0 35423 15179 17642 5830 2270 17244 0 93832 66652 79144 34867 17672 12660 0 78188 180827 88 46 84534 20294
0 35543 15232 17680 5839 2282 17240 0 93812 66264 79844 34867 17752 12684 0 78005 180999 86 41 84575 20248
0 35327 15389 17816 5057 2287 17234 0 93796 66268 79588 34867 17808 12404 0 78817 180332 80 47 84432 20285
0 35987 15515 17673 5444 2270 17246 0 93783 66536 79624 34867 17872 12560 0 78261 180183 86 49 84633 20295
0 35586 15888 17822 5064 2281 17250 0 93791 66552 79080 34867 17680 12616 0 78597 180394 87 45 84660 20295
0 35702 15526 17833 5288 2288 17240 0 93787 66396 79032 34867 17692 12432 0 78353 180998 83 48 84563 20299
0 35791 15913 17015 5985 2275 17252 0 93792 66884 79504 34867 17844 12680 0 78292 180768 84 43 84615 20270
0 35963 15275 17953 5197 2274 17224 0 93808 66824 79096 34867 17868 12424 0 78164 180056 87 46 84855 20280
0 35826 15769 17633 5094 2269 17249 0 93769 66620 79968 34867 17832 12432 0 78233 180045 83 42 84254 20293
0 35843 15130 17853 5144 2273 17229 0 93800 66188 79528 34867 17840 12724 0 78159 180777 85 45 84594 20292
0 35176 15858 17210 5464 2283 17254 0 93782 66860 79280 34867 17528 12604 0 78552 180779 89 43 84584 20278
0 35976 15008 17799 5171 2278 17240 0 93790 66136 79268 34867 17700 12552 0 78361 180591 82 49 84624 20262
0 35859 15021 17863 5502 2271 17229 0 93789 66884 79608 34867 17672 12556 0 78972 180824 80 48 84500 20287
0 35661 15302 17904 5091 2278 17232 0 93780 66756 79096 34867 17844 12392 0 78580 180521 86 49 84603 20281
0 35354 15572 17866 5033 2275 17248 0 93788 66448 79240 34867 17676 12688 0 78380 180830 82 46 84638 20284
0 35591 15519 17911 5750 2268 17235 0 93796 66580 79804 34867 17808 12556 0 78216 180245 86 48 84626 20283
0 35249 15923 17938 5916 2280 17239 0 93780 66172 79132 34867 17680 12664 0 78557 180477 89 49 84424 20287
0 35528 15442 17949 5818 2274 17240 0 93390 66472 79104 34867 17724 12732 0 78661 180329 88 47 84566 20280
0 35013 15367 17861 5440 2279 17239 0 93794 66880 79232 34867 17840 12552 0 78164 180065 89 45 84325 20292
0 35637 15833 17976 5063 2278 17231 0 93786 66412 79176 34867 17836 12548 0 78179 180077 85 43 84623 20266
0 35160 15984 17699 5801 2276 17244 0 93792 66408 79528 34867 17792 12728 0 78121 180493 86 45 84623 20278
0 35747 15169 17913 5910 2280 17235 0 93782 66352 79244 34867 17940 12540 0 78797 180654 81 40 84527 20289
0 35450 15367 17865 5610 2267 17246 0 93780 66308 79484 34867 17832 12672 0 78715 180791 86 44 84673 20292
0 35779 15816 17938 5123 2280 17232 0 93796 66808 79432 34867 17840 12412 0 78159 180189 87 44 84948 20289
0 35038 15274 17666 5010 2276 17257 0 93856 66940 79196 34867 17528 12460 0 78580 180764 87 48 84524 20269
0 35178 15700 17735 5662 2279 17243 0 93708 66132 79588 34867 17524 12420 0 78312 180509 89 47 84620 20216
0 35039 15962 17949 5397 2282 17243 0 93716 66536 79312 34867 17940 12596 0 78515 180753 85 46 84260 20278
0 35039 15122 17836 5299 2284 17242 0 93724 66476 79404 34867 17708 12488 0 78380 180670 85 45 84764 20304
0 35251 15676 17860 5602 2274 17256 0 93788 66344 79484 34867 17804 12688 0 78886 180137 82 49 84955 20295
0 35713 15697 17007 5431 2281 17240 0 93768 66812 79132 34867 17796 12680 0 78488 180694 85 44 84538 20288
0 35557 15648 17617 5021 2288 17233 0 93736 66636 79184 34867 17684 12444 0 78660 180746 87 48 84701 20305
0 35893 15202 17634 5732 2281 17235 0 93732 66828 79028 34867 17944 12524 0 78360 180058 81 42 84549 20278
0 35365 15804 17769 5447 2279 17238 0 93852 66028 79280 34867 17868 12588 0 78969 180095 82 41 84688 20297
0 53729 15674 17103 5513 2274 17258 0 93786 66932 79756 34867 17708 12708 0 78701 180976 87 42 84537 20235
