C#_MPF Go_MPF Java_MPF JS_MPF PHP_MPF PY_MPF Ruby_MPF C#_MRSS Go_MRSS Java_MRSS JS_MRSS PHP_MRSS PY_MRSS Ruby_MRSS C#_VCS Go_VCS Java_VCS JS_VCS PHP_VCS PY_VCS Ruby_VCS
46295 24411 5301 22656 1885 5407 2428 49236 57100 29480 96200 20820 20244 14413 146203 50977 11254 3439 18483 19011 36149
46633 24416 5097 22772 1883 5390 2408 49440 57464 29788 96260 20780 20188 14295 146023 50765 11295 3562 18581 19672 36171
46146 24430 5679 22915 1883 5390 2864 49896 57676 29120 96180 20004 20480 14294 146670 50325 11097 3898 18662 19934 36743
46550 24275 5712 22887 1888 5398 2988 49164 57740 29008 96408 20960 20204 14095 146221 50496 11210 3419 18741 19443 36768
46385 24402 5769 22244 1880 5399 2780 49260 57924 29600 96216 20788 20300 14431 146270 50938 11686 3410 18564 19672 36344
46110 24435 5921 22007 1880 5392 2716 49376 57472 29272 96280 20800 20292 14597 146407 50681 11154 3516 18585 19492 36111
46151 24336 5023 22389 1882 5411 2484 49356 57244 29544 96076 20080 20568 14811 146696 50448 11183 3415 18585 19839 36724
46033 24302 5265 22259 1885 5389 2712 49104 57312 29776 96116 19764 20132 14634 146505 50358 11910 3678 18477 19079 36573
46838 24303 5575 22892 1881 5390 2188 49228 57328 29568 96312 20780 20544 14373 146444 50345 11179 3394 18749 19656 36210
46222 24630 5482 22213 1879 5398 2900 49248 57832 29032 96248 20780 20216 14196 146688 50656 11275 3151 18747 19509 36594
46067 24680 5078 22584 1878 5400 2588 49208 57864 29372 96400 19956 20460 14353 146332 50927 11501 3510 18494 19520 36162
46971 24764 5993 22836 1883 5390 2632 49252 57028 29524 96332 20864 20264 14224 146871 50653 11364 3511 18677 19629 36692
46004 24765 5362 22866 1885 5393 2572 49144 57244 29680 96388 20032 20400 14393 148745 50546 11396 3629 18635 19161 36911
46078 24563 5027 22775 1877 5410 2688 49244 57980 29612 96248 20064 20424 14443 148140 50481 11723 3510 18485 19499 36214
46267 24757 5509 22591 1878 5400 2888 49488 57724 29908 96292 19944 20172 14293 146790 50635 11299 3109 18530 19335 36785
46181 24290 5444 22082 1879 5388 2968 49196 57444 29668 96116 19924 20428 14807 146795 50842 11488 3510 18583 19337 36650
46128 24172 5255 22737 1882 5400 2708 49100 57580 29128 96496 20048 20264 14477 146044 50624 11268 3101 18752 19457 36752
46818 24385 5111 22406 1880 5385 2064 49172 57608 29856 96332 20976 20184 14086 146320 50017 11107 3120 18828 19285 36613
46115 24805 5204 22766 1886 5401 2300 49268 57740 29296 96540 20032 20172 14202 146905 50681 11469 3123 18911 19599 36996
46162 24388 5880 22048 1883 5406 2592 49672 57812 29352 96252 19956 20440 14284 146736 50813 11281 3310 18430 19630 36306
46888 24556 5711 22018 1880 5411 2340 49596 57628 29236 96276 20956 20432 14085 146236 50164 11300 3590 18678 19630 36633
46797 24349 5397 26217 1875 5393 2912 49480 57268 29444 96224 20132 20428 14282 146363 50854 11430 3869 18594 19266 36454
46762 24513 5327 22080 1880 5398 2024 49768 57572 29584 96272 19852 20380 14206 146202 50580 11332 3653 18565 19867 36787
46744 24330 5441 22952 1883 5408 2264 49300 57780 29188 96252 20952 20296 14403 164216 50521 11231 3790 18862 19058 36549
46289 24734 5697 22905 1884 5399 2044 49420 57276 29996 96112 19780 20220 14486 146735 50326 11281 3089 18591 19418 36430
46675 24407 5837 22644 1884 5404 2016 49284 57252 29756 96396 20012 20292 14603 145200 50056 11548 3526 18567 19139 36290
46165 24178 5196 22199 1882 5391 2600 49300 57300 29144 96080 19860 20512 14082 148120 50911 11525 3623 18607 19456 36833
46716 24380 5209 22186 1884 5409 2480 49228 57880 29832 96280 20944 20416 14751 143501 50140 11051 3812 18573 19574 36796
46309 24352 5263 22892 1883 5392 2004 49204 57808 29352 96116 20756 20232 14661 145702 50458 11205 3156 18826 19659 36263
46788 24439 5170 22908 1887 5399 2384 49240 57576 29136 96316 20072 20328 14226 146633 50638 11397 3620 18782 19089 36760
46117 24530 5023 22988 1879 5390 2928 49396 57760 29284 96280 20856 20228 14351 146266 50786 11260 3341 18521 19900 36734
46901 24285 5971 22102 1887 5386 2992 49108 57324 29536 96324 20956 20300 14453 146995 50076 11282 3515 18727 19171 36574
46114 24522 5902 22976 1884 5396 2596 49300 57592 29620 96100 20992 20456 14996 147606 50030 11141 3612 18501 19736 36322
46415 24736 5635 22660 1888 5393 2340 49276 57816 29036 96412 20860 20348 14734 146045 50226 11943 3683 18671 19775 36452
46449 24556 5009 22456 1888 5393 2876 49244 57856 29948 96392 20848 20388 14235 146585 50943 11464 3543 18730 19627 36915
46098 24263 5941 22887 1885 5410 2760 49376 57116 29520 96140 20052 20452 14718 146762 50541 11388 3643 18656 19218 36975
46028 24279 5505 22953 1881 5401 2836 49176 57820 29108 96168 20116 20432 14748 149222 50164 11294 3461 18689 19250 36781
46940 24246 5220 22672 1884 5399 2268 49032 57156 29564 96344 20992 20292 14819 148182 50714 11267 3001 18516 19538 36257
46755 24658 5470 22021 1885 5395 2976 49348 57516 29008 96228 20128 20252 14350 146254 50268 11222 3904 18630 19516 36249
46171 24157 5090 22950 1882 5398 2584 49164 57648 29724 96132 20816 20256 14439 146326 50348 11170 3492 18605 19802 36893
46179 24677 5625 22639 1884 5403 2316 49960 57212 29180 96284 20016 20252 14523 146325 50615 11361 3699 18739 19461 36063
46384 24311 5039 22222 1885 5393 2160 49500 57308 29792 96288 19812 20284 14790 148638 50597 11076 3329 18620 19461 36749
46175 24422 5289 22795 1884 5404 2224 49268 57880 29100 96216 20024 20208 14499 143612 50034 11250 3290 18728 19234 36942
46602 24550 5233 22947 1880 5399 2128 49464 57728 29992 96164 20972 20356 14074 144462 50405 11109 3529 18833 19529 36618
46353 24345 5956 22234 1879 5399 2992 49256 57060 29708 96344 20752 20432 14065 145570 50059 11248 3529 18569 19208 36999
46844 24427 5259 22121 1883 5396 2192 49112 57896 29924 96060 20032 20408 14596 146744 50271 11109 3392 18615 19405 36872
46451 24286 5826 22790 1877 5421 2592 49208 57092 29704 96220 20804 20252 14247 144126 50644 11211 3428 18658 19864 36968
46307 24725 5992 22823 1887 5415 2908 49252 57708 29508 96548 20064 20304 14774 142643 50024 11203 3429 18628 19683 36676
46815 24142 5740 22023 1882 5400 2228 49128 57916 29664 96296 20812 20400 14046 146465 50615 11298 3423 18607 19594 36759
46150 24209 5338 22749 1881 5401 2300 49816 57064 29372 96092 20936 20256 14446 147079 50828 11140 3425 18677 19723 36081
