C#_energy Go_energy Java_energy JS_energy PHP_energy PY_energy Ruby_energy C#_time Go_time Java_time JS_time PHP_time PY_time Ruby_time
 127.5 26.8 23.5 53.8 841.1 177.4 1214.5 67 7 24 28 267 75 673
 112.8 15.9 68.7 38.0 355.5 177.0 1263.1 58 7 23 22 299 75 678
 NaN 14.1 63.6 48.9 389.3 NaN 1233.2 60 7 23 22 276 75 680
 114.1 16.1 19.1 52.1 400.9 133.5 1192.7 59 7 23 22 248 75 672
 112.7 14.3 20.7 51.2 431.5 172.5 NaN 60 7 23 15 271 74 675
 113.7 14.2 24.4 56.7 401.8 175.3 178.2 60 7 23 15 284 75 676
 NaN 16.2 64.5 35.3 NaN 170.9 1211.3 59 7 23 22 281 75 682
 116.5 14.0 73.9 1.7 359.4 NaN 1209.1 58 7 23 23 299 76 677
 113.6 16.5 69.3 51.4 376.6 171.4 1179.7 58 7 22 23 240 76 674
 NaN 17.9 64.9 52.7 NaN NaN 1207.8 59 7 23 22 280 75 673
 130.3 14.3 66.0 38.2 844.1 177.2 1227.7 58 7 23 21 254 75 674
 113.7 18.1 22.9 51.4 343.1 176.1 1220.4 58 7 23 17 262 74 676
 113.9 16.1 66.3 57.2 370.4 172.0 428.3 60 7 22 16 244 76 678
 112.2 14.3 72.7 35.2 384.2 173.3 1198.6 57 7 23 16 261 75 668
 112.9 16.2 68.9 35.5 400.8 172.2 1217.0 56 7 23 22 298 75 681
 109.5 16.0 69.6 53.6 NaN NaN NaN 60 7 23 15 289 75 676
 110.7 16.1 63.0 52.6 376.6 3.5 1207.9 59 7 22 22 242 76 678
 114.7 17.8 64.4 37.7 377.2 172.2 1212.1 60 8 23 23 257 75 676
 115.3 17.7 69.1 50.5 385.0 170.6 1190.9 59 7 23 17 279 75 669
 113.4 18.0 66.6 51.0 415.5 169.6 1197.0 58 7 22 22 286 75 677
 112.4 15.9 66.5 37.6 408.8 171.9 1209.9 58 7 23 22 284 74 680
 116.5 16.0 22.6 50.9 422.9 170.6 1216.6 59 7 23 22 279 76 685
 111.9 15.9 66.9 52.9 NaN 173.5 1213.7 58 7 23 22 272 75 681
 113.8 16.0 65.5 37.6 825.1 185.2 1224.7 57 7 22 16 241 75 686
 114.9 18.1 68.0 35.7 386.5 176.6 1214.6 57 7 22 15 299 75 683
 112.9 16.2 67.2 52.1 406.7 159.4 1234.1 58 7 23 16 294 75 680
 118.7 14.2 66.6 52.8 394.3 171.9 1183.0 58 7 23 23 273 75 682
 116.5 14.3 67.8 57.6 420.0 174.4 1228.4 58 7 23 16 292 75 681
 115.6 16.1 68.2 38.2 407.5 175.0 1192.5 59 7 23 22 244 75 685
 112.4 16.1 70.0 53.6 428.0 176.0 1242.8 58 7 22 16 251 75 684
 113.1 16.1 69.2 51.6 420.7 174.7 1229.1 59 7 23 28 298 74 680
 114.1 16.2 70.4 43.0 405.9 170.7 1265.8 58 7 24 17 297 75 685
 116.9 16.5 67.9 53.5 404.8 172.1 1230.4 60 7 24 22 275 75 673
 116.0 16.5 67.3 54.8 379.6 181.3 1258.4 58 7 22 22 279 75 672
 118.9 16.4 66.9 1.7 419.3 180.4 1254.1 59 7 23 17 264 76 660
 116.4 14.3 68.5 1.7 473.6 177.1 1210.7 60 7 23 21 240 75 676
 114.3 16.2 67.6 55.7 449.2 162.4 1234.7 60 7 23 23 261 75 677
 116.3 16.2 66.3 56.4 860.2 178.0 1254.4 57 7 24 23 288 76 676
 114.9 18.1 68.0 35.7 386.5 176.6 1214.6 67 7 23 23 290 75 675
 112.9 16.2 67.2 52.1 406.7 159.4 1234.1 61 7 23 22 264 75 679
 118.7 14.2 66.6 52.8 394.3 171.9 1183.0 58 7 23 17 243 75 676
 116.5 14.3 67.8 57.6 420.0 174.4 1228.4 57 7 23 22 243 75 681
 115.6 16.1 68.2 38.2 407.5 175.0 1192.5 57 7 23 22 297 77 682
 112.4 16.1 70.0 53.6 428.0 176.0 1242.8 59 7 22 22 282 76 680
 113.1 16.1 69.2 51.6 420.7 174.7 1229.1 57 7 22 21 297 75 679
 114.1 16.2 70.4 43.0 405.9 170.7 1265.8 57 7 23 23 299 75 675
 116.9 16.5 67.9 53.5 404.8 172.1 1230.4 58 7 23 22 242 75 682
 116.0 16.5 67.3 54.8 379.6 181.3 1258.4 58 7 23 22 266 76 683
 118.9 16.4 66.9 1.7 419.3 180.4 1254.1 57 7 23 23 299 75 675
 113.1 16.1 69.2 51.6 420.7 174.7 1229.1 58 7 23 22 242 75 692
