C#_energy Go_energy Java_energy JS_energy PHP_energy PY_energy Ruby_energy C#_time Go_time Java_time JS_time PHP_time PY_time Ruby_time
229.0 19.9 92.7 2.3 396.4 147.4 2117.3 67 7 24 28 267 75 673
197.3 15.1 78.1 53.8 477.2 145.3 2124.9 58 7 23 22 299 75 678
73.5 17.5 77.9 51.4 572.2 147.7 2139.5 60 7 23 22 276 75 680
205.4 17.6 78.1 51.3 663.9 150.1 2113.1 59 7 23 22 248 75 672
211.4 15.3 75.9 37.9 565.5 144.5 2119.2 60 7 23 15 271 74 675
208.3 15.2 84.5 36.0 605.9 147.5 2127.6 60 7 23 15 284 75 676
203.1 17.3 75.3 53.6 586.6 148.9 1667.2 59 7 23 22 281 75 682
201.9 15.1 75.5 55.6 781.4 145.6 2079.6 58 7 23 23 299 76 677
196.3 17.2 77.0 57.0 NaN 148.1 1654.7 58 7 22 23 240 76 674
201.8 15.0 79.9 52.5 564.1 7.7 2064.5 59 7 23 22 280 75 673
197.5 14.9 77.1 50.8 511.6 123.9 2070.7 58 7 23 21 254 75 674
195.2 17.0 74.4 42.0 528.7 145.3 2073.0 58 7 23 17 262 74 676
184.7 14.9 76.6 36.9 776.7 146.3 2075.1 60 7 22 16 244 76 678
190.8 17.0 37.3 37.1 672.2 147.7 2048.5 57 7 23 16 261 75 668
186.1 19.3 74.1 54.8 312.5 145.5 2089.3 56 7 23 22 298 75 681
202.3 17.2 75.2 35.3 766.0 145.5 2065.5 60 7 23 15 289 75 676
195.8 17.0 72.5 53.4 635.9 145.4 2079.9 59 7 22 22 242 76 678
204.9 14.9 74.6 50.7 673.2 146.9 2077.5 60 8 23 23 257 75 676
196.3 14.9 74.7 39.9 569.6 147.2 2044.7 59 7 23 17 279 75 669
191.1 15.3 72.9 50.9 592.7 150.9 2079.6 58 7 22 22 286 75 677
196.0 17.0 75.0 51.9 585.2 136.2 1297.9 58 7 23 22 284 74 680
201.0 17.4 73.3 52.0 578.1 147.6 2127.1 59 7 23 22 279 76 685
201.2 19.3 82.9 53.1 561.9 145.7 2116.3 58 7 23 22 272 75 681
194.8 17.3 75.1 40.5 634.2 149.9 2123.4 57 7 22 16 241 75 686
194.4 19.2 76.0 37.8 630.7 148.5 2110.2 57 7 22 15 299 75 683
194.9 15.1 78.3 40.5 611.9 147.8 2120.3 58 7 23 16 294 75 680
199.0 17.3 79.5 53.3 569.5 150.9 2118.3 58 7 23 23 273 75 682
197.6 17.2 74.8 38.3 616.1 148.3 2106.4 58 7 23 16 292 75 681
201.7 17.2 84.6 55.3 644.5 147.4 2124.0 59 7 23 22 244 75 685
198.2 15.3 76.4 40.3 667.3 150.4 2135.3 58 7 22 16 251 75 684
201.9 17.4 79.5 NaN 633.8 148.8 2042.9 59 7 23 28 298 74 680
202.6 15.3 86.6 41.6 636.9 150.0 2153.5 58 7 24 17 297 75 685
206.0 16.0 87.6 56.3 83.7 135.9 2118.7 60 7 24 22 275 75 673
200.4 17.7 75.5 51.7 580.9 150.8 2119.8 58 7 22 22 279 75 672
205.9 19.6 75.5 45.3 562.1 158.3 NaN 59 7 23 17 264 76 660
206.9 15.2 80.9 49.8 NaN 146.4 2114.8 60 7 23 21 240 75 676
206.8 17.4 73.3 58.3 491.4 149.8 2118.1 60 7 23 23 261 75 677
365.0 18.1 93.1 60.5 417.0 157.9 2379.8 57 7 24 23 288 76 676
231.2 18.1 73.5 NaN 452.4 147.9 2120.0 67 7 23 23 290 75 675
200.8 19.6 80.2 54.0 545.2 150.2 2123.5 61 7 23 22 264 75 679
198.5 17.3 84.5 45.2 649.2 147.5 2102.7 58 7 23 17 243 75 676
196.0 15.3 76.2 53.8 795.4 147.9 2123.7 57 7 23 22 243 75 681
188.2 17.4 24.1 53.3 630.2 149.8 2112.5 57 7 23 22 297 77 682
196.5 15.3 82.5 53.6 707.8 149.2 635.8 59 7 22 22 282 76 680
195.1 14.9 76.6 49.4 6.1 145.4 2106.5 57 7 22 21 297 75 679
198.6 15.1 72.9 50.9 630.2 146.9 1182.2 57 7 23 23 299 75 675
198.2 19.3 78.2 53.8 636.0 145.7 2107.3 58 7 23 22 242 75 682
195.2 17.4 77.4 54.2 550.7 150.7 2114.5 58 7 23 22 266 76 683
