C#_MPF Go_MPF Java_MPF JS_MPF PHP_MPF PY_MPF Ruby_MPF C#_MRSS Go_MRSS Java_MRSS JS_MRSS PHP_MRSS PY_MRSS Ruby_MRSS C#_VCS Go_VCS Java_VCS JS_VCS PHP_VCS PY_VCS Ruby_VCS
77132 25422 2001 16056 15135 4223 328668 82144 57020 2248 70288 31104 18532 129752 81316 37778 32 440 8042 5750 57011
77315 25402 2972 16958 15430 4221 328852 82056 57208 2376 70392 31020 18468 128484 81370 37188 30 484 8017 5836 57871
77748 25509 2989 16278 15404 4211 329049 82180 57648 2248 70756 31164 18404 129600 81009 37205 31 491 8503 5117 57138
77112 25085 2001 16727 15452 4234 328654 82118 57748 2168 70376 31800 18564 127740 81080 37931 37 417 8941 5246 57412
77039 25809 2277 16908 15377 4231 328843 82120 57076 2256 70712 31756 18592 128528 81034 37410 39 433 8877 5275 57158
77577 25804 2276 16673 15289 4241 328407 82884 57920 2320 70180 31900 18468 126856 81552 37792 30 481 8938 5364 57533
77989 25218 2175 16389 15210 4226 328491 82356 57968 2172 70092 31056 18396 126764 81905 37855 30 424 8089 5463 57719
77734 25101 2007 16025 15283 4222 326929 82880 57100 2292 70564 31924 18396 120828 81068 37187 32 439 8893 5737 57130
77575 25425 2002 16167 15288 4243 326555 82976 57124 2320 70216 31840 18284 129464 81479 37614 32 479 8816 5647 57626
77259 25355 2006 16872 15456 4232 329031 82776 57228 2304 70468 31012 18636 129448 81009 37576 30 432 8185 5326 57523
77573 25600 2995 16779 15243 4219 328623 82100 57024 2296 70932 31732 18636 127712 81896 37166 31 492 8982 5235 57616
77052 25762 2000 16622 15228 4233 328778 82160 57952 2304 70444 31060 18412 127988 81998 37090 31 472 8166 5212 57973
77541 25391 2000 16382 15410 4219 328825 82196 57584 2292 70180 31740 18592 128520 81295 37177 31 406 8511 5989 57801
77395 25741 2176 16442 15467 4220 328818 82192 57172 2292 70568 31868 18464 128436 81313 37843 31 413 8088 5440 57061
77988 25628 2177 16107 15295 4217 326817 82180 57944 2216 70468 31676 18328 120160 81033 37391 30 479 8617 5069 57423
77286 25248 2174 16241 15411 4207 329133 82148 57628 2256 70028 31896 18532 129680 81745 37240 31 411 8757 5535 57164
77213 25456 2185 16985 15487 4240 326666 82184 57120 2248 70132 31884 18440 129828 81762 37776 38 407 8983 5538 57111
77941 25651 2186 16611 15208 4244 328615 82162 57272 2168 70908 31688 18592 127600 81749 37409 30 461 8968 5325 57698
77857 25802 2170 16649 15267 4229 328860 82196 57188 2332 70032 31056 18536 128644 81708 37158 30 415 8146 5344 57193
77868 25284 2163 16744 15205 4208 326629 82364 57148 2304 70292 31688 18580 129880 81712 37442 31 430 8996 5764 57486
77890 25113 2181 16651 15042 4223 328951 82980 57376 2300 70156 31904 18536 128872 81745 37468 31 419 8786 5202 57523
77175 25984 2191 16614 15280 4216 326680 82996 57272 2312 70052 31732 18284 129960 81736 37501 38 488 8506 5288 57002
77777 25902 2163 16472 15347 4232 328804 82160 57992 2156 70936 31988 18588 128492 81756 37319 39 418 8019 5752 57419
77284 25395 2185 16782 15269 4241 328443 82104 57564 2312 70704 31844 18424 126888 81742 37418 32 492 8745 5380 57311
77373 25144 2184 16124 15235 4225 326814 82164 57172 2376 70244 31012 18504 120452 81419 37497 32 440 8227 5158 57568
77104 25169 2160 16516 15468 4222 328401 82100 57300 2176 70288 31168 18532 126852 88743 37688 30 483 8579 5738 57285
77554 25182 2000 16113 15308 4219 328514 82144 57080 2164 70848 31788 18420 127236 81746 37044 31 492 8845 5109 57083
77837 25492 2172 16898 15235 4205 326554 82140 57084 2300 70876 31948 18392 129468 81790 37031 31 461 8808 5825 57168
77762 25606 2183 16932 15244 4235 328688 82100 57660 2240 70444 31768 18596 127956 81718 37920 31 497 8356 5811 57126
77457 25791 2180 16309 15437 4224 326725 82308 57016 2168 70016 31924 18380 120064 81171 37302 39 443 8890 5567 57149
77707 25307 2194 16244 15235 4210 328466 82138 57844 2292 70956 31900 18428 217000 81419 37549 39 432 8933 5740 57435
77175 25009 2197 16658 15325 4229 328624 82126 57648 2248 70540 31844 18584 127568 81593 37431 30 472 8192 5935 57799
77989 25089 2175 16576 15423 4211 326496 82116 57524 2212 70620 31892 18592 129084 81107 37009 30 434 8955 5198 57399
77460 25787 2192 16907 15282 4204 328955 82160 57032 2300 70156 31076 18424 128960 81851 37802 31 448 8484 5533 57116
77772 25519 2189 16689 15563 4237 328378 82168 57956 2392 70032 31068 18444 126792 81556 37941 30 467 8122 5650 57120
77931 25715 2190 16515 15354 4228 328450 82136 57444 2296 70352 31932 18588 127128 81596 37814 31 462 8884 5197 57837
77956 25270 2179 16668 15263 4245 326432 82196 57376 2248 70716 31840 18472 129108 81586 37803 30 463 8592 5626 57174
77006 25372 2181 16304 15308 4209 328661 82140 57644 2284 70640 31924 18432 127752 81037 37702 32 459 8112 5284 57942
77725 25224 2190 16192 15201 4206 328675 82024 57900 2304 70860 31856 18424 127652 81717 37245 38 446 8994 5225 57090
77148 25421 2198 16552 15296 4203 328694 83440 57128 2164 70612 31780 18444 127684 81289 37201 31 481 8518 5230 57924
77897 25990 2186 16891 15420 4229 328868 82468 57228 2312 70996 31764 18384 128672 81214 37373 30 424 8776 5113 57776
79755 25387 2187 16697 15249 4238 326916 82172 57564 2172 70944 31908 18420 120840 81775 37537 38 455 8147 5182 57460
