C#_MPF Go_MPF Java_MPF JS_MPF PHP_MPF PY_MPF Ruby_MPF C#_MRSS Go_MRSS Java_MRSS JS_MRSS PHP_MRSS PY_MRSS Ruby_MRSS C#_VCS Go_VCS Java_VCS JS_VCS PHP_VCS PY_VCS Ruby_VCS
213492 26818 5306 22074 1942 5395 17564 84512 69204 30696 94828 20342 17904 13312 108802 27177 17161 3489 10414 14528 26534
213657 26781 5554 22668 1323 5688 17131 84388 68724 30676 94544 20525 17644 13692 108642 27979 17178 3439 10414 14534 26155
213692 26516 5490 22036 1989 5311 17897 84512 68816 30128 94800 20755 17848 13354 108215 27664 17227 3791 10652 18455 26562
213206 26884 5543 22218 1895 5247 17542 84664 69060 30416 94588 20515 17004 13661 108809 27202 17363 3191 10423 15920 26321
213698 26977 5840 22763 1871 5268 17465 84370 64320 30320 94168 20618 17980 13092 108065 27333 17380 3145 10789 14683 26415
213020 26666 5206 22829 1891 5157 17582 83438 62524 30380 94032 20231 17964 13897 108601 27515 17166 3484 10091 14264 26185
213155 26334 5729 22892 1898 5372 17411 84376 64740 30388 94468 20461 17828 13215 108291 27611 17327 3477 10410 14567 26455
213676 26489 5172 22805 1415 5317 17901 83424 64948 30112 94844 20517 17996 13515 108388 27172 17313 3470 10312 14570 26451
213742 25546 5456 22489 1581 5351 17419 84068 64488 30500 94872 20314 17864 13985 108747 27049 17444 3438 10519 14351 26981
213598 25099 5878 22065 1515 5315 17621 84378 61416 30276 94336 20151 17624 13435 108259 27247 17333 3401 10510 14628 26198
213978 25185 5686 22972 1589 5367 17316 84360 61120 30428 94136 20378 17948 13561 108692 27870 17164 3493 10297 14034 26419
213150 26967 5855 22487 1891 5324 17761 84364 64824 30740 94840 20713 17860 13561 108871 27418 17849 3401 10341 14720 26009
213390 23143 5601 22727 1891 5310 17515 84370 62524 30500 94688 20615 17864 13610 108553 27381 17098 3433 10551 14546 26911
213465 26439 5808 22704 1890 5302 17515 84344 64340 30900 94824 20618 17656 13280 108175 27208 17224 3404 10157 14479 26098
213033 25935 5023 22342 1891 5276 17791 83558 64868 30880 94304 20213 17852 13902 108343 27431 17284 3437 10821 14815 26071
213027 26792 5444 22586 1891 5415 17516 84352 64564 30192 94564 20427 17696 13018 108046 27817 17596 3415 10313 14419 26091
213042 26213 5456 22580 1788 5339 17231 84396 68140 30384 94464 20519 17788 13312 108445 27903 17207 3410 10510 14687 26109
213760 25936 5022 22577 1891 5318 17651 83748 68248 30488 94316 20063 17968 13341 108120 27938 17486 3468 10640 14639 26109
213276 26807 5991 22641 1891 5173 17591 84358 68640 30600 94984 20417 17756 13451 108206 27133 17334 3440 10417 14253 26001
213240 25608 5445 22615 1191 5293 17847 84374 68836 31836 94776 20627 17956 13561 108863 27382 17480 3444 10419 14101 26008
213066 26620 5260 22660 1189 5371 17254 84336 63828 30128 94760 20527 17648 13891 108891 27986 17182 3492 10980 14045 26087
213813 26362 5453 22653 1871 5144 17662 84342 64948 32488 94336 20528 17832 13939 108393 27663 17500 3470 10311 14495 26901
213877 24634 5344 22131 1156 5325 17515 84370 63708 30608 94128 20964 17900 13491 108726 27093 17310 3490 10315 14192 26897
213867 26763 5804 22107 1814 5372 17515 84368 69620 32152 94464 20522 17692 13879 108639 27512 17255 3244 10511 14204 26198
213136 26773 5400 22968 1153 5122 17671 83854 63580 31156 94648 20627 17900 13890 108164 27400 17407 3425 10215 14893 26948
213885 26067 5147 22521 1434 5344 17632 84364 64164 30812 94324 20262 17816 13897 108287 27942 17332 3391 10968 14878 26981
213761 25354 5208 22770 1981 5151 17551 84358 64516 30028 94160 20265 17896 13135 108974 27909 17894 3499 10189 14295 26851
213124 25371 5934 22157 1891 5292 17661 84360 63968 30836 94104 20626 17896 13551 108318 27324 17851 3468 10418 14881 26319
213923 26928 5946 22714 1671 5395 17513 83854 63412 30328 94472 20627 17960 13342 108396 27327 17309 3421 10319 14307 26150
213780 26405 5643 22382 1178 5368 17551 84364 64176 30548 94184 20265 17648 13351 108194 27919 17178 3714 10510 14065 26191
213958 26380 5626 22243 1148 5363 17551 83822 69180 30056 94848 20626 17816 13151 108956 27354 17174 3443 10219 14490 26809
213346 25458 5897 22988 1895 5379 17578 84360 68892 30116 94956 20622 17628 13319 108953 27259 17876 3403 10218 14893 26191
213301 25309 5933 22113 1321 5412 17857 84354 68084 30516 94136 20626 17872 13905 108728 27513 17899 3422 10518 14642 26195
213912 25951 5462 22763 1243 5412 17757 84074 68040 30756 94996 20256 17868 13512 108265 27030 17994 3631 10421 14289 26191
213373 26543 5473 22209 1456 5695 17552 84320 68476 30944 94952 20265 17856 13151 108267 27812 17331 3987 10727 14492 26126
213172 26061 5544 22972 1581 5368 17788 83964 68944 30148 94092 20625 17848 13432 108631 27883 17404 3800 10516 14020 26195
213409 25318 5168 22626 1583 5317 17123 84392 68384 30160 94836 20628 17792 13324 108730 27804 17513 3427 10631 14127 26414
213022 25317 5947 22620 1281 5516 17313 84344 68476 30756 94092 20906 17004 13319 108690 27875 17463 3484 10415 14916 26156
213135 27682 5691 22153 1351 5511 17555 83640 68728 31576 94852 20094 17808 13310 108241 27884 17285 3699 10758 14121 26591
213985 26480 5538 22664 1395 5256 17515 84364 68828 32524 94804 20638 17692 13678 108590 27878 17304 3488 10515 14030 26194
213138 26762 5409 22264 1571 5345 17881 84332 68952 31832 94948 20738 17852 13909 108399 27883 17477 3431 10151 14385 26155
213877 26307 5795 22397 1581 5355 17136 84378 68292 32696 94704 20636 17784 13591 108111 27851 17200 3476 10179 14982 26451
213515 24935 5349 23019 1517 5335 17231 84108 68244 31820 94520 20848 17586 13988 108817 27329 17453 3442 10322 14125 26159
213995 25149 5487 23242 1279 5397 17315 84396 68500 32132 94416 20712 17876 13556 108024 27512 17518 3454 10225 14904 26576
213688 26513 5851 21149 1181 5355 17212 84012 68960 32000 94924 20264 17888 13029 108798 27946 17165 3428 10518 14677 26194
213925 26933 5738 22890 1581 5313 17511 84298 68820 31244 94920 20315 17808 13756 108371 27866 17754 3406 10436 14021 26982
219067 26898 5463 23061 1351 5391 17511 84392 68724 32524 94644 20313 17868 13568 108375 27899 17344 3497 10515 14974 26195
219599 26066 5470 21848 1189 5402 17145 84070 68492 30152 94348 20551 17988 13891 108117 27852 17137 3408 10681 14928 26198
213112 26804 5860 22178 1389 5253 17112 84372 68764 30432 94152 20551 17756 13519 108552 27924 17644 3425 10326 14140 26158
213395 26979 5655 21181 1578 5314 17784 82928 68888 30198 94984 20511 17896 13509 108815 27477 17838 3458 10626 14990 62189
