C#_energy Go_energy Java_energy JS_energy PHP_energy PY_energy Ruby_energy C#_time Go_time Java_time JS_time PHP_time PY_time Ruby_time
 320.1 15.0 455.7 55.3 40.4 110.1 94.3 151 7 240 15 21 51 42
 297.8 13.8 411.8 53.8 42.6 109.8 96.7 130 7 258 23 20 50 42
 337.9 15.7 411.1 55.3 38.5 108.7 93.7 130 7 256 22 20 51 42
 336.9 15.8 457.0 51.7 37.4 NaN NaN 130 7 256 22 21 51 42
 302.6 17.9 411.8 50.8 39.1 110.0 95.1 130 7 256 21 20 50 43
 298.3 16.1 490.6 53.8 39.1 108.3 96.8 132 7 257 17 20 51 42
 296.3 15.7 NaN 50.7 38.7 107.7 94.1 130 7 256 28 19 50 43
 294.2 15.6 413.6 54.8 38.8 107.0 94.5 130 7 256 22 20 51 42
 292.7 15.7 NaN 54.6 37.1 110.9 NaN 130 7 257 28 19 50 42
 290.9 15.5 NaN 80.4 39.0 105.5 96.1 130 7 256 15 21 51 42
 336.6 16.1 417.4 54.3 39.9 110.4 97.4 131 7 258 23 20 51 42
 299.0 17.9 411.6 53.8 41.9 112.1 96.0 130 7 257 20 21 50 42
 298.9 16.1 413.5 53.5 37.4 107.0 93.9 130 7 257 22 20 50 41
 292.5 15.9 445.4 52.7 38.5 106.6 96.9 130 7 257 34 20 51 44
 294.2 15.5 449.6 53.2 42.5 108.0 94.7 130 7 256 21 21 50 43
 289.6 15.6 NaN 77.5 40.7 NaN 93.0 131 7 240 28 20 61 42
 142.2 15.6 413.6 1.7 38.6 108.0 96.8 130 7 256 22 19 51 42
 292.8 13.5 409.8 NaN 40.5 107.7 96.0 130 8 257 22 22 51 42
 292.7 15.7 NaN NaN 36.8 110.3 97.5 130 7 257 22 20 51 42
 300.8 15.9 NaN 52.0 42.6 107.8 95.8 130 7 257 22 22 51 42
 295.2 13.8 417.3 NaN 42.9 105.9 94.6 129 7 256 28 21 51 43
 293.6 13.8 458.0 54.5 36.9 108.3 NaN 129 7 256 23 21 51 42
 272.4 17.7 457.9 48.4 41.3 108.9 94.5 130 7 256 28 21 51 42
 300.0 17.7 481.7 52.9 40.7 148.0 95.4 131 7 257 22 20 51 42
 293.0 13.9 445.5 NaN 40.0 110.3 97.6 130 7 257 25 20 51 42
 300.2 14.0 481.8 NaN 43.2 108.3 96.2 130 7 256 22 20 50 42
 303.0 14.3 468.7 51.5 39.4 106.7 98.0 130 7 256 22 21 50 42
 300.3 14.1 448.4 53.6 39.8 109.2 99.0 132 7 240 22 21 51 42
 304.9 16.2 469.4 77.7 37.8 111.1 93.7 130 7 257 24 22 51 42
 298.7 16.1 NaN 57.1 43.6 108.3 97.4 133 7 256 22 21 51 42
 300.4 14.1 453.7 NaN 41.5 110.5 93.5 129 7 256 22 20 51 43
 297.5 14.1 457.5 54.0 37.3 107.7 98.0 130 7 258 22 20 52 42
 301.6 16.1 448.5 53.5 37.6 112.2 95.2 174 7 258 22 20 51 42
 306.9 18.5 462.7 58.4 39.8 112.4 99.3 131 7 256 22 21 50 42
 306.1 16.4 448.2 55.2 42.0 115.0 99.7 130 7 256 22 22 52 43
 302.7 14.2 NaN 54.7 43.4 110.4 99.6 131 7 240 22 22 51 42
 304.5 16.1 4541.8 57.4 43.7 113.8 97.9 121 7 257 28 21 51 43
 307.4 14.2 460.6 54.2 41.9 113.4 98.5 127 7 257 22 21 54 43
 295.2 13.8 417.3 NaN 42.9 105.9 94.6 149 7 257 16 20 51 42
 293.6 13.8 458.0 54.5 36.9 108.3 NaN 129 7 240 22 20 51 42
 272.4 17.7 457.9 48.4 41.3 108.9 94.5 130 7 257 28 21 51 42
 300.0 17.7 481.7 52.9 40.7 148.0 95.4 130 7 257 22 21 51 42
 293.0 13.9 445.5 NaN 40.0 110.3 97.6 131 7 257 22 21 51 42
 300.2 14.0 481.8 NaN 43.2 108.3 96.2 130 7 257 22 21 51 43
 303.0 14.3 468.7 51.5 39.4 106.7 98.0 130 7 240 28 21 51 43
 300.3 14.1 448.4 53.6 39.8 109.2 99.0 130 7 256 30 22 51 42
 304.9 16.2 469.4 77.7 37.8 111.1 93.7 129 7 256 21 20 51 43
 293.0 13.9 445.5 NaN 40.0 110.3 97.6 129 7 257 34 20 51 42
 300.2 14.0 481.8 NaN 43.2 108.3 96.2 130 7 240 28 21 51 43
 303.0 14.3 468.7 51.5 39.4 106.7 98.0 130 7 256 30 22 51 42
