C#_MPF Go_MPF Java_MPF JS_MPF PHP_MPF PY_MPF Ruby_MPF C#_MRSS Go_MRSS Java_MRSS JS_MRSS PHP_MRSS PY_MRSS Ruby_MRSS C#_VCS Go_VCS Java_VCS JS_VCS PHP_VCS PY_VCS Ruby_VCS
243492 26818 6306 15074 1902 5395 13564 84512 67204 32696 68828 15342 18904 12312 251802 33177 4161 489 8414 24528 13534
243657 26781 6554 15668 1323 5388 13131 84388 68724 32676 68544 15525 18644 12692 251642 33979 4178 439 8414 24534 13155
243692 26516 6490 15036 1989 5361 13897 84512 68816 32128 68800 16755 18848 12354 250215 33664 4227 491 8652 28455 13562
243206 26884 6543 15218 1895 5397 13542 84664 69060 32416 68588 15515 18004 12661 251809 33202 4363 491 8423 25920 12321
243698 26977 6840 15763 1871 5368 13465 84370 64320 32320 68168 15618 18980 12092 252065 34333 4380 445 8789 24683 13415
243020 26666 6206 15829 1891 5397 13582 83438 62524 32380 68032 15231 18964 12897 252601 33515 4166 484 8091 24264 13185
243155 26334 6729 15892 1898 5372 13411 84376 64740 32388 68468 15461 18828 12215 265291 33611 4327 477 8410 24567 13455
243676 26489 6172 15805 1415 5379 13901 83424 64948 32112 68844 15517 18996 12515 252388 33172 4313 470 8312 24570 13451
243742 25546 6456 15489 1581 5371 13419 84068 64488 32500 68872 15314 18864 12985 250747 33049 4444 438 8519 24351 12981
243598 25099 6878 15065 1515 5389 13621 84378 61416 32276 68336 15151 18624 12435 253259 33247 4333 401 8510 24628 13198
243978 25185 6686 15972 1589 5367 13316 84360 61120 32428 68136 15378 18948 12561 250692 33870 4164 493 8297 24034 13419
243150 26967 6855 15487 1891 5390 13761 84364 64824 32740 68840 15713 18860 12561 249871 33418 4849 401 8341 24720 14009
243390 23143 6601 15727 1891 5374 13515 84370 62524 32500 68688 15615 18864 12610 252553 33381 4098 433 8551 24546 13911
243465 26439 6808 15704 1890 5392 13515 84344 64340 32900 68824 15618 18656 12280 252175 33208 4224 404 8157 24479 13098
243033 25935 6023 15342 1891 5376 13791 83558 64868 32880 68304 15213 18852 12902 250343 33431 4284 437 8821 24815 13071
243027 26792 6444 15586 1891 5385 13516 84352 64564 32192 68564 15427 18696 12018 253046 33817 4596 415 8313 24419 13091
243042 26213 6456 15580 1788 5389 13231 84396 68140 32384 68464 15519 18788 12312 253445 33903 4207 410 8510 24687 13109
243760 25936 6022 15577 1891 5398 13651 83748 68248 32488 68316 15063 18968 12341 252120 33938 4486 468 8640 24639 13109
243276 26807 6991 15641 1891 5373 13591 84358 68640 32600 68984 15417 18756 12451 251206 33133 4334 440 8417 24253 13001
243240 25608 6445 15615 1191 5392 13847 84374 68836 32836 68776 15627 18956 12561 250863 33382 4480 444 8419 24101 13008
243066 26620 6260 15660 1189 5374 13254 84336 63828 32128 68760 15527 18648 12891 251891 33986 4182 492 8980 24045 13087
243813 26362 6453 15653 1871 5394 13662 84342 64948 32488 68336 15528 18832 12939 251393 33663 4500 470 8311 24495 13901
243877 24634 6344 15131 1156 5395 13515 84370 63708 32608 68128 15964 18900 12491 252726 33093 4310 490 8315 24192 13897
243867 26763 6804 15107 1814 5372 13515 84368 69620 32152 68464 15522 18692 12879 250639 33512 4255 444 8511 24204 13198
243136 26773 6400 15968 1153 5395 13671 83854 63580 32156 68648 15627 18900 12890 251164 33400 4407 425 8215 24893 12948
243885 26067 6147 15521 1434 5374 13632 84364 64164 32812 68324 15262 18816 12897 251287 33942 4332 491 8968 24878 13981
243761 25354 6208 15770 1981 5365 13551 84358 64516 32028 68160 15265 18896 12135 251974 33909 4894 499 8189 24295 13851
243124 25371 6934 15157 1891 5392 13661 84360 63968 32836 68104 15626 18896 12551 250318 33324 4851 468 8418 24881 12319
243923 26928 6946 15714 1671 5395 13513 83854 63412 32328 68472 15627 18960 12342 251396 31327 4309 421 8319 24307 13150
243780 26405 6643 15382 1178 5368 13551 84364 64176 32548 68184 15265 18648 12351 250194 33919 4178 414 8510 24065 13191
243958 26380 6626 15443 1148 5363 13551 83822 69180 32056 68848 15626 18816 12151 252956 33354 4174 443 8219 24490 13809
243346 25458 6897 15988 1895 5379 13578 84360 68892 32116 68956 15622 18628 12319 250953 33259 4876 403 8218 24893 13191
243301 25309 6933 15113 1321 5392 13857 84354 68084 32516 68136 15626 18872 12905 250728 33513 4899 422 8518 24642 13195
243912 25951 6462 15763 1243 5392 13757 84074 68040 32756 68996 15256 18868 12512 252265 33030 4994 431 8421 24289 13191
243373 26543 6473 15209 1456 5395 13552 84320 68476 32944 68952 16265 18856 12151 251267 33812 4331 487 8727 24492 13126
243172 26061 6544 15972 1581 5378 13788 83964 68944 23148 68092 15625 18848 12432 252631 33883 4404 400 8516 24020 13195
243409 25318 6168 15626 1583 5377 13123 84392 68384 32160 68836 15628 18792 12324 251730 33804 4513 427 8631 24127 13414
243022 25317 6947 15620 1281 5396 13313 84344 68476 32756 68092 15906 18004 12319 251690 33875 4463 484 8415 24916 13156
243135 27682 6691 15153 1351 5391 13555 83640 68728 32576 68852 15094 18808 12310 252241 33884 4285 499 8758 24121 13591
243985 26480 6838 15664 1395 5386 13515 84364 68828 32524 68804 15638 18692 12678 252590 33878 4304 488 8515 24030 13194
243138 26762 6409 15264 1571 5375 13881 84332 68952 32832 68948 15738 18852 12909 251399 33883 4477 431 8151 24385 13155
243877 26307 6795 51397 1581 5385 13136 84378 68292 32696 68704 15636 18784 12591 250111 33851 4200 476 8179 24982 13451
243515 24935 6349 15019 1517 5374 13231 84108 68244 32820 68520 15848 18586 12988 252817 38329 4453 442 8322 24125 13159
243995 25149 6487 15242 1279 5397 13315 84396 68500 32132 68416 15712 18876 12556 251024 33512 4518 454 8225 24904 13576
243688 26513 6851 15149 1181 5393 13212 84012 68960 32000 68924 15264 18888 12029 251798 33946 4165 428 8518 24677 13194
243925 26933 6738 15890 1581 5372 13511 84298 68820 32244 68920 15315 18808 12756 251371 33866 4754 406 8436 24021 13982
239067 26898 6463 15061 1351 5392 13511 84392 68724 32524 68644 15313 18868 12568 249375 33899 4344 497 8515 24974 13195
239599 26066 6470 15848 1189 5403 13145 84070 68492 32152 68348 15551 18988 12891 251117 33852 4137 408 8681 24928 13198
243112 26804 6860 15178 1389 5393 13112 84372 68764 32432 68152 15551 18756 12519 251552 33924 4644 425 8326 24140 13158
243395 26979 6655 15181 1578 5394 13784 82928 68888 32198 68984 15511 18896 12509 251815 33477 4838 458 8626 24990 13189
