csharp go java javascript php python ruby
0 30.5 208.9 2.3 349.9 44.5 24.7
0 26.4 189.9 2.4 588.1 45.0 28.4
0 31.2 184.2 8.5 580.0 40.5 28.2
0 24.2 627.9 8.5 585.5 47.0 26.3
0 26.3 181.2 2.2 590.4 43.0 26.2
0 26.5 186.8 4.3 592.9 47.7 26.4
0 26.4 179.6 10.3 585.2 45.1 26.1
0 26.2 182.0 2.2 NaN 44.3 26.0
0 25.9 180.4 2.1 575.3 41.4 28.0
0 23.5 630.4 NaN 581.1 46.3 26.0
0 23.6 44.9 4.2 578.1 46.5 26.0
0 22.9 175.6 2.2 582.9 41.4 26.0
0 25.6 485.0 4.2 NaN 46.2 28.0
0 26.0 422.2 2.1 581.7 42.5 26.0
0 23.5 600.5 8.1 574.9 43.5 26.1
0 26.0 176.4 4.4 NaN 42.0 25.8
0 23.1 177.7 2.2 580.7 45.0 26.0
0 25.6 176.9 8.4 360.4 39.5 26.1
0 23.7 35.4 2.2 581.7 43.8 26.0
0 23.2 173.9 2.2 577.8 42.6 26.1
0 23.1 610.4 2.3 587.7 40.3 24.6
0 23.7 182.9 2.2 582.9 42.6 28.7
0 23.8 595.2 2.1 582.5 42.5 26.3
0 23.6 37.8 2.2 590.8 42.4 26.4
0 26.2 497.3 2.0 587.8 45.2 26.3
0 25.8 196.5 8.2 586.1 44.8 26.2
0 23.4 182.3 2.0 592.9 42.6 28.4
0 25.9 178.5 2.2 585.9 46.6 28.6
0 23.7 33.5 6.1 587.5 46.3 26.2
0 26.2 177.5 2.2 588.6 42.2 26.5
0 23.8 10.0 6.3 588.2 42.8 28.4
0 26.3 515.4 2.3 612.5 45.0 26.2
0 27.1 805.2 2.3 528.0 45.2 28.7
0 27.0 183.6 4.4 587.1 42.7 26.2
0 26.1 181.5 2.2 586.9 NaN 27.3
0 26.2 186.0 4.3 575.2 40.0 28.5
0 23.6 179.7 2.3 558.1 42.9 26.0
0 31.5 679.5 6.4 618.7 49.3 30.0
0 24.6 504.9 6.2 589.6 44.8 24.4
0 26.4 180.1 NaN 588.7 43.0 28.7
0 26.5 37.5 4.2 585.0 40.5 28.1
0 28.3 178.7 2.2 NaN 44.2 28.2
0 23.4 38.1 2.3 572.5 42.4 26.7
0 23.5 182.8 6.3 590.4 44.4 28.5
0 26.1 175.6 2.2 559.2 47.0 26.1
0 26.4 617.5 8.1 586.1 44.6 28.0
0 24.0 590.7 8.5 589.4 35.8 28.3
0 23.8 176.1 2.2 583.7 43.3 26.5
