csharp go java javascript php python ruby
229.0 19.9 92.7 2.3 396.4 147.4 2117.3
197.3 15.1 78.1 53.8 477.2 145.3 2124.9
73.5 17.5 77.9 51.4 572.2 147.7 2139.5
205.4 17.6 78.1 51.3 663.9 150.1 2113.1
211.4 15.3 75.9 37.9 565.5 144.5 2119.2
208.3 15.2 84.5 36.0 605.9 147.5 2127.6
203.1 17.3 75.3 53.6 586.6 148.9 1667.2
201.9 15.1 75.5 55.6 781.4 145.6 2079.6
196.3 17.2 77.0 57.0 NaN 148.1 1654.7
201.8 15.0 79.9 52.5 564.1 7.7 2064.5
197.5 14.9 77.1 50.8 511.6 123.9 2070.7
195.2 17.0 74.4 42.0 528.7 145.3 2073.0
184.7 14.9 76.6 36.9 776.7 146.3 2075.1
190.8 17.0 37.3 37.1 672.2 147.7 2048.5
186.1 19.3 74.1 54.8 312.5 145.5 2089.3
202.3 17.2 75.2 35.3 766.0 145.5 2065.5
195.8 17.0 72.5 53.4 635.9 145.4 2079.9
204.9 14.9 74.6 50.7 673.2 146.9 2077.5
196.3 14.9 74.7 39.9 569.6 147.2 2044.7
191.1 15.3 72.9 50.9 592.7 150.9 2079.6
196.0 17.0 75.0 51.9 585.2 136.2 1297.9
201.0 17.4 73.3 52.0 578.1 147.6 2127.1
201.2 19.3 82.9 53.1 561.9 145.7 2116.3
194.8 17.3 75.1 40.5 634.2 149.9 2123.4
194.4 19.2 76.0 37.8 630.7 148.5 2110.2
194.9 15.1 78.3 40.5 611.9 147.8 2120.3
199.0 17.3 79.5 53.3 569.5 150.9 2118.3
197.6 17.2 74.8 38.3 616.1 148.3 2106.4
201.7 17.2 84.6 55.3 644.5 147.4 2124.0
198.2 15.3 76.4 40.3 667.3 150.4 2135.3
201.9 17.4 79.5 NaN 633.8 148.8 2042.9
202.6 15.3 86.6 41.6 636.9 150.0 2153.5
206.0 16.0 87.6 56.3 83.7 135.9 2118.7
200.4 17.7 75.5 51.7 580.9 150.8 2119.8
205.9 19.6 75.5 45.3 562.1 158.3 NaN
206.9 15.2 80.9 49.8 NaN 146.4 2114.8
206.8 17.4 73.3 58.3 491.4 149.8 2118.1
365.0 18.1 93.1 60.5 417.0 157.9 2379.8
231.2 18.1 73.5 NaN 452.4 147.9 2120.0
200.8 19.6 80.2 54.0 545.2 150.2 2123.5
198.5 17.3 84.5 45.2 649.2 147.5 2102.7
196.0 15.3 76.2 53.8 795.4 147.9 2123.7
188.2 17.4 24.1 53.3 630.2 149.8 2112.5
196.5 15.3 82.5 53.6 707.8 149.2 635.8
195.1 14.9 76.6 49.4 6.1 145.4 2106.5
198.6 15.1 72.9 50.9 630.2 146.9 1182.2
198.2 19.3 78.2 53.8 636.0 145.7 2107.3
195.2 17.4 77.4 54.2 550.7 150.7 2114.5
