csharp go java javascript php python ruby
0 13 76 4 332 18 12
0 10 68 4 331 18 12
0 11 67 4 330 18 12
0 10 66 4 331 19 12
0 10 67 4 331 18 12
0 10 66 4 330 18 12
0 10 65 4 331 18 12
0 10 67 4 332 19 12
0 10 66 4 331 18 12
0 10 68 4 331 19 12
0 9 85 4 331 18 12
0 10 67 4 331 18 12
0 10 85 4 332 18 12
0 10 85 4 333 18 12
0 10 66 4 330 19 12
0 9 67 4 332 18 12
0 10 67 4 330 19 12
0 9 67 4 331 18 12
0 10 86 4 332 19 12
0 10 67 4 331 18 12
0 10 69 4 331 18 12
0 10 68 4 330 18 12
0 10 67 4 331 18 12
0 10 85 4 332 18 12
0 10 85 4 330 18 12
0 10 65 4 330 18 12
0 10 67 4 331 18 12
0 10 66 4 331 18 12
0 10 85 4 332 19 12
0 10 67 4 330 18 12
0 10 67 4 331 18 12
0 10 85 4 332 19 12
0 10 71 4 330 19 12
0 10 66 4 331 18 12
0 10 67 4 331 1 13
0 10 68 4 331 18 12
0 10 65 4 330 18 12
0 14 72 6 329 20 13
0 10 85 4 330 19 12
0 10 67 4 330 18 12
0 9 85 4 330 18 12
0 10 66 4 330 19 12
0 9 85 4 331 18 12
0 10 66 4 331 18 12
0 10 66 4 330 18 12
0 10 67 4 330 19 12
0 10 67 4 330 18 12
0 10 65 4 331 18 12
0 10 66 4 330 18 12
0 10 67 4 330 19 12
