csharp go java javascript php python ruby
67 7 24 28 267 75 673
58 7 23 22 299 75 678
60 7 23 22 276 75 680
59 7 23 22 248 75 672
60 7 23 15 271 74 675
60 7 23 15 284 75 676
59 7 23 22 281 75 682
58 7 23 23 299 76 677
58 7 22 23 240 76 674
59 7 23 22 280 75 673
58 7 23 21 254 75 674
58 7 23 17 262 74 676
60 7 22 16 244 76 678
57 7 23 16 261 75 668
56 7 23 22 298 75 681
60 7 23 15 289 75 676
59 7 22 22 242 76 678
60 8 23 23 257 75 676
59 7 23 17 279 75 669
58 7 22 22 286 75 677
58 7 23 22 284 74 680
59 7 23 22 279 76 685
58 7 23 22 272 75 681
57 7 22 16 241 75 686
57 7 22 15 299 75 683
58 7 23 16 294 75 680
58 7 23 23 273 75 682
58 7 23 16 292 75 681
59 7 23 22 244 75 685
58 7 22 16 251 75 684
59 7 23 28 298 74 680
58 7 24 17 297 75 685
60 7 24 22 275 75 673
58 7 22 22 279 75 672
59 7 23 17 264 76 660
60 7 23 21 240 75 676
60 7 23 23 261 75 677
57 7 24 23 288 76 676
67 7 23 23 290 75 675
61 7 23 22 264 75 679
58 7 23 17 243 75 676
57 7 23 22 243 75 681
57 7 23 22 297 77 682
59 7 22 22 282 76 680
57 7 22 21 297 75 679
57 7 23 23 299 75 675
58 7 23 22 242 75 682
58 7 23 22 266 76 683
57 7 23 23 299 75 675
58 7 23 22 242 75 692
