csharp go java javascript php python ruby
151 7 240 15 21 51 42
130 7 258 23 20 50 42
130 7 256 22 20 51 42
130 7 256 22 21 51 42
130 7 256 21 20 50 43
132 7 257 17 20 51 42
130 7 256 28 19 50 43
130 7 256 22 20 51 42
130 7 257 28 19 50 42
130 7 256 15 21 51 42
131 7 258 23 20 51 42
130 7 257 20 21 50 42
130 7 257 22 20 50 41
130 7 257 34 20 51 44
130 7 256 21 21 50 43
131 7 240 28 20 61 42
130 7 256 22 19 51 42
130 8 257 22 22 51 42
130 7 257 22 20 51 42
130 7 257 22 22 51 42
129 7 256 28 21 51 43
129 7 256 23 21 51 42
130 7 256 28 21 51 42
131 7 257 22 20 51 42
130 7 257 25 20 51 42
130 7 256 22 20 50 42
130 7 256 22 21 50 42
132 7 240 22 21 51 42
130 7 257 24 22 51 42
133 7 256 22 21 51 42
129 7 256 22 20 51 43
130 7 258 22 20 52 42
174 7 258 22 20 51 42
131 7 256 22 21 50 42
130 7 256 22 22 52 43
131 7 240 22 22 51 42
121 7 257 28 21 51 43
127 7 257 22 21 54 43
149 7 257 16 20 51 42
129 7 240 22 20 51 42
130 7 257 28 21 51 42
130 7 257 22 21 51 42
131 7 257 22 21 51 42
130 7 257 22 21 51 43
130 7 240 28 21 51 43
130 7 256 30 22 51 42
129 7 256 21 20 51 43
129 7 257 34 20 51 42
130 7 240 28 21 51 43
130 7 256 30 22 51 42
