% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 44.74    0.083145           1     60017           getcpu
 30.82    0.057271           2     25060           clock_gettime
 12.21    0.022695           5      5022           write
  2.78    0.005175          25       211           munmap
  2.64    0.004898          15       324         2 futex
  2.21    0.004102          18       223           mmap2
  1.06    0.001961           3       610           cacheflush
  0.83    0.001539           6       254           brk
  0.35    0.000643           5       141           read
  0.32    0.000603           4       169           openat
  0.31    0.000576          44        13           clone
  0.25    0.000457           9        52           mprotect
  0.22    0.000400           2       179           close
  0.17    0.000309           1       226        86 stat64
  0.14    0.000261           9        30        10 ioctl
  0.11    0.000205           1       152           lstat64
  0.09    0.000159           4        37           rt_sigaction
  0.07    0.000135           1       114           fstat64
  0.07    0.000127          14         9           getuid32
  0.06    0.000112          56         2           readlink
  0.06    0.000110           7        16         2 epoll_ctl
  0.06    0.000105          13         8           getegid32
  0.06    0.000104          13         8           getgid32
  0.06    0.000104          13         8           geteuid32
  0.05    0.000092           8        12           epoll_wait
  0.05    0.000090           9        10           prlimit64
  0.04    0.000072           4        19           getpid
  0.04    0.000071          18         4           pipe2
  0.03    0.000063           6        11           rt_sigprocmask
  0.03    0.000049           1        56           pread64
  0.02    0.000045          45         1           wait4
  0.02    0.000045          11         4           madvise
  0.02    0.000029          15         2           epoll_create1
  0.01    0.000022          22         1           poll
  0.01    0.000022          11         2           eventfd2
  0.01    0.000017          17         1           clock_getres
  0.01    0.000012          12         1           shutdown
  0.00    0.000009           3         3           socketpair
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         9         8 access
  0.00    0.000000           0         2           uname
  0.00    0.000000           0        18           _llseek
  0.00    0.000000           0         5           getcwd
  0.00    0.000000           0         1           ugetrlimit
  0.00    0.000000           0         2           getdents64
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         2           socket
  0.00    0.000000           0         2         2 connect
  0.00    0.000000           0         2           setsockopt
  0.00    0.000000           0         2           getsockopt
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         1           dup3
  0.00    0.000000           0         1           set_tls
------ ----------- ----------- --------- --------- ----------------
100.00    0.185834                 93062       110 total
