% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 15.27    2.111444           6    380029           mmap2
 12.99    1.796053           7    270040     60021 openat
  9.88    1.366717           4    375224           read
  9.62    1.330811           6    235028           mprotect
  8.12    1.122810           5    225000     35000 lstat64
  7.45    1.029685           8    125006           munmap
  7.34    1.015472           3    400020           fstat64
  6.30    0.871817           2    450042           rt_sigaction
  4.82    0.666234           3    260020     10000 _llseek
  4.67    0.645618           3    230033           close
  3.74    0.516837           4    115027     95008 access
  2.38    0.329492           5     70024           rt_sigprocmask
  1.57    0.217074           4     50130           brk
  1.16    0.160203           8     20076        30 stat64
  0.96    0.133243          27      5006           write
  0.65    0.090095           9     10000           getdents64
  0.47    0.065293           3     20004     20004 ioctl
  0.38    0.052044           3     15000           getcwd
  0.36    0.049543           5     10000           readlink
  0.32    0.044380           9      5002           sigreturn
  0.23    0.031681           6      5001           sysinfo
  0.22    0.031106           2     15000           setitimer
  0.22    0.030775           6      5002           clone
  0.19    0.025987           3     10000           getrandom
  0.15    0.021173           2     10002           ugetrlimit
  0.12    0.016708           3      5003           set_tls
  0.10    0.013567           3      5003           cacheflush
  0.09    0.011792           2      5000      5000 madvise
  0.06    0.008107           2      5000           set_tid_address
  0.06    0.007876           2      5000           set_robust_list
  0.05    0.007190           1      5004           uname
  0.05    0.007042           1      5003           execve
  0.01    0.001004           0      5004           getpid
  0.00    0.000078          39         2           pipe
  0.00    0.000067           4        17           getgid32
  0.00    0.000067           4        17           getegid32
  0.00    0.000066           4        17           getuid32
  0.00    0.000066           4        17           geteuid32
  0.00    0.000041          14         3         1 fcntl64
  0.00    0.000025          25         1           chdir
  0.00    0.000022           7         3           dup2
  0.00    0.000015          15         1           getppid
  0.00    0.000014          14         1           getpgrp
------ ----------- ----------- --------- --------- ----------------
100.00   13.829334               3355812    225064 total
