% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 38.21    0.085836           4     20000     15914 socket
 17.32    0.038913           1     32260     20000 epoll_ctl
  9.50    0.021337           2      8255           write
  6.92    0.015539           3      4086      4086 connect
  5.84    0.013108           3      4336           close
  5.13    0.011521          11      1027           munmap
  3.93    0.008831           2      4086           getsockopt
  3.20    0.007198           3      2374        94 futex
  2.84    0.006376           0     20080           getpid
  2.69    0.006041           1      4299           read
  2.11    0.004749           6       686           mmap
  1.32    0.002957          72        41           epoll_wait
  0.50    0.001127           1       741           brk
  0.12    0.000273           1       254         3 openat
  0.07    0.000155           0       393       154 stat
  0.07    0.000151           2        55           mprotect
  0.04    0.000093           0       259           lstat
  0.04    0.000081           0       203           fstat
  0.03    0.000064           1        34           rt_sigaction
  0.03    0.000064           9         7           prlimit64
  0.02    0.000044           2        22        12 ioctl
  0.02    0.000037           7         5           clone
  0.01    0.000029           3         8           getegid
  0.01    0.000018           2         9           getuid
  0.01    0.000017           2         8           getgid
  0.01    0.000013           0        52           pread64
  0.01    0.000013           1         8           geteuid
  0.00    0.000010           5         2           pipe2
  0.00    0.000007           1         5           rt_sigprocmask
  0.00    0.000006           3         2           getcwd
  0.00    0.000005           0         8           lseek
  0.00    0.000004           2         2         2 access
  0.00    0.000004           4         1           epoll_create1
  0.00    0.000003           3         1           poll
  0.00    0.000003           3         1           eventfd2
  0.00    0.000002           2         1           arch_prctl
  0.00    0.000002           2         1           set_tid_address
  0.00    0.000002           2         1           clock_getres
  0.00    0.000002           2         1           set_robust_list
  0.00    0.000000           0         1           madvise
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           readlink
------ ----------- ----------- --------- --------- ----------------
100.00    0.224635                103617     40265 total
