% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 20.52    0.055118           1     38040           recvfrom
 16.89    0.045354           2     20000           connect
 14.73    0.039569           1     20435           close
 14.10    0.037877           0     40617     40536 stat
 11.90    0.031965           1     20001           socket
  8.42    0.022615           1     20000           sendto
  8.40    0.022555           0     80012           fcntl
  2.17    0.005823           0     20000           setsockopt
  1.14    0.003055           1      2043      1615 openat
  0.52    0.001400         700         2           wait4
  0.33    0.000883           1       703           read
  0.23    0.000605           0       681           fstat
  0.18    0.000488           1       268           mmap
  0.16    0.000435           2       160           munmap
  0.13    0.000361         180         2           clone
  0.05    0.000147           1        78           mprotect
  0.04    0.000107           1        68           rt_sigaction
  0.03    0.000072           0        78           brk
  0.01    0.000038           0       103        66 lseek
  0.01    0.000023          23         1           bind
  0.00    0.000011           1        11           lstat
  0.00    0.000010           5         2           pipe
  0.00    0.000008           2         4           getdents
  0.00    0.000006           6         1           pipe2
  0.00    0.000005           2         2           uname
  0.00    0.000005           0         6         2 readlink
  0.00    0.000003           3         1           sysinfo
  0.00    0.000002           2         1           getuid
  0.00    0.000002           2         1           getgid
  0.00    0.000002           2         1           geteuid
  0.00    0.000002           2         1           getegid
  0.00    0.000002           0        12           futex
  0.00    0.000002           1         2           prlimit64
  0.00    0.000000           0         1           write
  0.00    0.000000           0         1           rt_sigprocmask
  0.00    0.000000           0         5         5 ioctl
  0.00    0.000000           0         2         2 access
  0.00    0.000000           0         1           mremap
  0.00    0.000000           0         1           getpid
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           getcwd
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           set_robust_list
------ ----------- ----------- --------- --------- ----------------
100.00    0.268550                263353     42226 total
