csharp go java javascript php python ruby
990.2 402.3 32.8 270.8 2496.5 2084.4 1447.6
1023.3 356.1 25081.0 352.9 2346.2 1997.9 1462.7
1007.1 279.4 24770.5 123.7 2350.6 2093.9 1508.2
993.5 369.6 63.5 156.9 2695.0 2095.8 1437.2
1020.6 380.1 NaN 215.4 2295.0 1749.2 1421.1
1075.0 396.4 30.1 240.7 2347.2 1791.5 1478.9
1050.3 368.3 55.8 214.9 2626.0 1876.2 1487.3
966.2 377.6 25155.0 214.2 2294.8 1845.0 1449.2
1043.5 404.5 24888.8 243.0 2444.6 2116.3 1433.7
1004.0 363.5 23790.9 211.0 2497.6 2121.4 1462.6
984.2 343.8 NaN 216.6 2563.7 2123.1 1408.6
1004.2 357.0 NaN 241.6 2354.9 1819.0 1420.3
1072.0 370.4 NaN 235.0 2512.4 2203.3 1466.6
969.1 378.2 25009.7 275.1 2632.7 2028.3 1445.7
947.1 380.5 24983.1 211.5 2483.3 1930.4 1430.7
994.0 393.9 679.7 354.0 2242.6 1918.3 1444.3
1025.2 419.1 25152.3 274.6 2330.6 2028.7 1426.3
1044.8 394.9 25088.7 241.4 2671.2 1975.7 1447.1
1045.4 390.6 NaN 247.1 2365.4 2263.7 1472.7
993.2 393.9 25079.2 274.2 2779.3 2125.0 1460.6
1054.9 371.6 30.3 241.1 2298.2 2093.0 1421.0
1059.8 408.3 25184.8 212.2 2360.1 1999.4 1436.3
995.8 408.6 24964.6 235.8 2414.9 1766.1 1424.6
1039.1 379.9 59.2 242.0 2498.8 1943.8 1430.0
990.8 370.2 25101.5 242.2 2891.3 2009.9 1421.8
1042.6 429.8 625.7 252.2 2506.1 2089.8 1418.8
984.3 369.6 25057.9 214.3 2455.1 1975.1 1448.2
1045.5 400.7 24775.7 156.8 2511.1 2113.7 1452.4
1051.3 383.8 36.4 243.3 2529.8 1962.3 1527.4
1024.8 380.3 124.2 216.8 2666.2 2134.8 1431.8
1000.7 400.9 25027.5 242.4 2484.2 2234.8 1440.1
1037.7 414.8 24890.2 217.5 2481.3 1940.3 1565.2
992.2 428.4 25114.5 213.4 2279.7 2005.3 1422.3
938.0 411.7 30.5 386.4 2370.6 2141.7 1465.7
992.5 409.0 33.9 239.9 2394.7 1891.7 1484.1
1064.5 396.8 25141.9 353.5 2604.6 2054.0 1311.7
1051.8 419.0 27.1 241.4 2607.1 1765.1 1501.0
1054.2 333.6 24897.7 156.2 2225.0 1943.5 1440.9
994.5 403.8 NaN 245.6 2427.3 1860.4 1443.1
990.9 405.4 25337.0 242.4 2461.9 2058.7 1446.0
996.6 433.4 25239.3 238.3 2700.4 1590.1 1456.7
1063.2 397.0 25150.6 215.5 1172.4 1836.3 1569.5
1002.6 388.8 25174.1 242.2 2155.1 1973.8 1564.6
1006.5 346.6 57.0 243.4 2431.9 1974.3 1453.4
1044.8 316.9 24887.8 166.1 2578.5 2103.0 1424.7
1055.2 416.3 64.6 245.6 2676.8 1915.3 1560.4
1044.8 391.8 25111.7 240.8 2579.6 1854.4 1426.8
1003.6 344.2 65.9 244.1 2405.9 2041.3 1460.6
1021.2 403.0 30.3 240.0 2442.0 2090.3 1511.8
1052.4 402.2 25217.5 248.5 2646.6 1892.2 1454.9
