C#_MPF Go_MPF Java_MPF JS_MPF PHP_MPF PY_MPF Ruby_MPF C#_MRSS Go_MRSS Java_MRSS JS_MRSS PHP_MRSS PY_MRSS Ruby_MRSS C#_VCS Go_VCS Java_VCS JS_VCS PHP_VCS PY_VCS Ruby_VCS
77764 218460 95357 99820 41921127 7278 5240 91104 117916 338048 407364 28364 26696 21740 26008 137341 127547 1134 470623 20152 40280
77655 215931 100404 99829 41921182 7280 5240 91096 118040 324988 408064 28364 27016 21476 25812 141154 122846 1101 471623 20164 40287
77696 218626 90682 99732 41900854 7274 5222 91172 117880 303808 408764 28364 26524 21716 25380 143269 126235 1111 471024 20158 40273
77496 216109 93153 99802 41921784 7279 5244 90780 117784 314332 409244 28364 26520 21584 25862 138821 126545 1117 469059 20145 40292
77960 216934 92524 99801 41921097 7280 5237 91008 117924 315728 409152 28364 26736 21688 25458 144027 126766 1067 469548 20145 40272
77948 217423 94179 99642 41920830 7270 5244 90680 117832 338652 409144 28364 26672 21660 25467 128188 125827 1128 469316 20154 40294
77811 216543 96232 99680 41940839 7282 5240 90960 117812 325264 408844 28364 26752 21684 25734 136005 126999 1176 469401 20155 40248
77629 216327 93389 99816 41921057 7287 5234 90724 117796 332268 409588 28364 26808 21404 25456 127817 124332 1120 470167 20142 40285
77381 215987 106515 99673 41920444 7270 5246 91160 117832 367536 408624 28364 26872 21560 25867 142261 126183 1046 471849 20163 40295
77676 215586 93888 99822 41961064 7281 5250 90616 117916 323552 407080 28364 26680 21616 25310 134597 125394 1187 470295 20160 40295
77828 217702 91526 99833 41901288 7288 5240 91296 117872 319396 407032 28364 26692 21432 25776 137353 123998 1153 470398 20153 40299
77586 215791 91913 100015 41920985 7275 5252 91224 117924 321884 407504 28364 26844 21680 25267 141292 122768 1124 470923 20165 40270
77670 216963 98275 99953 41941597 7274 5224 91356 118080 329824 408096 28364 26868 21424 25425 135164 126056 1167 469276 20155 40280
