C#_energy Go_energy Java_energy JS_energy PHP_energy PY_energy Ruby_energy C#_time Go_time Java_time JS_time PHP_time PY_time Ruby_time
54.8 680.2 26445.6 75.9 22683.7 1064.5 1045.6 23 19 25 3 475 34 34
525.2 528.9 1175.9 80.0 22624.6 944.8 1059.0 14 14 18 2 475 31 34
501.2 520.3 1254.7 28.0 22602.5 1007.6 1027.9 15 15 21 2 474 33 34
473.9 532.8 1822.1 26.8 22690.0 972.0 1060.9 15 15 22 2 476 31 34
467.6 553.9 26310.8 NaN 22448.5 916.1 1025.7 15 15 23 2 474 30 33
480.7 551.3 26030.4 NaN 22591.7 1010.0 1026.4 14 14 19 2 476 32 34
497.1 497.5 26218.7 28.1 22598.2 1038.6 1056.7 14 14 21 2 473 32 33
492.9 569.9 1228.0 28.0 22581.1 1010.8 1067.0 14 14 20 2 474 32 34
499.1 558.8 1243.8 28.0 22393.4 951.6 1060.7 15 14 20 2 475 30 34
513.6 517.2 1120.5 72.1 22535.3 1033.6 995.9 15 14 18 2 478 33 33
531.4 481.7 26303.4 28.1 22571.0 797.4 1062.3 15 14 21 2 475 27 34
494.9 528.6 1247.2 28.1 20845.5 917.5 895.6 14 14 21 2 476 30 34
520.0 533.2 23626.9 NaN 22390.5 977.5 1031.1 15 14 20 2 476 32 33
498.3 555.9 1312.6 28.2 21997.2 948.3 1061.0 14 14 21 2 476 31 34
503.7 495.7 1230.9 NaN 22605.3 979.6 1029.5 15 14 22 2 476 31 33
480.8 497.7 1258.3 28.1 22662.2 950.4 1032.3 15 14 21 2 476 31 34
526.1 541.4 1262.4 28.0 22126.1 946.2 1027.3 14 15 20 2 475 32 34
471.3 537.3 1282.6 37.0 22578.4 1010.8 1059.0 15 14 22 2 475 33 33
522.8 548.2 26233.4 27.9 22386.7 949.2 997.5 14 14 22 2 476 32 34
540.4 445.3 1245.9 NaN 22642.2 1007.4 1030.3 14 14 21 2 477 33 33
511.5 499.7 2198.4 28.1 22397.9 949.4 1027.9 14 14 20 2 476 31 34
438.0 528.9 1108.3 27.9 22690.9 1036.6 1084.0 14 14 21 2 476 33 34
500.4 492.4 1288.3 40.3 22650.4 1004.8 1053.7 15 14 23 2 475 32 34
526.1 530.5 1177.6 39.7 22563.1 1010.7 1060.9 14 14 19 2 476 33 34
511.4 492.9 1230.5 44.1 22749.3 949.1 1056.1 15 14 22 2 477 30 34
494.3 485.5 1311.0 27.9 22106.8 1009.1 1028.7 14 14 20 2 477 33 34
519.8 544.1 1166.6 28.0 22610.7 980.1 1032.8 15 14 20 2 477 32 33
535.0 523.1 1119.2 40.9 22404.7 918.7 1061.1 15 15 20 2 477 31 34
484.2 554.3 11983.5 28.0 22685.0 945.6 1029.0 14 15 21 2 478 32 34
495.4 565.5 25921.9 28.1 22558.7 952.1 1065.9 15 14 19 2 475 31 33
557.7 513.5 1210.6 28.1 4637.3 1037.2 1058.9 15 14 20 2 477 34 34
513.6 522.1 1190.4 37.6 22520.7 946.9 1056.6 15 14 20 2 476 31 34
513.0 587.2 1226.9 28.2 22143.6 1011.3 1058.7 14 14 20 2 475 32 34
551.1 521.9 1174.4 70.6 1770.0 956.4 1037.5 16 14 17 2 475 31 34
507.5 513.4 26179.1 28.1 22714.9 1071.5 1032.6 15 14 19 2 477 34 34
523.0 523.1 1238.2 41.8 22668.8 891.4 1029.0 14 14 20 2 478 29 33
520.2 572.9 1499.7 73.8 22620.5 950.8 1048.1 15 15 22 2 475 30 34
494.0 540.5 1240.4 82.7 22515.4 918.9 1056.8 14 15 22 2 476 30 34
481.4 508.3 26273.1 NaN 22406.4 1039.6 1027.7 14 14 18 2 476 32 34
465.3 516.1 1175.5 28.2 22196.5 949.0 893.8 14 15 19 2 478 32 34
478.8 523.7 1148.9 73.9 22797.0 1014.3 1021.9 14 14 19 2 479 32 34
513.1 567.5 1215.4 27.9 22320.7 914.3 1077.6 14 14 19 2 477 31 34
509.7 514.2 1199.9 44.9 22514.6 1037.8 1025.6 15 14 19 2 477 34 33
488.7 533.5 1606.6 42.6 22682.9 1011.1 1056.5 14 15 21 2 477 33 34
549.9 556.2 1253.0 NaN 22762.3 925.2 1029.5 15 15 19 2 478 30 33
523.7 572.4 26308.8 NaN 22684.1 612.3 1051.2 15 14 20 2 476 30 34
496.7 555.6 1311.5 43.2 22367.4 864.4 1031.2 14 15 24 2 478 28 34
509.6 522.6 1373.3 46.8 22367.6 1015.6 1035.3 15 15 21 2 477 33 33
552.0 529.6 26248.4 NaN 22499.3 1012.1 1057.7 15 14 21 2 477 32 33
429.3 529.2 1208.0 28.2 14542.8 1012.7 1032.3 14 14 21 2 476 33 34
