C#_MPF Go_MPF Java_MPF JS_MPF PHP_MPF PY_MPF Ruby_MPF C#_MRSS Go_MRSS Java_MRSS JS_MRSS PHP_MRSS PY_MRSS Ruby_MRSS C#_VCS Go_VCS Java_VCS JS_VCS PHP_VCS PY_VCS Ruby_VCS
80845 53745 90972 87609 51295 4384 5764 92188 157292 329244 360964 47404 26900 23712 172172 136621 118454 644 42006 252719 42143
81736 56198 89932 86922 53624 4358 5731 91972 161392 337572 357176 59332 27192 23400 167414 138428 116541 585 42677 256287 42198
81919 56222 88584 87001 51329 4386 5740 92332 161452 315704 357888 47456 27240 23584 168939 138828 121373 586 41826 245475 42573
82449 54625 92739 87492 51286 4395 5744 92336 157192 336792 359164 47132 27068 23252 167342 138671 116511 576 41849 278845 42064
82049 56366 86979 87518 51309 4386 5739 91700 161488 325852 359388 47392 26868 23572 168347 142944 120707 628 41842 280753 41901
82068 56197 88838 87358 51281 4390 5741 92180 161616 324456 359948 46904 27148 23408 167787 135371 115453 633 41986 272692 44104
81626 55296 92407 87168 51301 4390 5721 92336 161876 330048 357556 47172 27152 23332 167505 138642 124021 601 41857 268862 42233
81878 55609 86857 87267 53282 4389 5739 92112 161436 318940 357328 48160 27044 23384 165893 134994 115133 629 42201 272085 42202
81396 55046 91711 86890 53955 4390 5722 92092 161544 319628 357396 59592 27212 23300 168103 140529 124855 630 42392 275942 41985
81365 56271 92834 87201 51299 4390 5741 91880 161544 333840 357772 47424 27236 23256 168574 133855 121506 546 41904 266295 41846
81962 56824 91038 86608 51282 4390 5718 91956 161268 336120 355968 47236 27248 23356 166589 137229 116347 556 42118 263682 42327
81843 55401 95281 86820 51290 4389 5734 91976 161168 340112 356688 47100 27040 23332 168056 138183 119882 648 41923 258474 42380
81508 55587 90116 86578 53696 4388 5741 92016 157296 328992 356532 59680 27128 23272 172386 136000 122148 568 42234 261649 42241
81618 54274 86874 87453 51297 4391 5744 91852 157324 323868 358556 47488 27004 23396 171767 137560 118578 622 41941 266478 42434
81667 55975 91289 86465 53501 4397 5747 92036 161320 326936 356772 59480 26952 23368 167640 138400 122726 538 42301 250851 42094
81888 55452 93907 86894 51309 4390 5718 92008 156880 340084 358284 47332 27088 23388 170799 136416 117559 605 41960 295031 43707
81834 53982 92415 86677 53634 4381 5736 92028 158276 340352 356932 59428 26848 23532 165852 138238 127244 600 42289 245009 42054
