C#_MPF Go_MPF Java_MPF JS_MPF PHP_MPF PY_MPF Ruby_MPF C#_MRSS Go_MRSS Java_MRSS JS_MRSS PHP_MRSS PY_MRSS Ruby_MRSS C#_VCS Go_VCS Java_VCS JS_VCS PHP_VCS PY_VCS Ruby_VCS
176295 30411 40301 110656 1885 7407 5366 51428 72236 146100 456480 26200 19820 20244 798413 152203 48977 4254 45483 59011 113149
173633 30416 43097 110772 1883 7390 5342 51408 72440 147464 457788 26260 19780 20188 798295 150023 48765 4295 45581 54672 112171
195146 30430 40679 110915 1883 7390 5423 51864 71896 142676 458120 26180 20004 20480 977294 144670 49325 4097 45662 58934 111743
186550 30275 38712 110887 1888 7398 5572 51988 72164 143740 458008 26408 19960 20204 864095 151221 48496 4210 45741 58443 113768
179385 30402 40769 110244 1880 7399 5312 51780 72260 143924 455600 26216 19788 20300 829431 143270 49938 4686 45564 59672 114344
178110 30435 39921 109007 1880 7392 5374 51716 72376 145472 450272 26280 19800 20292 804597 147607 48681 4154 45585 58492 114111
176251 30336 40423 111389 1882 7411 5344 51484 72356 141244 457544 26076 20080 20568 796811 153696 48448 4183 45585 57839 113724
199033 30302 40265 111259 1885 7389 5415 51712 72104 139312 459776 26116 19764 20132 976634 153505 48358 3910 45477 59079 114573
183838 30303 41575 110892 1881 7390 5341 52188 72228 147328 458568 26312 19780 20544 807373 149444 48345 4179 45749 59656 114210
178222 30630 39482 111113 1879 7398 5398 51900 72248 142832 458032 26248 19780 20216 802196 151688 48656 4275 45747 59509 112594
177067 30680 41078 110584 1878 7400 5384 51588 72208 139864 456372 26400 19956 20460 804353 154332 48927 4501 45494 58520 113162
175971 30764 39993 110836 1883 7390 5331 51632 72252 144028 457524 26332 19864 20264 796224 140871 48653 4364 45677 58629 113692
188004 30765 41362 110866 1885 7393 5400 51572 72144 141244 457680 26388 20032 20400 930393 148745 48546 4396 45635 57161 113911
189078 30563 40427 110775 1877 7410 5568 51688 72244 142980 457612 26248 20064 20424 903443 148140 48481 4723 45485 59499 114214
192267 30757 39509 110591 1878 7400 5333 51888 72488 143724 457908 26292 19944 20172 932293 150790 48635 4299 45530 56335 112785
191181 30290 39444 111082 1879 7388 5446 51968 72196 142444 458668 26116 19924 20428 981807 150795 48842 4488 45583 57337 113650
183028 30172 39255 110737 1882 7400 5319 51708 72100 142580 458128 26496 20048 20264 890777 150044 48624 4268 45752 59457 113752
185818 30385 41111 110406 1880 7385 5338 52064 72172 144608 455856 26332 19976 20184 927086 148320 49017 4407 45828 58285 113613
190175 30805 41204 110766 1886 7401 5381 52300 72268 140740 458296 26540 20032 20172 933202 149905 48681 4469 45911 56599 113996
192362 30388 38880 111048 1883 7406 5414 51592 72672 142812 459352 26252 19956 20440 963284 151736 48813 4281 45430 59630 114306
175888 30556 39711 110018 1880 7411 5350 51340 72596 142628 455236 26276 19956 20432 804085 151236 49164 4300 45678 58630 114333
178797 30349 41397 110617 1875 7393 5436 51912 72480 142268 456444 26224 20132 20428 826282 152363 48854 4430 45594 58266 114454
175762 30513 40327 111080 1880 7398 5337 51024 72768 145572 458584 26272 19852 20380 810206 153202 48580 4332 45565 58867 113787
174744 30330 41441 110952 1883 7408 5351 51264 72300 141780 458188 26252 19952 20296 800403 152216 48521 4231 45862 59058 114549
177289 30734 40697 110905 1884 7399 5482 52044 72420 140276 457996 26112 19780 20220 796486 139735 48326 4281 45591 59418 113430
182675 30407 40837 110644 1884 7404 5570 52016 72284 146252 456756 26396 20012 20292 839603 145200 49056 4548 45567 56139 114290
176465 30178 40196 110199 1882 7391 5525 51600 72300 140300 455144 26080 19860 20512 805082 148120 48911 4525 45607 58456 113833
177716 30380 40209 110186 1884 7409 5334 51480 72228 149880 454832 26280 19944 20416 800751 143501 49140 4051 45573 58574 113796
182309 30352 39263 110892 1883 7392 5308 52004 72204 140808 457352 26116 19756 20232 844661 145702 48458 4205 45826 58659 114263
174788 30439 41870 110908 1887 7399 5330 51384 72240 141576 458136 26316 20072 20328 816226 152633 48638 4397 45782 59089 114760
184217 30530 40323 110988 1879 7390 5393 51928 72396 141760 458284 26280 19856 20228 883351 152266 48786 4260 45521 58900 113734
193401 30285 39971 111102 1887 7386 5326 51992 72108 139324 458536 26324 19956 20300 955453 149995 49076 4282 45727 58171 114574
176914 30522 41902 110976 1884 7396 5475 51596 72300 145592 458620 26100 19992 20456 798996 147606 48030 4141 45501 59736 114322
178415 30736 41635 109660 1888 7393 5418 51340 72276 149816 453036 26412 19860 20348 803734 152045 48226 3943 45671 54775 113452
181449 30556 39009 110456 1888 7393 5343 51876 72244 142856 454948 26392 19848 20388 843235 151585 48943 4464 45730 58627 113915
190098 30263 38941 110887 1885 7410 5339 51760 72376 140116 458520 26140 20052 20452 960718 151762 48541 4388 45656 58218 113975
