C#_energy Go_energy Java_energy JS_energy PHP_energy PY_energy Ruby_energy C#_time Go_time Java_time JS_time PHP_time PY_time Ruby_time
1780.8 445.8 1588.7 80.3 35023.1 2213.1 13176.0 98 15 45 5 744 74 296
1858.8 428.7 1614.0 197.3 34180.1 2177.2 13015.1 60 14 45 4 741 73 298
1778.2 415.6 1531.1 80.6 34799.8 2103.5 13037.2 60 14 44 8 774 71 296
1830.4 413.9 1639.8 168.3 34693.2 2216.4 13007.3 61 14 44 5 728 72 299
1868.5 388.2 1573.6 166.9 34353.8 2264.9 12985.6 60 14 45 5 736 73 240
1801.4 383.5 1387.5 196.3 34732.2 2157.9 12987.2 62 15 44 3 737 77 299
1862.6 412.6 1586.6 170.5 34983.6 2141.5 2385.1 79 15 45 4 735 75 298
1823.3 403.2 1618.2 196.1 35120.5 2083.6 15208.8 60 15 45 4 733 73 295
1579.6 407.2 1528.2 274.4 34332.1 2189.0 16111.7 60 15 45 4 729 73 297
1701.3 418.2 1586.4 173.7 35147.5 2104.3 15978.7 60 14 45 4 731 74 299
1689.9 416.1 1559.6 147.2 34047.4 2233.4 15878.9 60 15 45 4 724 72 241
1657.2 443.6 1586.8 143.7 35267.2 2049.0 15993.3 60 15 45 3 746 75 296
1694.0 455.1 1637.4 171.5 35244.8 2162.0 3272.1 61 14 45 5 737 75 293
1697.3 417.0 1560.3 314.1 36235.2 2216.6 16035.2 61 15 45 4 731 72 241
1897.8 417.9 1700.9 171.9 29368.9 NaN 12988.8 61 15 45 4 736 74 296
1826.8 418.5 942.2 173.0 32731.6 2161.3 13135.5 60 15 45 3 736 64 298
1884.7 386.5 1578.8 197.2 35742.0 2181.2 13234.9 60 14 45 5 721 70 240
1794.0 415.4 1578.2 171.8 35729.7 2148.8 13314.0 61 15 45 4 720 69 297
1813.3 457.1 1639.3 196.2 34526.5 2238.2 13312.3 60 14 45 5 737 74 292
1880.2 385.4 1621.5 165.6 35414.9 2172.0 13227.6 61 15 45 4 728 75 297
1822.2 462.5 1609.8 196.1 35819.8 2166.3 13364.3 62 14 45 4 728 72 296
1829.7 388.8 1580.4 170.7 35568.0 NaN 13190.6 60 14 45 5 733 75 299
1828.2 418.8 1608.4 201.3 35427.6 2169.5 13273.3 61 15 45 4 728 71 299
1792.2 398.8 1588.2 171.4 36090.7 2051.6 13288.1 60 14 45 5 726 71 298
1801.5 413.3 1574.7 177.1 36206.3 2190.9 13222.7 60 15 45 5 730 72 241
1891.5 426.8 1631.5 111.0 33565.9 2140.6 13271.5 60 15 45 5 733 76 296
1795.4 385.0 1558.0 168.3 34090.5 2151.3 13144.2 60 15 45 4 740 73 242
1800.1 385.4 1594.3 168.7 35749.7 2140.0 13106.3 60 15 45 4 742 77 298
1749.8 412.9 1599.0 173.3 35013.9 2152.7 13151.4 62 14 45 4 746 75 297
1758.6 386.8 1564.9 145.7 34613.4 2193.0 13123.6 62 15 45 3 734 74 294
1787.3 416.7 1549.8 169.8 35153.7 2159.4 13221.7 61 14 45 5 721 70 299
1800.3 440.7 1551.7 138.4 34776.0 2205.0 13120.2 60 15 45 4 748 75 299
1818.9 384.5 1581.3 147.3 35146.9 2103.0 12961.4 79 14 45 4 735 72 241
1918.4 411.8 1561.3 275.3 34735.5 2171.3 13107.1 60 15 45 4 733 70 294
1858.8 428.7 1614.0 197.3 34180.1 2177.2 13015.1 62 15 45 3 735 68 240
1778.2 415.6 1531.1 80.6 34799.8 2103.5 13037.2 61 14 45 4 722 70 296
1830.4 413.9 1639.8 168.3 34693.2 2216.4 13007.3 60 15 45 5 720 69 295
1868.5 388.2 1573.6 166.9 34353.8 2264.9 12985.6 62 14 45 4 735 65 243
1801.4 383.5 1387.5 196.3 34732.2 2157.9 12987.2 60 15 45 3 727 76 298
1862.6 412.6 1586.6 170.5 34983.6 2141.5 2385.1 60 15 45 4 736 68 296
1823.3 403.2 1618.2 196.1 35120.5 2083.6 15208.8 60 15 45 4 732 69 297
1579.6 407.2 1528.2 274.4 34332.1 2189.0 16111.7 60 14 45 5 746 72 295
1701.3 418.2 1586.4 173.7 35147.5 2104.3 15978.7 64 15 45 4 731 76 299
1689.9 416.1 1559.6 147.2 34047.4 2233.4 15878.9 61 14 45 4 729 70 241
1657.2 443.6 1586.8 143.7 35267.2 2049.0 15993.3 60 15 45 4 738 70 241
1694.0 455.1 1637.4 171.5 35244.8 2162.0 3272.1 60 14 45 3 739 75 298
1697.3 417.0 1560.3 314.1 36235.2 2216.6 16035.2 63 15 45 4 729 75 297
1897.8 417.9 1700.9 171.9 29368.9 NaN 12988.8 61 15 45 4 742 70 298
1826.8 418.5 942.2 173.0 32731.6 2161.3 13135.5 60 15 45 4 738 66 297
1884.7 386.5 1578.8 197.2 35742.0 2181.2 13234.9 79 15 45 5 730 75 298
