C#_MPF Go_MPF Java_MPF JS_MPF PHP_MPF PY_MPF Ruby_MPF C#_MRSS Go_MRSS Java_MRSS JS_MRSS PHP_MRSS PY_MRSS Ruby_MRSS C#_VCS Go_VCS Java_VCS JS_VCS PHP_VCS PY_VCS Ruby_VCS
114132 38422 3001 22056 5208535 6223 116668 212144 102020 6248 100288 41104 22532 439752 174316 121778 52 640 29042 228750 124011
113315 38402 2972 21958 5208430 6221 128852 209356 102208 6376 96392 41020 22468 488484 173370 120188 50 584 29017 275836 117871
116748 39509 2989 23278 5208404 6211 129049 218460 100648 6248 99756 41164 22404 489600 173009 120205 51 591 29503 257117 121738
114112 38085 3001 21727 5208452 6234 128654 211568 100748 6168 100376 40800 22564 487740 174080 121931 47 617 28941 234646 118412
115039 37809 2977 21908 5208377 6231 128843 214620 102076 6256 100712 40756 22592 488528 174034 121410 49 633 28177 221375 121158
114577 36804 2976 23673 5208389 6241 128407 213884 104920 6320 103180 40900 22468 486856 174552 121792 50 681 28938 215364 125353
114989 39218 2975 22389 5208410 6226 128491 215356 101968 6172 101092 41056 22396 486764 173905 121855 50 624 29089 216463 120719
113734 39101 3007 22025 5208383 6222 116929 210880 101100 6292 100564 40924 22396 440828 174068 123187 52 639 28893 211737 122130
114575 39425 3002 22167 5208488 6243 116555 212976 102124 6320 100216 40840 22284 439464 173479 122614 52 679 28816 208647 121626
113259 39355 3006 21872 5208456 6232 129031 207776 100228 6304 98468 41012 22636 489448 174009 121576 50 632 29185 200326 120523
115573 37600 2995 21779 5208443 6219 128623 213400 99024 6296 97932 40732 22636 487712 173896 122166 51 592 28982 213535 121616
115052 38762 3000 21622 5228508 6233 128778 216960 101952 6304 95444 41060 22412 487988 173998 120090 51 572 29166 214992 125973
114541 38391 3000 21382 5208410 6219 128825 211996 100584 6292 95180 40740 22592 488520 174295 123177 51 606 29511 221989 119801
115395 38741 2976 18442 5468467 6220 128818 216692 102172 6292 88568 40868 22464 488436 174313 121843 51 513 29088 205440 117061
114988 38628 2977 22107 5208395 6217 116817 213180 101944 6216 98468 40676 22328 440160 174033 123391 50 579 29617 206069 122423
115286 39248 2974 22241 5208411 6207 129133 214548 100628 6256 98028 40896 22532 489680 174145 120240 51 611 29757 226535 122164
116738 39456 2985 19985 5208487 6240 116666 219384 100120 6248 93132 40884 22440 439828 174362 120776 48 507 28983 200538 118111
115941 38651 2986 21611 5208480 6244 128615 216252 100272 6168 97908 40688 22592 487600 174349 123409 50 561 28968 216325 119698
116857 37802 2970 21649 5208467 6229 128860 217996 100188 6332 98032 41056 22536 488644 174008 122158 50 615 29146 232344 118393
115868 38284 2963 21744 5208275 6208 116629 214364 100148 6304 96292 40688 22580 439880 174112 119442 51 630 28996 211764 123486
114890 38113 2981 21651 5208342 6223 128951 212980 100376 6300 98156 40904 22536 488872 174315 119468 51 619 28786 209302 119523
114175 38984 2991 21614 5208280 6216 116680 211996 101272 6312 97052 40732 22284 439960 173976 119501 48 588 28506 222388 120602
113777 38902 2963 21472 5208447 6232 128804 210960 101992 6156 97936 40988 22588 488492 174556 122319 49 518 29019 216752 119419
114284 38395 2985 21782 5208369 6241 128443 211104 102164 6312 96704 40844 22424 486888 174642 120418 52 592 28745 211380 121311
116373 39144 2984 21124 5208335 6225 116814 218364 102172 6376 98244 41012 22504 440452 174419 119497 52 640 29227 210158 123568
116104 38169 2960 22516 5208468 6222 128401 217100 100300 6176 101288 41168 22532 486852 174003 120688 50 583 29579 241738 120285
117554 39182 3000 21113 5208408 6219 128514 223144 102080 6164 98848 40788 22420 487236 174866 122044 51 592 28845 215109 121083
116837 39492 2972 21898 5208535 6205 116554 217240 100184 6300 98876 40948 22392 439468 174690 121031 51 661 28808 218825 121268
113762 38606 2983 20932 5208444 6235 128688 210400 101660 6240 99444 40768 22596 487956 174718 119920 51 597 29356 224811 120626
117457 38791 2980 22309 5208437 6224 116725 222308 100016 6168 100016 40924 22380 440064 174171 122302 49 643 28890 214567 121149
114707 38307 2994 22244 5208535 6210 128466 213388 98844 6292 97956 40900 22428 487000 174419 121549 49 632 28933 218740 122435
114175 41009 2997 21658 5208325 6229 128624 212596 102648 6248 97540 40844 22584 487568 173593 124431 50 572 29192 222935 119799
114989 38089 2975 21576 5208423 6211 116496 213316 100524 6212 96620 40892 22592 439084 175107 121009 50 534 28955 204198 119437
114460 38787 2992 20907 5208282 6204 128955 213960 100032 6300 94156 41076 22424 488960 174851 122802 51 548 29484 227533 118316
114772 38519 2989 20689 5208563 6237 128378 213268 99956 6392 97032 41068 22444 486792 175256 122941 50 567 29122 209650 119720
113931 38715 2990 21515 5208354 6228 128450 212236 100444 6296 97352 40932 22588 487128 173596 121814 51 562 28884 219197 118837
113956 39270 2979 21668 5208463 6245 116432 213396 100376 6248 98716 40840 22472 439108 174586 120803 50 563 29592 226626 119574
115006 38372 2981 22304 5208308 6209 128661 213240 98644 6284 96640 40924 22432 487752 174037 121702 52 559 29112 213684 119842
113725 36224 2990 22192 5208401 6206 128675 209024 102900 6304 98860 40856 22424 487652 173717 121245 48 646 28994 211825 118090
121148 39421 2998 22552 5208396 6203 128694 235440 101128 6164 102612 40780 22444 487684 175289 123201 51 681 29518 212030 123924
114897 38990 2986 21891 5208420 6229 128868 214968 100228 6312 97996 40764 22384 488672 174214 121373 50 624 28776 216413 118776
114955 39387 2987 21697 5208349 6238 116916 215272 103564 6172 97944 40908 22420 440840 174475 121537 48 655 29147 223182 119460
113656 39445 2972 21684 5208553 6208 128562 211536 102048 6172 98924 41144 22392 487260 174270 118781 49 623 29081 201446 119477
