C#_MPF Go_MPF Java_MPF JS_MPF PHP_MPF PY_MPF Ruby_MPF C#_MRSS Go_MRSS Java_MRSS JS_MRSS PHP_MRSS PY_MRSS Ruby_MRSS C#_VCS Go_VCS Java_VCS JS_VCS PHP_VCS PY_VCS Ruby_VCS
82549 34694 51194 113142 1839 6956 6167 103204 89680 173964 466640 26040 22316 25976 85715 82514 65793 4240 40001 58695 84457
84116 34763 48537 113958 1840 6956 6182 102708 86400 163956 471048 26084 22276 26064 85815 82783 65906 4352 40001 59079 83841
84054 34172 48993 112761 1839 6956 6177 102612 85964 162280 466416 26048 22420 25904 85633 83850 65782 4435 40001 59385 84544
84277 34755 47822 113151 1839 6952 6161 102660 89504 171576 467652 26076 22240 26152 85793 82386 65849 4365 40001 59148 84179
84243 34702 53316 112711 1843 6956 6151 102656 86088 169860 466716 26068 22236 25996 85885 82769 65749 4544 40001 59146 84885
84404 34805 53654 112587 1847 6951 6159 103032 89668 170084 466044 25936 22292 26060 85787 83231 65989 4474 40001 58861 83753
81626 34846 48266 113873 1847 6947 6164 106840 89500 167896 470384 26144 22148 26044 85592 82348 65868 4384 40001 59281 84235
83834 34431 47554 113511 1846 6949 6141 102728 85968 161872 467748 26096 22288 25944 85979 82300 65918 4509 40001 58090 84219
84091 34754 54090 113969 1848 6953 6159 102668 88680 182468 471584 26044 22264 25956 85948 82579 65801 4404 40001 59374 84029
82298 34629 52624 113265 1840 6938 6164 100476 86400 166136 466704 25956 22232 26020 85827 82196 66005 4189 40001 59406 84519
81072 34135 52939 114034 1847 6952 6162 106664 85844 178256 471964 26296 22212 26032 85990 82000 65767 4327 40001 59183 86003
81416 34454 49644 112633 1839 6961 6186 106268 86344 168180 465832 25984 22408 26264 85788 82570 65851 4256 40001 59491 83656
83733 34737 50967 113303 1846 6959 6154 102720 86936 168688 469496 26216 22280 25976 85808 83273 65689 4229 40001 59259 84716
83697 34944 48743 113025 1840 6955 6147 102748 89560 171344 467160 26044 22244 25944 85684 83556 66040 4289 40001 59414 83978
84168 34743 50316 113707 1845 6958 6155 102792 89684 163640 470344 26072 22456 26032 85809 82487 65753 4320 40001 59295 84537
81600 34977 47666 113360 1846 6941 6159 106684 88832 170276 468900 26000 22284 26128 85805 82041 65877 4431 40001 58976 83959
81760 34795 50091 112753 1846 6950 6164 106144 89452 178912 466792 26124 22196 25940 85654 83059 65753 4331 40000 59400 83523
81655 34972 49828 113635 1846 6955 6158 106488 89640 166388 470084 26076 22456 26192 85865 82638 65844 4335 40001 59556 84326
83897 35014 46934 113228 1845 6953 6173 102588 89768 164140 468408 25992 22116 26208 85708 82912 65816 4332 40001 58949 84962
84342 34787 50586 113086 1845 6954 6134 102956 88672 165120 467328 26044 22216 25912 86117 83043 65782 4163 40001 58096 83851
83580 34076 50909 112878 1843 6955 6156 103008 85920 166444 467488 26148 22292 26076 86006 82424 65734 4274 40001 59092 84523
83347 34855 49960 113771 1845 6953 6174 103100 89360 172340 470092 26020 22308 26172 85545 82384 65758 4360 40001 58790 83813
84025 34796 49984 113107 1843 6953 6165 102856 89412 166240 467200 25908 22328 26188 86149 82299 65879 4453 40001 59092 83886
81728 34858 50635 112965 1843 6954 6163 103012 88744 162540 467076 26104 22132 26072 86127 82969 66047 4026 40001 59135 85184
84650 34875 54022 113004 1840 6956 6162 102908 88796 177756 467784 26064 22328 26000 85832 82404 65872 4303 40001 59186 84521
83472 35018 46948 112665 1846 6944 6150 102676 89708 161132 466120 26092 22308 25984 85874 82099 65704 4427 40001 59405 85239
83404 33922 50646 113056 1845 6961 6155 102608 85796 156060 467580 26084 22368 25864 85753 82438 65892 4343 40001 59080 84852
81915 34775 49365 112768 1843 6954 6147 103036 89480 171620 466728 25956 22264 26160 86057 82259 65966 4515 40001 58781 83864
80813 34816 51795 113231 1836 6961 6158 103432 88704 169784 468572 25940 22300 26048 85940 82934 65781 4552 40001 59076 84007
81416 34720 50073 113210 1840 6948 6153 106452 86912 168672 468316 26136 22312 25876 85774 82808 65761 4286 40001 59384 84160
83536 34323 51714 113966 1843 6958 6128 102708 86764 167348 471324 25892 22272 25812 85984 83268 66041 4370 40001 58839 84069
83157 34810 48546 114377 1845 6954 6182 102732 89612 167108 471248 26044 22292 25908 85757 82259 66031 4545 40001 59426 83821
84241 34835 51996 113295 1842 6963 6171 103048 87200 180812 468276 26196 22304 26016 85636 82990 65892 4261 40001 59502 84187
84625 34763 53221 113003 1836 6949 6154 102768 89444 174516 467536 26036 22144 25988 85853 82842 65748 4148 40001 59284 84274
84102 34664 51786 113937 1841 6952 6175 102584 88676 170056 470868 25956 22456 26016 86087 82326 65962 4372 40001 59068 84987
84220 34878 52194 113213 1845 6949 6148 102964 89680 165372 467932 26068 22344 26132 85720 82139 65798 4401 40001 59160 84156
83732 35425 51656 113460 1845 6951 6152 102988 89500 176828 471008 26096 22240 25908 85925 81997 65903 4297 40001 59375 83646
83772 34589 51130 113877 1836 6949 6160 102896 86340 177748 471124 26004 22156 25884 85866 82532 65785 4487 40001 58899 84334
83250 34932 46568 113351 1849 6950 6154 102620 88932 161624 468204 26232 22292 26000 86145 83436 65762 4216 40001 58871 85418
83690 34732 50740 113137 1843 6960 6190 102872 86484 175544 468020 26048 22292 26156 85918 82084 65850 4208 40001 59034 84414
84522 34870 48627 113349 1844 6944 6185 102892 86360 166840 468684 26260 22316 25976 86035 83355 65934 4573 40001 59185 84448
83974 35425 49540 113098 1845 6955 6168 102676 86544 168052 465992 25920 22140 26152 85734 83490 65799 4158 40001 59143 84040
83354 34244 49160 113093 1843 6959 6173 103008 86716 167296 467684 26012 22408 26100 85946 82192 65714 4018 40000 59304 83993
