C#_energy Go_energy Java_energy JS_energy PHP_energy PY_energy Ruby_energy C#_time Go_time Java_time JS_time PHP_time PY_time Ruby_time
961.0 327.8 22472.0 168.1 2638.7 2035.9 1503.6 34 12 867 5 115 66 42
954.1 354.9 22568.2 195.1 2197.6 2092.5 1452.3 31 11 866 8 115 63 42
976.4 332.1 22578.3 167.8 2680.0 2069.4 1443.1 30 9 866 3 114 65 42
986.5 332.0 22380.5 167.3 2867.8 2164.3 1482.4 31 10 867 3 116 66 41
959.5 313.9 20930.1 140.4 2541.7 1966.8 1473.3 30 11 867 4 114 55 41
947.5 397.9 22335.0 195.9 2687.3 2096.6 1507.0 32 12 866 4 116 58 42
982.9 344.9 22619.0 167.0 2797.8 1972.4 1493.7 30 12 865 4 113 60 43
996.5 353.9 26.0 144.4 2613.8 1932.8 1639.4 30 11 865 4 114 58 41
859.1 252.6 22755.7 172.0 2696.4 2026.1 1724.2 30 12 867 5 115 68 41
835.0 371.7 22522.8 252.9 2747.0 2026.0 1597.9 30 12 866 4 118 67 41
813.9 366.2 105.1 79.3 2825.6 1586.3 1600.3 29 11 866 4 115 67 40
870.1 360.3 NaN 195.8 2860.9 2198.0 1755.6 31 12 866 5 116 55 41
858.2 384.9 22611.9 170.5 2806.3 2159.9 1650.6 32 11 867 5 116 69 41
904.0 384.2 22317.4 171.2 2588.6 1891.3 1656.8 29 11 867 5 116 63 41
1026.0 361.8 104.8 78.6 2764.3 2084.3 1491.5 30 12 866 4 116 60 42
961.0 306.1 22843.8 169.1 2784.8 2151.4 1485.9 31 12 866 8 116 60 41
965.2 362.2 NaN 197.1 2738.5 1851.7 1514.3 32 13 867 5 115 64 42
992.5 337.0 NaN 197.2 2643.0 2022.0 1495.6 31 12 867 5 115 61 42
996.3 347.3 22616.1 195.0 2982.6 1880.8 1495.6 31 12 867 4 116 62 41
981.3 404.0 22704.2 172.9 2675.9 2191.4 1518.1 31 11 866 5 117 66 42
926.0 306.1 22816.4 167.4 2563.4 1946.7 1555.4 31 11 867 4 116 67 41
984.3 324.6 22890.7 170.2 2778.0 1733.3 1533.1 30 12 867 4 116 63 42
956.5 360.8 NaN 199.2 2831.2 2009.4 1535.7 31 11 867 5 115 55 41
926.5 375.6 27.0 173.2 2737.4 2059.3 1507.8 31 11 866 5 116 61 42
969.1 318.1 22504.1 199.5 2963.9 2127.2 1497.8 31 12 866 4 117 62 41
850.4 338.2 624.6 178.6 2797.6 1992.1 1501.7 31 12 866 4 117 65 41
988.3 304.9 79.0 78.1 2791.8 2012.0 1503.7 30 12 866 4 117 63 41
926.4 339.1 22543.3 198.8 2860.8 2021.9 1474.0 31 12 867 3 117 66 42
942.5 388.4 1143.5 95.0 2811.7 2092.5 1543.6 30 11 866 5 118 66 45
969.5 308.2 156.4 173.0 2511.7 1858.6 1479.8 30 11 867 4 115 67 40
954.8 301.4 22362.8 104.6 2743.2 2200.1 1482.7 31 12 866 4 117 73 41
939.3 343.2 21694.0 105.3 2596.6 2126.0 1475.2 31 11 867 4 116 61 45
954.1 354.8 22208.6 169.4 2900.8 2108.4 1498.0 29 12 867 4 115 63 40
986.3 312.6 NaN 168.5 2872.3 1890.6 1490.4 30 11 866 8 115 68 41
959.5 313.9 20930.1 140.4 2541.7 1966.8 1473.3 30 12 866 4 117 58 42
947.5 397.9 22335.0 195.9 2687.3 2096.6 1507.0 30 12 866 8 118 65 41
982.9 344.9 22619.0 167.0 2797.8 1972.4 1493.7 30 12 867 4 115 55 43
996.5 353.9 26.0 144.4 2613.8 1932.8 1639.4 31 12 866 3 116 61 42
859.1 252.6 22755.7 172.0 2696.4 2026.1 1724.2 31 12 866 4 116 56 41
835.0 371.7 22522.8 252.9 2747.0 2026.0 1597.9 31 12 869 4 118 65 41
813.9 366.2 105.1 79.3 2825.6 1586.3 1600.3 30 12 867 4 119 48 41
870.1 360.3 NaN 195.8 2860.9 2198.0 1755.6 31 11 866 4 117 58 45
858.2 384.9 22611.9 170.5 2806.3 2159.9 1650.6 31 12 867 4 117 63 45
904.0 384.2 22317.4 171.2 2588.6 1891.3 1656.8 31 10 866 4 117 61 42
1026.0 361.8 104.8 78.6 2764.3 2084.3 1491.5 31 10 866 3 118 67 40
961.0 306.1 22843.8 169.1 2784.8 2151.4 1485.9 30 12 865 4 116 60 45
965.2 362.2 NaN 197.1 2738.5 1851.7 1514.3 31 12 867 4 118 59 41
992.5 337.0 NaN 197.2 2643.0 2022.0 1495.6 31 12 868 5 117 63 42
996.3 347.3 22616.1 195.0 2982.6 1880.8 1495.6 32 12 867 4 117 66 43
981.3 404.0 22704.2 172.9 2675.9 2191.4 1518.1 31 11 866 4 116 58 43
