C#_MPF Go_MPF Java_MPF JS_MPF PHP_MPF PY_MPF Ruby_MPF C#_MRSS Go_MRSS Java_MRSS JS_MRSS PHP_MRSS PY_MRSS Ruby_MRSS C#_VCS Go_VCS Java_VCS JS_VCS PHP_VCS PY_VCS Ruby_VCS
128492 41818 51306 21074 0 26395 0 143512 127204 169696 97828 0 22904 0 151802 85177 85161 589 0 386528 0
127657 46781 54554 21668 0 26388 0 140388 128724 169676 102544 0 22644 0 151642 85979 85178 639 0 395394 0
129692 46516 52490 23036 0 26361 0 143512 128816 171128 100800 0 22848 0 150215 85664 85227 591 0 382455 0
128206 45884 50543 22218 0 26397 0 142664 129060 166416 98588 0 23004 0 151809 87202 85363 591 0 350920 0
127698 44977 50840 23763 0 26368 0 143720 124320 175320 104668 0 22980 0 152065 84433 85380 745 0 371683 0
128020 44666 49206 22829 0 26397 0 134388 122524 173380 99032 0 22964 0 152601 86515 85166 684 0 394264 0
130155 45334 51729 21892 0 26372 0 143796 124740 173388 96468 0 22828 0 152491 86611 85327 677 0 354567 0
127676 46489 51372 21805 0 26379 0 134244 124948 162112 97844 0 22996 0 152388 86172 85313 570 0 344570 0
129742 45546 55456 21489 0 26371 0 140628 124488 190500 95872 0 22864 0 150747 86049 85444 638 0 382351 0
128598 45099 51878 22065 0 26389 0 143788 121416 176276 98336 0 22624 0 153259 86247 85333 601 0 366628 0
127978 45185 50686 21972 0 26367 0 143660 121120 172428 98136 0 22948 0 150692 84870 85164 593 0 348034 0
130150 44967 52855 21487 0 26390 0 143464 124824 178740 100840 0 22860 0 149871 86418 85249 601 0 344720 0
130390 43143 52601 23727 0 26374 0 143780 132524 179500 101688 0 22864 0 152553 86381 85098 633 0 345546 0
128465 45439 50808 22704 0 26392 0 143404 124340 166900 101824 0 22656 0 152175 89208 85224 604 0 350479 0
128033 45935 52023 22342 0 26376 0 135508 124868 173880 103404 0 22852 0 150343 87431 85284 737 0 361815 0
129027 44792 51444 21586 0 26385 0 143592 124564 175192 99564 0 22696 0 153046 84817 85596 615 0 372419 0
130042 46213 49456 21580 0 26389 0 143956 121340 166384 97464 0 22788 0 153445 87903 85207 610 0 357687 0
128760 45936 50022 21577 0 26398 0 137488 124248 165488 97316 0 22968 0 152120 86938 85486 568 0 344639 0
128276 44807 52991 20641 0 26373 0 143548 124640 169600 93784 0 22756 0 151206 85133 85334 640 0 387253 0
130240 45608 49145 22615 0 26392 0 143744 128836 166836 100776 0 22956 0 150863 89182 85480 644 0 361101 0
130066 44620 50260 21660 0 26374 0 143376 123828 166128 97760 0 22648 0 151891 85986 85182 592 0 377045 0
129813 46362 52453 21653 0 26394 0 143472 124948 171488 96336 0 22832 0 151393 86663 85500 570 0 396495 0
129877 44634 50344 22131 0 26395 0 143760 123708 173608 98128 0 22900 0 152726 86093 85310 690 0 362192 0
129867 43763 50804 22107 0 26372 0 143648 119620 169552 100464 0 22692 0 150639 85612 85255 644 0 358204 0
127136 44773 53400 20968 0 26395 0 138584 123580 173156 96648 0 22900 0 151164 84400 85407 625 0 394893 0
129885 46067 52147 20521 0 26374 0 143644 124164 178812 98324 0 22816 0 151287 87942 85332 591 0 379878 0
128761 45354 50208 22770 0 26365 0 143548 124516 176028 105060 0 22896 0 151974 85909 85274 699 0 357295 0
129124 45371 48934 22157 0 26392 0 143660 123968 174836 101104 0 22896 0 150318 87324 85251 668 0 359881 0
128923 44928 50946 22714 0 26395 0 138564 123412 183328 101472 0 22960 0 151396 87127 85309 621 0 373807 0
127780 46405 49643 21382 0 26368 0 143624 124176 166548 97184 0 22648 0 150194 87919 85178 614 0 349065 0
126958 43380 51626 21443 0 26363 0 138292 119180 166056 98848 0 22816 0 152956 87354 85174 643 0 394490 0
130346 45458 47897 21988 0 26379 0 143660 123892 163116 97356 0 22628 0 150953 88259 85176 603 0 382893 0
130301 45309 47933 22113 0 26392 0 143584 124084 170516 100236 0 22872 0 150728 85613 85199 622 0 371642 0
127912 45951 52462 22763 0 26392 0 140784 123040 167756 100996 0 22868 0 152265 86030 84994 631 0 392289 0
128373 44543 49473 21209 0 26395 0 143620 123476 172944 98952 0 22856 0 151267 88012 85331 587 0 370492 0
129172 46061 50544 20972 0 26378 0 139564 123944 164148 99092 0 22848 0 152631 87583 85404 600 0 390020 0
128409 45318 51168 21626 0 26377 0 143592 123384 157160 98836 0 22792 0 151730 85504 85513 627 0 355127 0
130022 45317 49947 21620 0 26396 0 143844 123476 171756 98092 0 23004 0 151690 84975 85463 584 0 351916 0
127135 47682 52691 21153 0 26391 0 136440 128728 174576 98852 0 22808 0 152241 86584 85285 599 0 371121 0
129985 46480 47838 21664 0 26386 0 143264 128828 171524 98804 0 22692 0 152590 85378 85304 688 0 391030 0
128138 46762 50409 21264 0 26375 0 143732 128952 168832 97148 0 22852 0 151399 89283 85177 631 0 339385 0
128877 46307 49795 22397 0 26385 0 143788 123292 167696 99704 0 22784 0 150111 86851 85200 676 0 366982 0
129515 44935 52349 23019 0 26374 0 141008 123244 166820 101520 0 22856 0 152817 86129 85453 642 0 358125 0
129995 45149 52487 20242 0 26397 0 143916 124500 181132 93416 0 22976 0 151024 85812 85518 554 0 330904 0
127688 44513 49851 22149 0 26393 0 140112 122960 168000 98924 0 22788 0 151798 90046 85165 628 0 347677 0
129925 42933 51738 21890 0 26372 0 142928 126820 169244 96620 0 22808 0 151371 86566 85754 606 0 344021 0
