csharp_energy go_energy java_energy javascript_energy php_energy python_energy ruby_energy
719.5 453.5 1175.5 74.2 12752.8 919.9 985.6
684.9 514.4 1098.4 NaN 12498.1 901.6 958.9
655.2 532.0 1102.3 26.8 12499.1 997.3 928.0
717.9 548.8 1129.3 NaN 12776.3 976.2 676.7
663.3 524.8 1278.9 NaN 12822.5 990.0 954.6
679.5 487.3 1171.4 90.1 12943.8 1015.9 927.9
672.3 555.5 1078.9 NaN 12857.6 1005.0 960.7
719.6 512.8 23569.2 27.2 13664.2 921.0 966.9
775.1 497.3 1196.3 NaN 14480.1 941.9 965.5
763.9 531.9 1130.2 25.9 14461.6 939.1 945.2
786.2 458.8 23675.9 27.1 14476.1 958.0 79.7
809.6 462.7 23553.2 27.0 14463.4 927.7 960.4
814.9 528.7 1066.9 27.2 14492.5 927.7 960.4
815.5 565.5 1056.8 73.3 14440.0 943.9 942.9
43.2 458.5 23513.1 27.4 12897.0 934.8 970.0
728.5 489.6 1121.4 53.7 12989.8 1030.1 993.9
730.2 489.0 23788.3 27.0 9303.9 960.2 965.1
680.4 532.9 23557.3 46.5 12914.8 955.5 965.5
777.9 560.8 1151.2 26.9 12842.9 958.7 969.2
676.4 526.6 1020.1 26.8 12770.0 914.4 963.6
738.3 463.6 1068.4 NaN 12875.8 913.8 970.0
675.3 541.3 1231.2 26.8 12749.9 929.5 973.4
697.5 563.0 23868.1 27.1 12929.0 989.0 946.7
682.3 481.6 1203.4 26.8 12899.0 971.3 970.4
734.3 536.0 1179.1 101.1 2884.7 927.9 973.0
663.6 570.5 1276.9 NaN 14242.4 1030.7 956.6
680.4 531.2 1142.2 26.8 12802.4 1027.0 930.7
720.1 479.6 1147.8 NaN 12784.2 974.7 929.0
725.6 521.7 1097.9 26.8 12739.6 1038.1 932.3
726.8 532.0 1224.2 26.9 12429.3 648.3 932.1
727.7 525.2 1167.5 26.7 12765.4 806.8 955.1
773.5 557.9 1124.6 26.7 12770.3 963.8 930.9
666.0 530.4 1157.5 26.6 12825.9 920.7 958.3
664.0 524.3 23644.1 NaN 12814.6 1027.1 950.2
719.6 512.8 23569.2 27.2 13664.2 921.0 966.9
775.1 497.3 1196.3 NaN 14480.1 941.9 965.5
763.9 531.9 1130.2 25.9 14461.6 939.1 945.2
786.2 458.8 23675.9 27.1 14476.1 958.0 79.7
809.6 462.7 23553.2 27.0 14463.4 927.7 960.4
814.9 528.7 1066.9 27.2 14492.5 927.7 960.4
815.5 565.5 1056.8 73.3 14440.0 943.9 942.9
43.2 458.5 23513.1 27.4 12897.0 934.8 970.0
728.5 489.6 1121.4 53.7 12989.8 1030.1 993.9
719.6 512.8 23569.2 27.2 13664.2 921.0 966.9
775.1 497.3 1196.3 NaN 14480.1 941.9 965.5
763.9 531.9 1130.2 25.9 14461.6 939.1 945.2
786.2 458.8 23675.9 27.1 14476.1 958.0 79.7
809.6 462.7 23553.2 27.0 14463.4 927.7 960.4
814.9 528.7 1066.9 27.2 14492.5 927.7 960.4
815.5 565.5 1056.8 73.3 14440.0 943.9 942.9
