csharp go java javascript php python ruby
1780.8 445.8 1588.7 80.3 35023.1 2213.1 13176.0
1858.8 428.7 1614.0 197.3 34180.1 2177.2 13015.1
1778.2 415.6 1531.1 80.6 34799.8 2103.5 13037.2
1830.4 413.9 1639.8 168.3 34693.2 2216.4 13007.3
1868.5 388.2 1573.6 166.9 34353.8 2264.9 12985.6
1801.4 383.5 1387.5 196.3 34732.2 2157.9 12987.2
1862.6 412.6 1586.6 170.5 34983.6 2141.5 2385.1
1823.3 403.2 1618.2 196.1 35120.5 2083.6 15208.8
1579.6 407.2 1528.2 274.4 34332.1 2189.0 16111.7
1701.3 418.2 1586.4 173.7 35147.5 2104.3 15978.7
1689.9 416.1 1559.6 147.2 34047.4 2233.4 15878.9
1657.2 443.6 1586.8 143.7 35267.2 2049.0 15993.3
1694.0 455.1 1637.4 171.5 35244.8 2162.0 3272.1
1697.3 417.0 1560.3 314.1 36235.2 2216.6 16035.2
1897.8 417.9 1700.9 171.9 29368.9 NaN 12988.8
1826.8 418.5 942.2 173.0 32731.6 2161.3 13135.5
1884.7 386.5 1578.8 197.2 35742.0 2181.2 13234.9
1794.0 415.4 1578.2 171.8 35729.7 2148.8 13314.0
1813.3 457.1 1639.3 196.2 34526.5 2238.2 13312.3
1880.2 385.4 1621.5 165.6 35414.9 2172.0 13227.6
1822.2 462.5 1609.8 196.1 35819.8 2166.3 13364.3
1829.7 388.8 1580.4 170.7 35568.0 NaN 13190.6
1828.2 418.8 1608.4 201.3 35427.6 2169.5 13273.3
1792.2 398.8 1588.2 171.4 36090.7 2051.6 13288.1
1801.5 413.3 1574.7 177.1 36206.3 2190.9 13222.7
1891.5 426.8 1631.5 111.0 33565.9 2140.6 13271.5
1795.4 385.0 1558.0 168.3 34090.5 2151.3 13144.2
1800.1 385.4 1594.3 168.7 35749.7 2140.0 13106.3
1749.8 412.9 1599.0 173.3 35013.9 2152.7 13151.4
1758.6 386.8 1564.9 145.7 34613.4 2193.0 13123.6
1787.3 416.7 1549.8 169.8 35153.7 2159.4 13221.7
1800.3 440.7 1551.7 138.4 34776.0 2205.0 13120.2
1818.9 384.5 1581.3 147.3 35146.9 2103.0 12961.4
1918.4 411.8 1561.3 275.3 34735.5 2171.3 13107.1
1858.8 428.7 1614.0 197.3 34180.1 2177.2 13015.1
1778.2 415.6 1531.1 80.6 34799.8 2103.5 13037.2
1830.4 413.9 1639.8 168.3 34693.2 2216.4 13007.3
1868.5 388.2 1573.6 166.9 34353.8 2264.9 12985.6
1801.4 383.5 1387.5 196.3 34732.2 2157.9 12987.2
1862.6 412.6 1586.6 170.5 34983.6 2141.5 2385.1
1823.3 403.2 1618.2 196.1 35120.5 2083.6 15208.8
1579.6 407.2 1528.2 274.4 34332.1 2189.0 16111.7
1701.3 418.2 1586.4 173.7 35147.5 2104.3 15978.7
1689.9 416.1 1559.6 147.2 34047.4 2233.4 15878.9
1657.2 443.6 1586.8 143.7 35267.2 2049.0 15993.3
1694.0 455.1 1637.4 171.5 35244.8 2162.0 3272.1
1697.3 417.0 1560.3 314.1 36235.2 2216.6 16035.2
1897.8 417.9 1700.9 171.9 29368.9 NaN 12988.8
1826.8 418.5 942.2 173.0 32731.6 2161.3 13135.5
1884.7 386.5 1578.8 197.2 35742.0 2181.2 13234.9
