csharp go java javascript php python ruby
961.0 327.8 22472.0 168.1 2638.7 2035.9 1503.6
954.1 354.9 22568.2 195.1 2197.6 2092.5 1452.3
976.4 332.1 22578.3 167.8 2680.0 2069.4 1443.1
986.5 332.0 22380.5 167.3 2867.8 2164.3 1482.4
959.5 313.9 20930.1 140.4 2541.7 1966.8 1473.3
947.5 397.9 22335.0 195.9 2687.3 2096.6 1507.0
982.9 344.9 22619.0 167.0 2797.8 1972.4 1493.7
996.5 353.9 26.0 144.4 2613.8 1932.8 1639.4
859.1 252.6 22755.7 172.0 2696.4 2026.1 1724.2
835.0 371.7 22522.8 252.9 2747.0 2026.0 1597.9
813.9 366.2 105.1 79.3 2825.6 1586.3 1600.3
870.1 360.3 NaN 195.8 2860.9 2198.0 1755.6
858.2 384.9 22611.9 170.5 2806.3 2159.9 1650.6
904.0 384.2 22317.4 171.2 2588.6 1891.3 1656.8
1026.0 361.8 104.8 78.6 2764.3 2084.3 1491.5
961.0 306.1 22843.8 169.1 2784.8 2151.4 1485.9
965.2 362.2 NaN 197.1 2738.5 1851.7 1514.3
992.5 337.0 NaN 197.2 2643.0 2022.0 1495.6
996.3 347.3 22616.1 195.0 2982.6 1880.8 1495.6
981.3 404.0 22704.2 172.9 2675.9 2191.4 1518.1
926.0 306.1 22816.4 167.4 2563.4 1946.7 1555.4
984.3 324.6 22890.7 170.2 2778.0 1733.3 1533.1
956.5 360.8 NaN 199.2 2831.2 2009.4 1535.7
926.5 375.6 27.0 173.2 2737.4 2059.3 1507.8
969.1 318.1 22504.1 199.5 2963.9 2127.2 1497.8
850.4 338.2 624.6 178.6 2797.6 1992.1 1501.7
988.3 304.9 79.0 78.1 2791.8 2012.0 1503.7
926.4 339.1 22543.3 198.8 2860.8 2021.9 1474.0
942.5 388.4 1143.5 95.0 2811.7 2092.5 1543.6
969.5 308.2 156.4 173.0 2511.7 1858.6 1479.8
954.8 301.4 22362.8 104.6 2743.2 2200.1 1482.7
939.3 343.2 21694.0 105.3 2596.6 2126.0 1475.2
954.1 354.8 22208.6 169.4 2900.8 2108.4 1498.0
986.3 312.6 NaN 168.5 2872.3 1890.6 1490.4
959.5 313.9 20930.1 140.4 2541.7 1966.8 1473.3
947.5 397.9 22335.0 195.9 2687.3 2096.6 1507.0
982.9 344.9 22619.0 167.0 2797.8 1972.4 1493.7
996.5 353.9 26.0 144.4 2613.8 1932.8 1639.4
859.1 252.6 22755.7 172.0 2696.4 2026.1 1724.2
835.0 371.7 22522.8 252.9 2747.0 2026.0 1597.9
813.9 366.2 105.1 79.3 2825.6 1586.3 1600.3
870.1 360.3 NaN 195.8 2860.9 2198.0 1755.6
858.2 384.9 22611.9 170.5 2806.3 2159.9 1650.6
904.0 384.2 22317.4 171.2 2588.6 1891.3 1656.8
1026.0 361.8 104.8 78.6 2764.3 2084.3 1491.5
961.0 306.1 22843.8 169.1 2784.8 2151.4 1485.9
965.2 362.2 NaN 197.1 2738.5 1851.7 1514.3
992.5 337.0 NaN 197.2 2643.0 2022.0 1495.6
996.3 347.3 22616.1 195.0 2982.6 1880.8 1495.6
981.3 404.0 22704.2 172.9 2675.9 2191.4 1518.1
