csharp_time go_time java_time javascript_time php_time python_time ruby_time
23 19 25 3 475 34 34
14 14 18 2 475 31 34
15 15 21 2 474 33 34
15 15 22 2 476 31 34
15 15 23 2 474 30 33
14 14 19 2 476 32 34
14 14 21 2 473 32 33
14 14 20 2 474 32 34
15 14 20 2 475 30 34
15 14 18 2 478 33 33
15 14 21 2 475 27 34
14 14 21 2 476 30 34
15 14 20 2 476 32 33
14 14 21 2 476 31 34
15 14 22 2 476 31 33
15 14 21 2 476 31 34
14 15 20 2 475 32 34
15 14 22 2 475 33 33
14 14 22 2 476 32 34
14 14 21 2 477 33 33
14 14 20 2 476 31 34
14 14 21 2 476 33 34
15 14 23 2 475 32 34
14 14 19 2 476 33 34
15 14 22 2 477 30 34
14 14 20 2 477 33 34
15 14 20 2 477 32 33
15 15 20 2 477 31 34
14 15 21 2 478 32 34
15 14 19 2 475 31 33
15 14 20 2 477 34 34
15 14 20 2 476 31 34
14 14 20 2 475 32 34
16 14 17 2 475 31 34
15 14 19 2 477 34 34
14 14 20 2 478 29 33
15 15 22 2 475 30 34
14 15 22 2 476 30 34
14 14 18 2 476 32 34
14 15 19 2 478 32 34
14 14 19 2 479 32 34
14 14 19 2 477 31 34
15 14 19 2 477 34 33
14 15 21 2 477 33 34
15 15 19 2 478 30 33
15 14 20 2 476 30 34
14 15 24 2 478 28 34
15 15 21 2 477 33 33
15 14 21 2 477 32 33
14 14 21 2 476 33 34
