csharp go java javascript php python ruby
98 15 45 5 744 74 296
60 14 45 4 741 73 298
60 14 44 8 774 71 296
61 14 44 5 728 72 299
60 14 45 5 736 73 240
62 15 44 3 737 77 299
79 15 45 4 735 75 298
60 15 45 4 733 73 295
60 15 45 4 729 73 297
60 14 45 4 731 74 299
60 15 45 4 724 72 241
60 15 45 3 746 75 296
61 14 45 5 737 75 293
61 15 45 4 731 72 241
61 15 45 4 736 74 296
60 15 45 3 736 64 298
60 14 45 5 721 70 240
61 15 45 4 720 69 297
60 14 45 5 737 74 292
61 15 45 4 728 75 297
62 14 45 4 728 72 296
60 14 45 5 733 75 299
61 15 45 4 728 71 299
60 14 45 5 726 71 298
60 15 45 5 730 72 241
60 15 45 5 733 76 296
60 15 45 4 740 73 242
60 15 45 4 742 77 298
62 14 45 4 746 75 297
62 15 45 3 734 74 294
61 14 45 5 721 70 299
60 15 45 4 748 75 299
79 14 45 4 735 72 241
60 15 45 4 733 70 294
62 15 45 3 735 68 240
61 14 45 4 722 70 296
60 15 45 5 720 69 295
62 14 45 4 735 65 243
60 15 45 3 727 76 298
60 15 45 4 736 68 296
60 15 45 4 732 69 297
60 14 45 5 746 72 295
64 15 45 4 731 76 299
61 14 45 4 729 70 241
60 15 45 4 738 70 241
60 14 45 3 739 75 298
63 15 45 4 729 75 297
61 15 45 4 742 70 298
60 15 45 4 738 66 297
79 15 45 5 730 75 298
