csharp go java javascript php python ruby
34 12 867 5 115 66 42
31 11 866 8 115 63 42
30 9 866 3 114 65 42
31 10 867 3 116 66 41
30 11 867 4 114 55 41
32 12 866 4 116 58 42
30 12 865 4 113 60 43
30 11 865 4 114 58 41
30 12 867 5 115 68 41
30 12 866 4 118 67 41
29 11 866 4 115 67 40
31 12 866 5 116 55 41
32 11 867 5 116 69 41
29 11 867 5 116 63 41
30 12 866 4 116 60 42
31 12 866 8 116 60 41
32 13 867 5 115 64 42
31 12 867 5 115 61 42
31 12 867 4 116 62 41
31 11 866 5 117 66 42
31 11 867 4 116 67 41
30 12 867 4 116 63 42
31 11 867 5 115 55 41
31 11 866 5 116 61 42
31 12 866 4 117 62 41
31 12 866 4 117 65 41
30 12 866 4 117 63 41
31 12 867 3 117 66 42
30 11 866 5 118 66 45
30 11 867 4 115 67 40
31 12 866 4 117 73 41
31 11 867 4 116 61 45
29 12 867 4 115 63 40
30 11 866 8 115 68 41
30 12 866 4 117 58 42
30 12 866 8 118 65 41
30 12 867 4 115 55 43
31 12 866 3 116 61 42
31 12 866 4 116 56 41
31 12 869 4 118 65 41
30 12 867 4 119 48 41
31 11 866 4 117 58 45
31 12 867 4 117 63 45
31 10 866 4 117 61 42
31 10 866 3 118 67 40
30 12 865 4 116 60 45
31 12 867 4 118 59 41
31 12 868 5 117 63 42
32 12 867 4 117 66 43
31 11 866 4 116 58 43
