% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 99.95    1.584219      158421        10         5 wait4
  0.01    0.000194           5        33         8 stat
  0.01    0.000102          20         5           clone
  0.00    0.000070           2        26           read
  0.00    0.000050           1        42           rt_sigprocmask
  0.00    0.000042           1        28           rt_sigaction
  0.00    0.000037           3        10           brk
  0.00    0.000033           3         9         1 openat
  0.00    0.000032           2        12           mmap
  0.00    0.000032           4         8           mprotect
  0.00    0.000028           3         9         1 access
  0.00    0.000026           1        16           close
  0.00    0.000014           1         8           fstat
  0.00    0.000011           1         9           getuid
  0.00    0.000010           2         5           rt_sigreturn
  0.00    0.000010           1         6         6 ioctl
  0.00    0.000010           1         9           getgid
  0.00    0.000009           9         1           munmap
  0.00    0.000009           1         9           geteuid
  0.00    0.000009           1         9           getegid
  0.00    0.000008           2         4           lseek
  0.00    0.000008           8         1           dup2
  0.00    0.000007           2         3         1 fcntl
  0.00    0.000006           1         4           pipe
  0.00    0.000003           1         2           prlimit64
  0.00    0.000002           2         1           uname
  0.00    0.000002           2         1           sysinfo
  0.00    0.000002           2         1           arch_prctl
  0.00    0.000001           0         2           getpid
  0.00    0.000001           1         1           getpgrp
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           getppid
------ ----------- ----------- --------- --------- ----------------
100.00    1.584987                   286        22 total

