% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 41.54    0.085654           4     20000     15914 socket
 18.30    0.037742           1     32260     20000 epoll_ctl
  8.45    0.017431           4      4086      4086 connect
  8.39    0.017293           2      8252           write
  4.93    0.010169          10       990           munmap
  4.13    0.008519           1      4336           close
  3.63    0.007484           0     20080           getpid
  2.59    0.005341           1      4086           getsockopt
  2.16    0.004445           6       736           mmap
  2.08    0.004293           1      2403       112 futex
  1.80    0.003721           0      4296           read
  0.77    0.001592         159        10           epoll_wait
  0.45    0.000923           1       745           brk
  0.22    0.000462         462         1           readlink
  0.12    0.000242           0       254         3 openat
  0.11    0.000234           4        55           mprotect
  0.10    0.000207           0       393       154 stat
  0.07    0.000136           0       259           lstat
  0.05    0.000101           0       203           fstat
  0.02    0.000051          10         5           clone
  0.02    0.000031           1        22        12 ioctl
  0.01    0.000025           0        52           pread64
  0.01    0.000018           2         8           lseek
  0.01    0.000015           1         9           getuid
  0.01    0.000015           1         8           getgid
  0.01    0.000012           1         8           geteuid
  0.01    0.000012           1         8           getegid
  0.00    0.000010           1         7           prlimit64
  0.00    0.000008           1         5           rt_sigprocmask
  0.00    0.000005           2         2         2 access
  0.00    0.000003           1         2           pipe2
  0.00    0.000002           2         1           poll
  0.00    0.000002           0        34           rt_sigaction
  0.00    0.000002           2         1           arch_prctl
  0.00    0.000002           2         1           eventfd2
  0.00    0.000000           0         2           madvise
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         2           getcwd
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           clock_getres
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         1           epoll_create1
------ ----------- ----------- --------- --------- ----------------
100.00    0.206202                103627     40283 total
