PERCENTAGE	SYSCALL			TIME
0		access			0.000012
0		arch_prctl			0.000005
.04		bind			0.000060
.26		brk			0.000323
.21		clone			0.000255
1.65		close			0.001994
.09		execve			0.000112
0		exit_group			0
.14		fcntl			0.000175
1.92		fstat			0.002325
.02		futex			0.000034
.01		getcwd			0.000013
.07		getdents			0.000085
0		getegid			0.000003
0		geteuid			0.000003
0		getgid			0.000003
0		getpid			0.000003
0		getuid			0.000003
.04		ioctl			0.000054
.19		lseek			0.000232
.15		lstat			0.000189
.79		mmap			0.000963
.48		mprotect			0.000588
0		mremap			0.000007
.13		munmap			0.000158
11.59		open			0.014001
11.55		openat			0.013956
0		pipe			0.000011
0		prlimit64			0.000007
50.84		read			0.061419
.02		readlink			0.000028
.17		rt_sigaction			0.000217
0		rt_sigprocmask			0.000003
0		set_robust_list			0.000003
0		setsockopt			0.000004
0		set_tid_address			0.000003
13.86		socket			0.016749
5.44		stat			0.006581
0		sysinfo			0.000005
0		uname			0.000006
0		wait4			0.000008
.16		write			0.000199
