+ python ../tasks//python/rest/server.py
 * Running on http://195.251.251.27:5000/ (Press CTRL+C to quit)
195.251.251.25 - - [16/May/2018 16:00:48] "GET / HTTP/1.1" 200 -
195.251.251.25 - - [16/May/2018 16:00:48] "GET / HTTP/1.1" 200 -
195.251.251.25 - - [16/May/2018 16:00:48] "GET / HTTP/1.1" 200 -
195.251.251.25 - - [16/May/2018 16:00:48] "GET / HTTP/1.1" 200 -
195.251.251.25 - - [16/May/2018 16:00:48] "GET / HTTP/1.1" 200 -
195.251.251.25 - - [16/May/2018 16:00:48] "GET / HTTP/1.1" 200 -
195.251.251.25 - - [16/May/2018 16:00:48] "GET / HTTP/1.1" 200 -
195.251.251.25 - - [16/May/2018 16:00:48] "GET / HTTP/1.1" 200 -
195.251.251.25 - - [16/May/2018 16:00:48] "GET / HTTP/1.1" 200 -
195.251.251.25 - - [16/May/2018 16:00:48] "GET / HTTP/1.1" 200 -
195.251.251.25 - - [16/May/2018 16:00:48] "GET / HTTP/1.1" 200 -
195.251.251.25 - - [16/May/2018 16:00:48] "GET / HTTP/1.1" 200 -
195.251.251.25 - - [16/May/2018 16:00:48] "GET / HTTP/1.1" 200 -
195.251.251.25 - - [16/May/2018 16:00:48] "GET / HTTP/1.1" 200 -
195.251.251.25 - - [16/May/2018 16:00:48] "GET / HTTP/1.1" 200 -
195.251.251.25 - - [16/May/2018 16:00:48] "GET / HTTP/1.1" 200 -
195.251.251.25 - - [16/May/2018 16:00:48] "GET / HTTP/1.1" 200 -
195.251.251.25 - - [16/May/2018 16:00:48] "GET / HTTP/1.1" 200 -
195.251.251.25 - - [16/May/2018 16:00:48] "GET / HTTP/1.1" 200 -
195.251.251.25 - - [16/May/2018 16:00:48] "GET / HTTP/1.1" 200 -
195.251.251.25 - - [16/May/2018 16:00:48] "GET / HTTP/1.1" 200 -
195.251.251.25 - - [16/May/2018 16:00:48] "GET / HTTP/1.1" 200 -
195.251.251.25 - - [16/May/2018 16:00:48] "GET / HTTP/1.1" 200 -
195.251.251.25 - - [16/May/2018 16:00:48] "GET / HTTP/1.1" 200 -
195.251.251.25 - - [16/May/2018 16:00:48] "GET / HTTP/1.1" 200 -
195.251.251.25 - - [16/May/2018 16:00:48] "GET / HTTP/1.1" 200 -
195.251.251.25 - - [16/May/2018 16:00:48] "GET / HTTP/1.1" 200 -
195.251.251.25 - - [16/May/2018 16:00:48] "GET / HTTP/1.1" 200 -
195.251.251.25 - - [16/May/2018 16:00:48] "GET / HTTP/1.1" 200 -
195.251.251.25 - - [16/May/2018 16:00:48] "GET / HTTP/1.1" 200 -
195.251.251.25 - - [16/May/2018 16:00:48] "GET / HTTP/1.1" 200 -
195.251.251.25 - - [16/May/2018 16:00:48] "GET / HTTP/1.1" 200 -
195.251.251.25 - - [16/May/2018 16:00:49] "GET / HTTP/1.1" 200 -
195.251.251.25 - - [16/May/2018 16:00:49] "GET / HTTP/1.1" 200 -
195.251.251.25 - - [16/May/2018 16:00:49] "GET / HTTP/1.1" 200 -
195.251.251.25 - - [16/May/2018 16:00:49] "GET / HTTP/1.1" 200 -
195.251.251.25 - - [16/May/2018 16:00:49] "GET / HTTP/1.1" 200 -
195.251.251.25 - - [16/May/2018 16:00:49] "GET / HTTP/1.1" 200 -
195.251.251.25 - - [16/May/2018 16:00:49] "GET / HTTP/1.1" 200 -
195.251.251.25 - - [16/May/2018 16:00:49] "GET / HTTP/1.1" 200 -
195.251.251.25 - - [16/May/2018 16:00:49] "GET / HTTP/1.1" 200 -
195.251.251.25 - - [16/May/2018 16:00:49] "GET / HTTP/1.1" 200 -
195.251.251.25 - - [16/May/2018 16:00:49] "GET / HTTP/1.1" 200 -
195.251.251.25 - - [16/May/2018 16:00:49] "GET / HTTP/1.1" 200 -
195.251.251.25 - - [16/May/2018 16:00:49] "GET / HTTP/1.1" 200 -
195.251.251.25 - - [16/May/2018 16:00:49] "GET / HTTP/1.1" 200 -
195.251.251.25 - - [16/May/2018 16:00:49] "GET / HTTP/1.1" 200 -
195.251.251.25 - - [16/May/2018 16:00:49] "GET / HTTP/1.1" 200 -
195.251.251.25 - - [16/May/2018 16:00:49] "GET / HTTP/1.1" 200 -
195.251.251.25 - - [16/May/2018 16:00:49] "GET / HTTP/1.1" 200 -
195.251.251.25 - - [16/May/2018 16:00:49] "GET / HTTP/1.1" 200 -
195.251.251.25 - - [16/May/2018 16:00:49] "GET / HTTP/1.1" 200 -
195.251.251.25 - - [16/May/2018 16:00:49] "GET / HTTP/1.1" 200 -
195.251.251.25 - - [16/May/2018 16:00:49] "GET / HTTP/1.1" 200 -
195.251.251.25 - - [16/May/2018 16:00:49] "GET / HTTP/1.1" 200 -
195.251.251.25 - - [16/May/2018 16:00:49] "GET / HTTP/1.1" 200 -
195.251.251.25 - - [16/May/2018 16:00:49] "GET / HTTP/1.1" 200 -
195.251.251.25 - - [16/May/2018 16:00:49] "GET / HTTP/1.1" 200 -
195.251.251.25 - - [16/May/2018 16:00:49] "GET / HTTP/1.1" 200 -
195.251.251.25 - - [16/May/2018 16:00:49] "GET / HTTP/1.1" 200 -
195.251.251.25 - - [16/May/2018 16:00:49] "GET / HTTP/1.1" 200 -
195.251.251.25 - - [16/May/2018 16:00:49] "GET / HTTP/1.1" 200 -
195.251.251.25 - - [16/May/2018 16:00:49] "GET / HTTP/1.1" 200 -
