% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 95.64    1.970905        5679       347        35 futex
  2.75    0.056617        8088         7           waitid
  0.87    0.018011        2573         7           wait4
  0.45    0.009366         780        12           clone
  0.08    0.001588           2       541           lstat
  0.04    0.000736           2       254           openat
  0.03    0.000609           1       517       500 epoll_ctl
  0.03    0.000550           2       265         6 read
  0.02    0.000411           1       279           close
  0.02    0.000341          20        17           pselect6
  0.01    0.000286         286         1           readlinkat
  0.01    0.000272           2       120           rt_sigaction
  0.01    0.000218           3        67        42 stat
  0.01    0.000185          15        12           getdents64
  0.01    0.000163          18         9           mkdirat
  0.01    0.000122           3        32           mmap
  0.00    0.000088           2        34           rt_sigprocmask
  0.00    0.000056           1        34           fcntl
  0.00    0.000043           6         7           rt_sigreturn
  0.00    0.000042           3        11           pipe2
  0.00    0.000033           3        10           mprotect
  0.00    0.000014           7         2           munmap
  0.00    0.000010           1         8           getpid
  0.00    0.000009           3         3           epoll_wait
  0.00    0.000007           3         2           sched_yield
  0.00    0.000005           1         3           brk
  0.00    0.000004           2         2           sigaltstack
  0.00    0.000002           2         1           write
  0.00    0.000002           0         3           fstat
  0.00    0.000002           2         1           arch_prctl
  0.00    0.000002           2         1           gettid
  0.00    0.000002           2         1           sched_getaffinity
  0.00    0.000002           2         1           set_tid_address
  0.00    0.000002           2         1           set_robust_list
  0.00    0.000002           2         1           epoll_create1
  0.00    0.000002           2         1           prlimit64
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
------ ----------- ----------- --------- --------- ----------------
100.00    2.060709                  2616       584 total
