% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 76.41    0.034987        8746         4           wait4
 10.41    0.004768          17       275         7 futex
  3.12    0.001428           2       521           lstat
  1.74    0.000795           3       238           openat
  1.45    0.000664           1       482       468 epoll_ctl
  1.30    0.000596           2       245           read
  1.07    0.000489         489         1           readlinkat
  0.87    0.000400           1       250           close
  0.63    0.000287           2       120           rt_sigaction
  0.59    0.000271          54         5           mkdirat
  0.43    0.000196          19        10           getdents64
  0.32    0.000145           4        35           mmap
  0.31    0.000143          71         2           pselect6
  0.29    0.000135           2        50        27 stat
  0.22    0.000102          25         4           waitid
  0.21    0.000094           9        10           clone
  0.14    0.000066           2        30           rt_sigprocmask
  0.14    0.000064           1        34           fcntl
  0.10    0.000047           4        11           mprotect
  0.06    0.000029           3         8           pipe2
  0.04    0.000019           4         4           rt_sigreturn
  0.03    0.000016           8         2           munmap
  0.02    0.000008           1         5           getpid
  0.02    0.000008           4         2           epoll_wait
  0.01    0.000006           2         3           brk
  0.01    0.000006           3         2           sigaltstack
  0.01    0.000004           4         1           epoll_create1
  0.01    0.000003           3         1           arch_prctl
  0.01    0.000003           3         1           gettid
  0.01    0.000003           3         1           sched_getaffinity
  0.01    0.000003           3         1           prlimit64
  0.00    0.000002           2         1           write
  0.00    0.000002           2         1           set_tid_address
  0.00    0.000002           2         1           set_robust_list
  0.00    0.000000           0         3           fstat
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           sched_yield
  0.00    0.000000           0         1           execve
------ ----------- ----------- --------- --------- ----------------
100.00    0.045791                  2367       503 total
