% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 79.75    0.008446         422        20        10 wait4
  3.25    0.000344         172         2           readlink
  3.14    0.000333           7        45        22 stat
  2.62    0.000277          25        11           clone
  1.61    0.000170           3        50        29 openat
  1.48    0.000157           3        47           read
  1.39    0.000147           3        41           mmap
  1.18    0.000125           1        73           rt_sigprocmask
  1.02    0.000108           3        29           mprotect
  0.82    0.000087           2        39           close
  0.82    0.000087           1        48           rt_sigaction
  0.40    0.000042           2        21           fstat
  0.30    0.000032           3         9           pipe
  0.27    0.000029           1        15           lseek
  0.26    0.000028           9         3           munmap
  0.21    0.000022           2         8         3 access
  0.20    0.000021           1        12           brk
  0.16    0.000017           4         4         2 faccessat
  0.14    0.000015           1        10           rt_sigreturn
  0.10    0.000011           2         5         5 ioctl
  0.08    0.000009           1         5           getgid
  0.08    0.000008           1         5           getegid
  0.07    0.000007           3         2           lstat
  0.07    0.000007           7         1           dup2
  0.07    0.000007           3         2           execve
  0.07    0.000007           1         5           getuid
  0.06    0.000006           1         4           getpid
  0.06    0.000006           2         3         1 fcntl
  0.06    0.000006           1         5           geteuid
  0.06    0.000006           2         3           prlimit64
  0.05    0.000005           2         2           arch_prctl
  0.04    0.000004           4         1           sysinfo
  0.02    0.000002           2         1           uname
  0.02    0.000002           2         1           chdir
  0.02    0.000002           2         1           getppid
  0.02    0.000002           2         1           getpgrp
  0.02    0.000002           2         1           futex
  0.02    0.000002           2         1           set_tid_address
  0.02    0.000002           2         1           set_robust_list
------ ----------- ----------- --------- --------- ----------------
100.00    0.010590                   537        72 total
