% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 49.90    0.039081           0     60199           clock_gettime
 23.76    0.018611           0     20045           write
 13.16    0.010305           1      8215           brk
  3.01    0.002356           7       321           munmap
  2.95    0.002313          22       104           writev
  2.35    0.001840           4       400           mmap
  1.90    0.001491           1       985        30 futex
  0.68    0.000535           1       289           read
  0.46    0.000357          29        12           clone
  0.32    0.000249           1       182           epoll_wait
  0.30    0.000235         235         1           readlink
  0.19    0.000150           1        89         1 openat
  0.14    0.000113          37         3           socketpair
  0.13    0.000105           0       121         5 epoll_ctl
  0.09    0.000067           0       123        53 stat
  0.09    0.000067           1        60           mprotect
  0.08    0.000065           1        36           rt_sigaction
  0.08    0.000061           0        99           close
  0.07    0.000052          52         1           socket
  0.06    0.000050           2        25        12 ioctl
  0.04    0.000034           0        82           lstat
  0.03    0.000024           0        70           fstat
  0.02    0.000018           2         9           getuid
  0.02    0.000015           1         9           rt_sigprocmask
  0.02    0.000015           1         8           getegid
  0.02    0.000014           1         8           getgid
  0.02    0.000014           1         8           geteuid
  0.02    0.000014           1        11           prlimit64
  0.01    0.000010           0        39           getpid
  0.01    0.000010           2         4           pipe2
  0.01    0.000008           0        21           pread64
  0.01    0.000007           7         1         1 connect
  0.01    0.000006           6         1           wait4
  0.01    0.000005           2         2           epoll_create1
  0.01    0.000004           1         4           getcwd
  0.00    0.000003           3         1           poll
  0.00    0.000003           3         1           rt_sigreturn
  0.00    0.000003           1         2         2 access
  0.00    0.000003           3         1           shutdown
  0.00    0.000003           3         1           clock_getres
  0.00    0.000003           1         2           eventfd2
  0.00    0.000002           2         1           set_tid_address
  0.00    0.000002           2         1           set_robust_list
  0.00    0.000001           1         1           setsockopt
  0.00    0.000001           1         1           getsockopt
  0.00    0.000000           0         8           lseek
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           arch_prctl
------ ----------- ----------- --------- --------- ----------------
100.00    0.078325                 91609       104 total
