PERCENTAGE	SYSCALL			TIME
.65		access			0.000084
.04		arch_prctl			0.000006
.43		brk			0.000056
.03		chdir			0.000004
2.61		clone			0.000336
1.39		close			0.000179
.03		dup2			0.000004
5.21		execve			0.000670
.21		faccessat			0.000027
.07		fcntl			0.000009
.80		fstat			0.000103
.03		futex			0.000004
.12		getegid			0.000016
.13		geteuid			0.000017
.11		getgid			0.000015
.02		getpgrp			0.000003
.10		getpid			0.000013
.01		getppid			0.000002
.14		getuid			0.000018
.09		ioctl			0.000012
.28		lseek			0.000037
.07		lstat			0.000010
2.31		mmap			0.000297
1.55		mprotect			0.000200
.28		munmap			0.000037
5.05		open			0.000650
2.73		openat			0.000352
.51		pipe			0.000066
.07		prlimit64			0.000010
63.75		read			0.008190
.18		readlink			0.000024
1.23		rt_sigaction			0.000159
2.77		rt_sigprocmask			0.000356
.29		rt_sigreturn			0.000038
.02		set_robust_list			0.000003
.03		set_tid_address			0.000004
2.64		stat			0.000340
.03		sysinfo			0.000005
.02		uname			0.000003
3.79		wait4			0.000488
