PERCENTAGE	SYSCALL			TIME
1.72		access			0.000330
.07		arch_prctl			0.000015
.60		brk			0.000116
5.20		clone			0.000994
2.71		close			0.000518
.36		dup2			0.000070
2.25		execve			0.000431
0		exit_group			0
.62		faccessat			0.000120
1.22		fcntl			0.000234
.96		fstat			0.000185
.64		getegid			0.000124
.64		geteuid			0.000123
.63		getgid			0.000121
.07		getpgrp			0.000015
.14		getpid			0.000028
.07		getppid			0.000014
.63		getuid			0.000122
.32		ioctl			0.000063
.62		lseek			0.000120
.10		lstat			0.000021
1.34		mmap			0.000256
.97		mprotect			0.000187
.26		munmap			0.000050
1.95		open			0.000373
1.70		openat			0.000326
.89		pipe			0.000171
.14		prlimit64			0.000028
52.31		read			0.009994
3.27		rt_sigaction			0.000625
5.56		rt_sigprocmask			0.001064
.85		rt_sigreturn			0.000163
4.20		stat			0.000804
.09		sysinfo			0.000019
.06		umask			0.000013
.07		uname			0.000015
6.23		wait4			0.001192
.30		write			0.000059
