PERCENTAGE	SYSCALL			TIME
.41		access			0.000066
.08		arch_prctl			0.000014
.18		bind			0.000029
10.63		brk			0.001687
.08		clock_getres			0.000014
.17		clock_gettime			0.000027
3.48		clone			0.000552
3.52		close			0.000559
.01		dup3			0.000003
.15		epoll_create1			0.000025
.23		epoll_ctl			0.000037
.09		epoll_wait			0.000015
.11		eventfd2			0.000019
2.45		execve			0.000390
3.18		fstat			0.000505
3.25		futex			0.000516
.11		getcwd			0.000019
.64		getegid			0.000103
.66		geteuid			0.000106
.71		getgid			0.000114
.68		getpid			0.000108
.01		gettid			0.000003
.78		getuid			0.000124
1.85		ioctl			0.000294
.02		lseek			0.000004
2.44		lstat			0.000388
13.22		mmap			0.002098
7.04		mprotect			0.001117
4.78		munmap			0.000759
6.00		open			0.000952
5.42		openat			0.000860
.29		pipe2			0.000047
.58		poll			0.000092
.55		pread64			0.000088
.67		prlimit64			0.000107
9.24		read			0.001466
.39		readlink			0.000062
2.89		rt_sigaction			0.000459
.70		rt_sigprocmask			0.000112
.01		rt_sigreturn			0.000003
.08		set_robust_list			0.000013
.07		setsockopt			0.000012
.08		set_tid_address			0.000013
.02		shutdown			0.000004
.76		socket			0.000122
.31		socketpair			0.000050
10.37		stat			0.001646
.04		wait4			0.000007
.32		write			0.000051
