PERCENTAGE	SYSCALL			TIME
.05		access			0.000056
.01		arch_prctl			0.000015
.07		bind			0.000079
.73		brk			0.000740
.19		clone			0.000201
3.07		close			0.003100
.39		execve			0.000402
0		exit_group			0
.13		fcntl			0.000138
4.03		fstat			0.004066
.04		futex			0.000043
.02		getcwd			0.000021
.24		getdents			0.000245
.01		getegid			0.000014
.01		geteuid			0.000014
.01		getgid			0.000014
.06		getpid			0.000061
.01		getuid			0.000013
.07		ioctl			0.000079
.24		lseek			0.000246
3.17		lstat			0.003199
1.75		mmap			0.001767
1.02		mprotect			0.001034
0		mremap			0.000007
.23		munmap			0.000237
19.09		open			0.019244
18.99		openat			0.019149
.01		pipe			0.000011
.05		prlimit64			0.000057
30.74		read			0.030984
.09		readlink			0.000096
.88		rt_sigaction			0.000888
.01		rt_sigprocmask			0.000013
.01		set_robust_list			0.000013
0		setsockopt			0.000004
.01		set_tid_address			0.000013
.27		socket			0.000277
14.05		stat			0.014161
.01		sysinfo			0.000017
0		uname			0.000003
0		wait4			0.000008
.05		write			0.000059
