csharp go java javascript php python ruby
0 22.7 177.6 1.7 826.6 36.8 NaN
0 18.3 224.2 10.0 827.8 35.8 25.2
0 20.4 174.7 1.7 832.9 37.5 26.3
0 20.9 171.6 NaN 825.7 37.2 22.6
0 36.0 173.5 11.5 827.4 41.5 24.7
0 20.7 170.6 3.6 829.4 36.8 NaN
0 20.4 171.9 7.9 816.1 39.5 26.6
0 25.9 170.6 1.7 838.9 37.7 24.7
0 35.9 615.2 11.7 831.9 37.2 24.6
0 20.3 624.4 3.6 174.6 35.5 NaN
0 20.5 487.5 NaN 838.3 38.0 24.9
0 20.4 172.2 NaN 809.8 NaN NaN
0 38.9 30.8 NaN 837.8 37.4 24.5
0 20.9 148.0 3.7 866.4 36.7 25.6
0 23.0 24.4 3.7 869.1 36.5 27.2
0 21.2 25.6 1.7 854.0 39.5 24.8
0 25.2 23.5 NaN 841.5 39.7 24.8
0 20.7 27.7 1.7 NaN 37.9 NaN
0 22.7 173.7 1.7 842.9 37.7 24.9
0 21.1 176.0 NaN 853.2 38.4 NaN
0 21.0 463.8 1.7 864.2 36.0 25.1
0 20.6 173.2 3.6 850.4 39.6 24.7
0 22.6 180.0 1.7 833.7 NaN 26.5
0 22.6 28.5 3.7 839.9 39.6 NaN
0 22.3 173.3 1.7 852.9 38.1 25.0
0 20.8 177.5 1.7 839.9 35.4 26.8
0 39.9 628.5 1.7 859.0 NaN 25.3
0 20.5 175.6 1.7 845.4 39.7 24.5
0 22.8 172.7 7.7 NaN 36.1 25.3
0 22.7 208.8 5.9 846.1 36.0 NaN
0 20.5 173.0 1.7 851.6 31.5 26.6
0 22.8 175.1 1.7 NaN NaN 24.8
0 22.9 114.5 1.7 860.2 NaN 27.1
0 22.9 175.8 3.7 837.4 37.8 22.8
0 22.5 630.5 6.1 845.4 36.8 NaN
0 39.2 169.4 1.7 824.0 39.7 25.3
0 22.9 185.4 1.7 842.7 NaN 22.7
0 21.0 170.9 1.7 839.6 37.6 24.8
0 23.1 174.3 1.7 851.2 37.7 24.6
0 36.5 172.1 1.7 848.7 39.3 22.7
0 20.4 178.3 1.7 NaN 39.9 26.6
0 23.1 172.5 NaN NaN 38.0 25.1
0 20.7 624.2 NaN 838.7 39.8 25.1
0 20.8 171.7 1.7 806.4 29.0 23.0
0 39.1 171.5 3.8 834.6 37.4 26.7
0 20.6 158.7 1.7 816.6 NaN 24.6
0 20.9 165.0 7.9 NaN 39.4 24.8
0 20.5 172.0 10.0 728.0 39.3 24.9
0 22.4 492.2 10.2 831.5 36.9 24.6
0 39.5 176.6 2.2 761.5 39.1 23.2
0 36.0 625.7 1.7 820.7 33.1 26.9
0 22.6 617.3 5.9 833.1 NaN 25.4
0 20.9 172.3 1.8 834.2 37.6 24.7
