csharp go java javascript php python ruby
112.9 14.4 60.0 51.2 386.8 NaN 457.7
112.8 16.5 15.9 50.7 NaN 175.2 1222.5
NaN 14.4 60.0 44.6 386.3 171.4 903.2
55.0 16.4 60.0 54.2 378.6 173.0 1209.3
NaN 27.8 14.1 53.0 390.6 170.3 NaN
112.8 16.4 59.8 50.5 434.4 168.8 1211.3
109.9 16.5 63.9 51.1 NaN 174.2 1214.5
111.8 30.7 58.6 37.4 389.9 172.6 1211.3
113.2 27.6 55.1 54.1 371.6 169.2 492.1
NaN 16.8 62.8 50.9 382.9 168.3 NaN
112.6 16.5 57.0 55.2 NaN 169.8 1260.1
NaN 16.6 61.3 51.7 369.6 169.8 1189.5
112.6 27.7 56.6 1.8 392.6 171.1 1219.1
112.0 16.7 61.5 36.6 395.1 180.6 1254.4
115.8 16.8 60.5 47.8 NaN NaN 1215.6
104.3 16.7 70.0 47.4 405.8 171.5 1268.9
128.0 16.4 62.5 51.6 361.8 170.1 580.1
156.4 16.4 61.0 35.9 845.7 173.2 465.4
111.4 14.4 58.7 51.4 NaN 172.3 1204.2
112.8 16.8 12.6 38.8 379.6 NaN 1220.6
112.7 14.4 59.8 52.0 371.1 174.8 1220.3
111.1 16.5 58.5 38.1 370.8 173.8 305.9
114.6 14.4 58.0 36.5 440.8 NaN 656.9
114.7 16.8 60.9 53.6 NaN 175.1 306.1
113.5 16.5 59.1 51.9 NaN 176.5 1231.0
114.0 14.8 56.8 NaN 335.1 171.7 1234.2
118.0 31.7 57.4 55.8 331.6 176.8 1223.6
112.9 16.2 60.3 35.5 NaN 173.2 NaN
NaN 14.4 55.3 53.5 852.7 174.1 1214.6
109.7 14.4 62.3 53.1 386.2 NaN 1222.5
118.4 16.7 59.2 52.2 412.9 168.5 1196.2
112.7 14.1 68.7 53.4 859.1 175.9 1213.7
109.4 14.6 59.8 52.6 464.5 NaN 1226.9
112.2 16.5 60.0 52.7 466.7 125.6 NaN
NaN 16.5 59.8 49.1 422.9 168.0 1216.7
113.7 30.7 70.6 1.7 441.8 172.4 1230.6
86.5 16.6 59.2 55.4 447.7 170.4 1192.9
129.7 16.3 60.5 52.7 338.8 171.5 1192.0
113.6 14.8 57.7 NaN 360.3 173.4 1216.9
112.9 28.1 58.0 36.8 379.8 171.5 1188.3
126.0 16.6 64.2 53.6 833.0 172.9 1218.9
113.3 16.5 60.6 53.2 850.1 174.3 1217.4
114.6 14.5 61.0 1.8 403.1 177.9 1214.8
110.8 16.5 57.7 51.0 453.9 169.8 NaN
112.0 30.9 65.8 51.0 434.9 170.9 NaN
113.1 16.2 58.1 50.8 449.0 172.5 1174.0
112.8 16.5 56.8 1.7 835.3 170.9 1218.6
NaN 16.2 59.8 48.7 420.9 171.7 1210.2
NaN 18.4 60.2 53.2 463.1 170.4 1203.3
111.6 27.4 58.7 42.6 395.2 170.6 1208.7
112.3 27.8 56.9 53.0 373.7 168.2 1199.3
113.5 14.4 59.9 39.8 NaN 173.4 1220.5
114.8 16.5 65.9 54.6 403.8 NaN 1221.9
