csharp go java javascript php python ruby
295.6 16.2 451.8 73.4 37.1 107.4 NaN
293.5 18.2 1.7 50.4 44.3 107.4 NaN
292.4 16.1 444.5 NaN 39.1 106.6 NaN
288.4 14.3 447.9 50.4 24.1 NaN 97.0
NaN 23.9 450.1 53.0 35.6 NaN 96.5
293.7 16.2 451.4 1.6 40.9 106.3 93.7
295.9 16.2 NaN 54.8 43.9 108.7 91.9
NaN 19.1 450.8 47.1 39.3 105.3 93.9
NaN 21.9 1.9 52.0 41.0 109.1 94.3
223.8 16.4 NaN 50.4 39.5 107.1 94.8
297.0 14.4 2.7 56.4 41.0 109.1 92.9
294.2 16.6 444.7 50.6 40.8 107.5 92.3
NaN 19.4 471.9 53.4 41.1 NaN 94.3
330.9 18.4 NaN 1.8 40.8 108.2 96.8
302.6 18.7 98.9 54.5 41.9 111.1 97.2
298.5 14.7 19.1 53.5 39.9 108.2 NaN
309.4 16.2 477.5 51.5 38.0 107.1 96.1
337.2 16.6 464.2 53.2 46.5 109.5 NaN
297.0 16.2 444.7 54.5 28.9 107.3 94.5
294.3 16.5 464.4 53.9 43.6 NaN 96.6
300.6 16.3 2.5 54.3 40.0 82.7 NaN
296.8 16.2 3.7 54.6 37.5 NaN 92.3
297.7 16.4 454.8 1.7 37.1 108.5 94.8
298.1 16.5 466.0 53.8 44.8 110.8 95.3
297.0 16.2 NaN 53.6 43.3 107.8 91.4
296.6 14.3 449.6 55.7 39.5 107.1 95.8
NaN 19.7 1.9 NaN 43.3 110.7 96.8
293.5 16.5 NaN 1.8 40.8 NaN 91.2
273.8 14.3 454.4 52.9 42.8 108.5 95.0
296.7 16.4 1.8 53.1 43.3 107.3 95.7
283.8 16.4 456.7 NaN 43.2 109.6 93.4
301.3 18.7 452.9 1.7 46.3 100.8 94.2
297.6 14.4 2.5 73.0 38.3 109.9 95.3
297.5 16.6 449.4 52.7 39.7 106.1 94.8
295.7 16.3 7.6 53.3 40.9 105.4 91.8
NaN 21.9 NaN 82.3 41.5 109.7 NaN
300.3 16.4 363.8 55.5 39.5 108.8 NaN
326.9 18.3 NaN 49.4 39.5 106.1 96.7
299.4 18.5 461.4 79.5 43.1 NaN 94.3
NaN 22.1 NaN 73.8 37.6 108.0 94.4
329.6 14.4 NaN 87.5 46.3 NaN NaN
297.8 16.6 416.2 53.4 43.1 107.9 96.6
299.9 18.4 1.8 54.5 41.8 NaN NaN
292.0 14.1 443.5 79.7 38.8 106.7 92.7
NaN 21.9 NaN 75.3 37.5 107.9 94.2
292.7 16.3 443.6 50.4 39.0 108.0 92.3
293.5 14.5 446.5 56.7 40.1 108.1 93.6
294.6 16.2 448.2 54.6 37.4 107.2 95.8
298.9 16.6 NaN 57.1 40.8 107.8 91.8
NaN 21.0 451.8 56.8 42.8 107.8 94.1
NaN 21.5 NaN 54.7 53.1 108.0 94.1
296.8 14.2 1.9 52.9 44.3 104.5 94.1
294.3 18.2 452.9 76.1 37.4 NaN 97.2
