% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 22.96    0.064395          13      5000      5000 connect
 20.09    0.056351          11      5032           write
 19.58    0.054910          10      5239           close
 10.71    0.030047           6      5000           socket
  7.53    0.021113           4      5215           read
  5.23    0.014665           3      5000           getsockopt
  4.70    0.013180        1014        13           epoll_wait
  2.41    0.006758           7       962         4 futex
  1.63    0.004565           1      5029           getpid
  0.92    0.002577           6       407           munmap
  0.73    0.002039           1      1705           cacheflush
  0.63    0.001753           5       374       141 stat64
  0.60    0.001694           7       243         2 openat
  0.48    0.001337           4       348           mmap2
  0.25    0.000713           3       249           lstat64
  0.23    0.000645          14        47           mprotect
  0.23    0.000634           5       119           brk
  0.19    0.000520           3       194           fstat64
  0.16    0.000462          13        35           rt_sigaction
  0.12    0.000328          66         5           clone
  0.08    0.000227          14        16           _llseek
  0.08    0.000223           9        26        10 ioctl
  0.07    0.000209          23         9         8 access
  0.07    0.000206           4        49           pread64
  0.04    0.000124          14         9           getuid32
  0.04    0.000112          14         8           getegid32
  0.04    0.000104          13         8           getgid32
  0.04    0.000100          13         8           geteuid32
  0.03    0.000091          15         6           prlimit64
  0.02    0.000066          33         2           pipe2
  0.02    0.000056          28         2           readlink
  0.02    0.000053           8         7           rt_sigprocmask
  0.01    0.000024          24         1           epoll_create1
  0.01    0.000023          23         1           poll
  0.01    0.000023           8         3           getcwd
  0.01    0.000023          23         1           eventfd2
  0.01    0.000019          19         1           execve
  0.01    0.000019          10         2           uname
  0.01    0.000016          16         1           ugetrlimit
  0.01    0.000016          16         1           set_tid_address
  0.01    0.000015          15         1           clock_getres
  0.00    0.000014          14         1           set_tls
  0.00    0.000013          13         1           set_robust_list
  0.00    0.000009           3         3           madvise
  0.00    0.000000           0         1           dup3
------ ----------- ----------- --------- --------- ----------------
100.00    0.280471                 40384      5165 total
