% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 21.89    0.065578          13      5000      5000 connect
 20.23    0.060619          12      5237           close
 18.70    0.056047          11      5032           write
 10.71    0.032105           6      5000           socket
  6.89    0.020646           4      5216           read
  5.98    0.017915          19       919         4 futex
  5.40    0.016168        1155        14           epoll_wait
  4.45    0.013345           3      5000           getsockopt
  1.91    0.005718          14       397           munmap
  1.41    0.004216           1      5029           getpid
  0.47    0.001422           1      1731           cacheflush
  0.36    0.001088           3       346           mmap2
  0.26    0.000778           6       121           brk
  0.25    0.000741           3       243         4 openat
  0.21    0.000639           2       382       145 stat64
  0.15    0.000459          10        47           mprotect
  0.11    0.000340          10        35           rt_sigaction
  0.11    0.000321           1       253           lstat64
  0.10    0.000286          57         5           clone
  0.07    0.000211           1       196           fstat64
  0.06    0.000173           7        26        10 ioctl
  0.06    0.000168          56         3           madvise
  0.03    0.000089          10         9           getuid32
  0.03    0.000078          10         8           getgid32
  0.03    0.000077          10         8           geteuid32
  0.03    0.000077          10         8           getegid32
  0.02    0.000066          11         6           prlimit64
  0.02    0.000062          31         2           pipe2
  0.02    0.000058           1        46           pread64
  0.01    0.000021           3         7           rt_sigprocmask
  0.01    0.000020           7         3           getcwd
  0.01    0.000019          19         1           poll
  0.01    0.000018          18         1           epoll_create1
  0.01    0.000017          17         1           eventfd2
  0.00    0.000012          12         1           ugetrlimit
  0.00    0.000012          12         1           clock_getres
  0.00    0.000011           6         2           readlink
  0.00    0.000010          10         1           set_tid_address
  0.00    0.000010          10         1           set_robust_list
  0.00    0.000002           1         2           uname
  0.00    0.000001           1         1           dup3
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         9         8 access
  0.00    0.000000           0        16           _llseek
  0.00    0.000000           0         1           set_tls
------ ----------- ----------- --------- --------- ----------------
100.00    0.299643                 40368      5171 total
