strace: Process 6191 attached
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 20.63    0.045375           8      5951           close
 18.16    0.039943           8      5000           connect
 12.96    0.028496           2     14849           recv
  9.47    0.020817           2     11498     10875 stat64
  8.63    0.018971           5      4209      3268 openat
  5.61    0.012332           2      5000           send
  5.15    0.011325           5      2460           read
  4.44    0.009767           4      2663           fstat64
  4.24    0.009329           2      5002           socket
  3.23    0.007105           0     20011           fcntl64
  2.63    0.005783           4      1503        65 _llseek
  1.78    0.003919          12       324           getdents64
  1.31    0.002879           1      5000           setsockopt
  1.16    0.002551           6       423         1 lstat64
  0.22    0.000483           4       110           mmap2
  0.11    0.000236           5        50           brk
  0.07    0.000151           5        33           munmap
  0.06    0.000134           3        43        40 ioctl
  0.04    0.000080           3        28        13 access
  0.03    0.000075           2        42           mprotect
  0.02    0.000042          42         1           wait4
  0.02    0.000040          20         2           pipe
  0.02    0.000034          34         1           mremap
  0.01    0.000020          10         2           bind
  0.01    0.000011           3         4           uname
  0.00    0.000009           5         2           ugetrlimit
  0.00    0.000008           8         1           clone
  0.00    0.000002           0        22           write
  0.00    0.000002           2         1         1 statfs
  0.00    0.000002           1         3           cacheflush
  0.00    0.000001           0        70           rt_sigaction
  0.00    0.000000           0         2           execve
  0.00    0.000000           0         2           getpid
  0.00    0.000000           0         2           dup2
  0.00    0.000000           0         5         2 readlink
  0.00    0.000000           0         1           sysinfo
  0.00    0.000000           0         4           rt_sigprocmask
  0.00    0.000000           0         1           getcwd
  0.00    0.000000           0         1           getuid32
  0.00    0.000000           0         1           getgid32
  0.00    0.000000           0         1           geteuid32
  0.00    0.000000           0         1           getegid32
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         2           set_robust_list
  0.00    0.000000           0         1           getrandom
  0.00    0.000000           0         2           set_tls
------ ----------- ----------- --------- --------- ----------------
100.00    0.219922                 84335     14265 total
