strace: Process 6321 attached
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 29.56    0.080550          16      5000           connect
 21.73    0.059214          11      5334           close
 16.50    0.044961           4     10000           send
 15.62    0.042555           4     10642           recv
  7.42    0.020227           4      5000           socket
  3.31    0.009026           2      5641           read
  2.71    0.007377           1      5565           fstat64
  1.90    0.005190           1      5000           setsockopt
  0.66    0.001804           2      1098        83 stat64
  0.25    0.000671           2       336        15 openat
  0.09    0.000247           2       143           mmap2
  0.09    0.000240           1       331         6 _llseek
  0.08    0.000211           4        54           getdents64
  0.02    0.000068           1        59           mprotect
  0.02    0.000056           2        24           brk
  0.02    0.000052           2        21           munmap
  0.01    0.000033           3        10           lstat64
  0.00    0.000011           6         2           ugetrlimit
  0.00    0.000006           6         1           wait4
  0.00    0.000004           0        16        15 access
  0.00    0.000002           1         3           sigaltstack
  0.00    0.000002           2         1           geteuid32
  0.00    0.000002           2         1           getegid32
  0.00    0.000001           1         1           clone
  0.00    0.000001           0        72           rt_sigaction
  0.00    0.000001           1         1           getuid32
  0.00    0.000001           1         1           getgid32
  0.00    0.000000           0        21           write
  0.00    0.000000           0         2           execve
  0.00    0.000000           0         1           getpid
  0.00    0.000000           0         3           dup
  0.00    0.000000           0        13         5 ioctl
  0.00    0.000000           0         3           dup2
  0.00    0.000000           0         3         2 readlink
  0.00    0.000000           0         1         1 statfs
  0.00    0.000000           0         1           sysinfo
  0.00    0.000000           0         3           uname
  0.00    0.000000           0         6           rt_sigprocmask
  0.00    0.000000           0         2           getcwd
  0.00    0.000000           0         3           fcntl64
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         2           set_robust_list
  0.00    0.000000           0         2           pipe2
  0.00    0.000000           0         3           cacheflush
  0.00    0.000000           0         2           set_tls
------ ----------- ----------- --------- --------- ----------------
100.00    0.272513                 54429       127 total
