csharp go java javascript php python ruby
23 6 12 NaN 3 34 17
14 7 9 NaN 3 31 17
15 7 10 NaN 3 33 34
15 5 11 NaN 3 31 17
15 5 7 NaN 3 30 16
14 7 9 NaN 3 32 17
14 7 10 NaN 3 32 16
14 7 10 NaN 3 32 17
15 7 10 NaN 3 30 34
15 7 9 NaN 3 33 16
15 7 10 NaN 3 27 34
14 7 10 NaN 3 30 17
15 7 10 NaN 3 32 16
14 7 10 NaN 3 31 17
15 7 11 NaN 3 31 16
15 7 10 NaN 3 31 17
14 7 10 NaN 3 32 34
15 7 11 NaN 3 33 33
14 7 11 NaN 3 32 17
14 7 10 NaN 3 33 16
14 7 10 NaN 3 31 34
14 7 10 NaN 3 33 17
15 7 7 NaN 3 32 17
14 7 9 NaN 3 33 17
15 7 11 NaN 3 30 17
14 7 10 NaN 3 33 17
15 7 10 NaN 3 32 16
15 7 10 NaN 3 31 17
14 7 10 NaN 3 33 34
15 7 9 NaN 3 31 33
15 7 10 NaN 3 34 34
15 7 10 NaN 3 31 34
14 7 10 NaN 3 32 34
16 7 17 NaN 3 31 34
15 7 9 NaN 3 34 17
14 7 10 NaN 3 29 33
15 5 7 NaN 3 30 17
14 7 11 NaN 3 30 17
14 7 9 NaN 3 32 17
14 5 9 NaN 3 32 17
14 7 9 NaN 3 32 17
14 7 9 NaN 3 31 34
15 7 9 NaN 3 34 33
14 5 10 NaN 3 33 34
15 5 9 NaN 3 30 33
15 7 10 NaN 3 30 34
14 5 8 NaN 3 28 17
15 7 10 NaN 3 33 33
15 7 10 NaN 3 32 16
14 7 10 NaN 3 33 34
