csharp go java javascript php python ruby
9 5 45 NaN 124 74 37
10 7 45 NaN 136 73 37
10 7 44 NaN 142 71 37
10 7 NaN NaN 145 72 37
8 7 45 NaN 147 73 37
8 7 44 NaN 147 77 37
9 7 45 NaN 147 75 37
10 7 22 NaN 146 73 36
8 7 45 NaN 145 73 37
8 7 45 NaN 146 74 37
10 5 45 NaN 144 72 37
10 7 45 NaN 149 75 37
10 7 45 NaN 147 75 36
8 7 45 NaN 146 72 37
10 7 45 NaN 122 74 37
10 7 45 NaN 147 65 37
10 7 45 NaN 144 70 37
10 5 45 NaN 144 69 37
10 7 45 NaN 147 74 36
8 5 22 NaN 145 75 37
8 7 45 NaN 145 72 37
10 7 45 NaN 146 75 37
10 7 45 NaN 145 71 37
10 7 45 NaN 145 71 37
10 7 45 NaN 146 72 37
10 7 45 NaN 146 76 37
8 7 45 NaN 148 73 37
10 5 45 NaN 148 77 37
8 7 45 NaN 149 75 37
8 7 45 NaN 146 74 36
8 7 45 NaN 144 70 37
10 7 45 NaN 149 75 37
9 7 45 NaN 147 72 37
10 7 22 NaN 146 70 36
8 7 45 NaN 147 68 37
10 7 45 NaN 144 70 37
10 7 45 NaN 144 69 36
8 7 22 NaN 147 65 37
8 7 22 NaN 145 76 37
10 7 22 NaN 147 68 37
8 7 22 NaN 146 69 37
10 7 22 NaN 149 72 36
8 7 45 NaN 146 76 37
10 7 45 NaN 145 70 37
10 5 22 NaN 147 70 37
8 4 45 NaN 147 75 37
7 7 45 NaN 145 75 37
10 7 22 NaN 148 70 37
10 7 22 NaN 123 66 37
9 7 45 NaN 146 75 37
