csharp go java javascript php python ruby
8 12 861 NaN 27 22 21
7 11 860 NaN 26 31 21
7 9 430 NaN 26 32 14
7 10 430 NaN 30 22 20
7 11 430 NaN 25 27 20
8 12 860 NaN 25 29 14
7 12 860 NaN 29 30 21
7 11 860 NaN 25 29 13
7 12 430 NaN 27 22 13
7 12 430 NaN 20 33 20
7 11 430 NaN 28 22 20
7 12 430 NaN 26 27 20
8 11 430 NaN 21 34 20
7 11 430 NaN 28 31 20
7 6 430 NaN 20 30 21
7 12 430 NaN 28 30 20
8 6 861 NaN 25 32 14
7 12 861 NaN 29 30 21
7 12 430 NaN 26 36 20
7 11 430 NaN 22 33 14
7 11 430 NaN 25 33 13
7 12 430 NaN 26 31 14
7 11 430 NaN 26 27 20
7 11 430 NaN 28 30 14
7 12 430 NaN 32 31 13
7 12 430 NaN 20 32 13
7 12 860 NaN 27 31 20
7 6 430 NaN 28 33 14
7 11 430 NaN 28 22 15
7 11 430 NaN 29 33 20
7 6 430 NaN 20 36 20
7 11 430 NaN 27 30 15
7 12 861 NaN 25 31 20
7 11 860 NaN 26 34 20
7 12 860 NaN 26 29 21
7 6 860 NaN 30 32 20
7 12 430 NaN 28 27 14
7 12 430 NaN 23 30 14
7 6 430 NaN 26 28 20
7 12 432 NaN 19 21 20
7 12 430 NaN 29 24 20
7 11 430 NaN 28 29 15
7 12 430 NaN 27 31 15
7 10 430 NaN 26 30 21
7 10 860 NaN 20 33 13
7 12 860 NaN 29 30 15
7 12 430 NaN 28 29 13
7 12 431 NaN 26 31 21
8 12 430 NaN 26 22 21
7 11 430 NaN 29 29 14
