% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 42.11    0.565500           8     66016     26579 read
 35.53    0.477153          14     33254           write
  7.19    0.096610          17      5573      5380 epoll_ctl
  3.11    0.041759         869        48           rt_sigreturn
  3.05    0.040982         142       288           clone
  1.41    0.018978           6      2937           close
  0.97    0.013005           2      4477      2936 stat
  0.86    0.011502           4      2839        92 openat
  0.83    0.011121           2      4605         5 lstat
  0.82    0.010955           1      8096           rt_sigaction
  0.67    0.009063           7      1259           sched_yield
  0.64    0.008636          77       111           mkdirat
  0.58    0.007723           3      2138           mmap
  0.41    0.005544           5      1011           rt_sigprocmask
  0.33    0.004481           7       572           sigaltstack
  0.26    0.003461           6       507           gettid
  0.20    0.002663           9       274           arch_prctl
  0.19    0.002514           0      3015           lseek
  0.18    0.002370           5       407       249 unlinkat
  0.16    0.002173           3       546           getdents64
  0.11    0.001457           3       393           fcntl
  0.08    0.001053          22        47           readlinkat
  0.07    0.000992           8       114           mprotect
  0.06    0.000788           8        95           pipe2
  0.06    0.000765          10        70           munmap
  0.02    0.000310          15        20           set_robust_list
  0.02    0.000240           5        47           epoll_create1
  0.01    0.000198           3        50        32 access
  0.01    0.000191           3        51           getpid
  0.01    0.000171           2        72           brk
  0.01    0.000108           2        51           fstat
  0.01    0.000091           1        47           chdir
  0.01    0.000073           0       147           dup2
  0.01    0.000072           1        47           sched_getaffinity
  0.01    0.000069           1        61         8 execve
  0.00    0.000045          45         1         1 connect
  0.00    0.000043           2        18           prlimit64
  0.00    0.000036          12         3           unlink
  0.00    0.000031          31         1           socket
  0.00    0.000025           6         4           vfork
  0.00    0.000022           2         8         8 ioctl
  0.00    0.000018           3         6           sysinfo
  0.00    0.000011          11         1           getsockopt
  0.00    0.000010          10         1           getpeername
  0.00    0.000006           3         2           setsockopt
  0.00    0.000006           3         2           getrusage
  0.00    0.000004           2         2           getcwd
  0.00    0.000002           2         1           getsockname
  0.00    0.000002           1         2           set_tid_address
------ ----------- ----------- --------- --------- ----------------
100.00    1.343032                139337     35290 total
